"GEOID","Observed","pct.Under5","pct.65over","pct.asian","pct.mixed","pct.hispanic","pct.black","pct.female_hohwc","pct.married","pct.female_hoh","pct.HS_higher","pct.COLL_higher","pct.enter2000","pct.unemploy","pct.families_assist","pct.families_bpl","pct.families_bplwc","pct.homes_vacant","pct.homes_20+","pct.renters_occupied","pct.home_pre1950","pct.home_pre1960","pct.home_pre1980","pre1940","pct.inc_pov_ratio_l1","pct.inc_pov_ratio_g2","pct.rural","density.pop.acre","density.house.acre"
39035150100,0.29045,7.2,15.9,0,1.5,0.8,96.9,16.8,8.1,39,85.8,7.9,0,30.7,5.7,29.4,100,42.3,12.1,55.1,81.27753304,93.77753304,100,71.3,29.44664032,27.07509881,0,11.40182763,7.572585756
39035150300,0.361284,6,16.7,0.1,1.2,0.8,96.7,18.3,15.8,32,82.5,7.9,0,18.7,3.7,35.6,47.6,40.4,3.5,48.5,81.00743187,92.56812552,93.80677126,68.6,35.62945368,40.14251781,0,11.58652612,7.883905986
39035150400,0.313095,8.4,17.3,0,1.5,1,96.4,18.9,14.5,38.7,70.2,8.1,0,26.4,8.9,47.3,61.8,35.6,0,63.9,84.48430493,89.41704036,98.74439462,76.7,47.33333333,25.33333333,0,15.7231604,11.35828061
39035151100,0.163797,5.8,15.3,0.6,2.7,1.4,93.6,11.9,13.5,14.4,72.5,7.8,0,21,7.3,32.5,100,44.1,41.1,71.4,68.68512111,81.40138408,94.20415225,55,32.54901961,38.43137255,0,7.349330417,6.591470521
39035151200,0.230564,5.4,11.2,0.2,1.9,0.9,94.2,10.9,6.5,27.8,88.9,12.7,14.3,16,10.2,46.2,100,30.9,45.8,85.7,30.1421092,51.75766642,98.13014211,24.5,46.17647059,38.52941176,0,7.861991949,5.565449863
39035151300,0.102941,2.4,46,0.2,1.3,0.6,73.6,3.6,24.7,6.8,84.5,24.7,0,7.8,9.1,25.7,0,24,54.2,67.5,40.63816978,59.12101144,94.16014449,29.9,25.73529412,66.91176471,0,6.105753327,4.103820174
39035151400,0.31435,7.1,13.6,0.2,2.3,1.4,92.4,15.3,16.5,36.6,88.6,14.9,0,15.4,11.6,14,0,50.9,18.1,47.1,69.47261663,85.59837728,96.04462475,49.7,14.03508772,44.9122807,0,7.94854752,5.952022592
39035151500,0.270792,7.5,19.5,0,1,0.5,94.5,16.1,12.8,26,78.5,8.4,0,15.5,9.9,36.7,56,37.4,7.7,63.6,59.40366972,75.68807339,100,50.6,36.69724771,41.74311927,0,7.856996977,5.524927945
39035151600,0.168704,8.8,10.5,1.1,2.1,3.1,92.4,14.9,10.8,26.8,87,12.8,0,17.2,2.9,45,29.8,44.6,40.7,93.8,50.38284839,67.99387443,95.17611026,35.7,45,35,0,6.851548468,5.526231098
39035151700,0.225099,7.3,14.9,0.5,1,0.6,95.1,13.1,25.8,22.7,86.1,10.7,0,8.7,4.6,27.8,37.5,42.1,6,43.6,79.32885906,88.45637584,96.6442953,71.9,27.84810127,39.66244726,0,11.50524928,7.029143653
