"GEOID","Observed","pct.Under5","pct.65over","pct.asian","pct.mixed","pct.hispanic","pct.black","pct.female_hohwc","pct.married","pct.female_hoh","pct.HS_higher","pct.COLL_higher","pct.enter2000","pct.unemploy","pct.families_assist","pct.families_bpl","pct.families_bplwc","pct.homes_vacant","pct.homes_20+","pct.renters_occupied","pct.home_pre1950","pct.home_pre1960","pct.home_pre1980","pre1940","pct.inc_pov_ratio_l1","pct.inc_pov_ratio_g2","pct.rural","density.pop.acre","density.house.acre"
26163546100,0.048902,8,5.7,0.2,2.6,2.7,84.2,24.8,29.7,36.1,86.3,8.9,11.1,30.1,10.1,44.4,41.7,34.3,0,51.4,43.96866841,87.46736292,97.80678851,20.5,44.43194601,26.43419573,0,13.3776979,5.757045142
26163546200,0.019828,7.1,7.2,1.1,2.5,4.4,62.6,17.9,22.7,32.1,87,16.1,43,12.4,1.6,33.5,3.4,11.1,2.5,32.9,49.82282069,87.38483345,94.11764706,7.6,33.53365385,40.74519231,0,4.269604007,1.843252027
26163546300,0,5.3,8.2,0.6,1.6,1.1,85.3,16.4,31.4,24.5,87.2,18.8,0,9.5,3.1,12.6,0,6.4,0,24.2,34.09669211,95.1653944,100,2,12.5813449,59.86984816,0,1.726742322,0.730344185
26163546400,0.042148,8.6,8.2,0.1,1.2,1.8,91.6,21.5,36.1,32.5,93.1,3.1,0,14.9,5,26.1,0,29,4.8,37.6,50.93378608,85.90831919,98.13242784,7.8,26.07260726,43.23432343,0,7.969434978,3.670543823
26163546500,0.024377,6.9,13.1,0.1,1.1,0.5,95,19.6,18.7,29.1,83.7,8.1,0,22.8,3.5,30,0,17.7,24.2,60.5,15.25423729,52.54237288,80.08474576,3.5,29.96254682,47.56554307,0,14.46956107,6.709898283
26163546600,0.048808,7.7,6.1,0.1,2.1,1,91.9,24.5,19.6,43.4,81.2,5.7,0,23.9,8.1,46.4,66.7,29.3,0.7,51.2,36.26943005,84.97409326,93.05699482,11.3,46.4,30,0,12.23195378,5.497131463
26163546700,0.052778,7,7.9,0,2,1.2,92.8,20.6,23.9,41.5,84.8,12.6,0,20.5,8.6,42.5,0,23.2,0,44.3,35.89933383,91.26572909,100,8.6,42.45810056,34.63687151,0,9.977779041,4.520389743
26163546800,0.058833,7.3,7.9,0.2,2.3,1,93.9,21,27,33.2,80.5,13.5,0,27.2,5.1,41.9,100,22,5.3,55.9,45.9576777,82.14867065,91.80683668,4,41.93548387,36.98924731,0,9.869202611,5.144683669
26163546900,0.042283,5.4,9.9,0.3,1.5,1.6,93.7,14.7,24.6,43.4,83,13.4,0,19.7,4.1,32.1,54.9,27.1,5.4,55.1,50.08695652,76.17391304,98.7826087,7.1,32.06896552,36.55172414,0,4.210724903,1.873385954
26163550100,0.043761,4.5,14,2,2.1,1.9,10.5,6.6,60,8,97.4,71.5,0,3.7,1,0,0,6.3,0,24.3,66.53821452,89.98073218,95.761079,54.3,0,95.40441176,0,6.764216622,2.947143495
