"GEOID","Observed","pct.Under5","pct.65over","pct.asian","pct.mixed","pct.hispanic","pct.black","pct.female_hohwc","pct.married","pct.female_hoh","pct.HS_higher","pct.COLL_higher","pct.enter2000","pct.unemploy","pct.families_assist","pct.families_bpl","pct.families_bplwc","pct.homes_vacant","pct.homes_20+","pct.renters_occupied","pct.home_pre1950","pct.home_pre1960","pct.home_pre1980","pre1940","pct.inc_pov_ratio_l1","pct.inc_pov_ratio_g2","pct.rural","density.pop.acre","density.house.acre"
26143971100,0.03502747253,3.9,26.6,0.4,1.5,1.7,0.6,4.3,50,8.3,81.7,8.7,0,15.2,4,24.3,55.8,48,0.2,15.8,7.08249497,16.90140845,47.92756539,3.3,24.30133657,59.41676792,51.32957293,0.029868382,0.026580611
26143971200,0.03183598292,4,25.2,0.2,1.2,1.4,0.6,6,42.3,8.9,77.2,11.7,0,19.3,5.7,18.1,0,54.5,0.6,20.6,25.65482598,44.81521349,83.17186939,13.1,18.09116809,62.39316239,2.135493373,1.090519815,1.075863355
26145000100,0.1686033265,7.5,10.6,0,2.2,11.8,76.9,24.8,18.9,37.4,69.6,17.6,0,57.1,14.6,54.6,15.4,22,4.7,36,66.45056726,76.66126418,89.95137763,47,54.57413249,13.24921136,0,0.990602321,0.415352836
26145000200,0.07558436965,8.9,13.9,0,3.6,7.3,87.4,27.9,20.5,54.7,78.5,4.1,0,14.9,4.3,26.2,56.3,8.9,0,55.5,11.11111111,39.8989899,88.21548822,4,26.20689655,44.59770115,0,3.297382364,1.367803055
26145000400,0.2829572454,4.9,14.5,0.4,3.2,10.6,78.2,13.3,17.7,29.9,61.7,13.8,0,55.7,17.1,61.3,100,32,20.7,61.4,75.70093458,86.70820353,93.04257529,71.7,61.34969325,20.55214724,0,3.407112015,2.086336359
26145000600,0.252959914,7.4,10.1,0.5,4,14.4,66.9,18.7,27,25.4,67.7,6.9,0,16.1,7.2,27.3,62.9,28.5,10.2,45.2,73.53815659,86.71952428,98.31516353,64.8,27.29357798,58.48623853,0,2.297198667,1.064871867
26145000700,0.3995464702,6.1,13.1,0.2,3.8,18.2,71,14.5,24.4,22.9,65.7,6.4,0,36.8,11,32.9,0,20.5,6.6,39.4,59.2061742,71.55457552,93.82579934,53.1,32.92383292,30.71253071,0,4.784602296,2.372930289
26145000800,0.2336066409,7.4,15.4,0.1,2.6,8.6,87.1,19.2,22.7,34.2,70.5,5.7,0,38.5,10.1,48.8,50,29.2,1.2,35.5,46.36188023,65.35737283,90.85640695,27.6,48.77697842,36.11510791,0,5.555047003,2.576625372
26145000900,0.1311293464,9.9,11.6,0,3.9,8.6,81.9,25.7,7.2,31.1,70.8,3.9,0,27,17.3,53.5,40.4,27.8,7.8,58.8,36.48414986,52.62247839,79.13544669,25.8,53.53535354,21.38047138,0,4.180453144,1.989930154
26145001000,0.1111864086,7.3,8.6,0,3.6,15.5,72.6,19.9,20.7,36.8,82.4,9.4,36.7,21.7,13.1,49.3,50,20.5,2.3,37.7,40.6003937,59.15354331,88.38582677,33.1,49.26470588,35.50420168,0,5.914087063,2.742582779
26145001100,0.1385518785,14.2,7.3,0.2,6.5,21.3,66.2,35,20.9,46.5,72.1,5.2,0,31,20.2,56,81.4,15.4,2.2,59.5,40.33970276,51.87544232,82.94409059,31.8,55.97701149,26.32183908,0,3.19718978,1.297730105
26145001200,0.1284908065,9.8,8.4,0.2,6.1,18.8,25,19,32.4,33.1,79.1,6.7,66.7,17.5,10.1,27.3,20.4,19.5,0.7,42.9,58.89192886,75.17099863,94.18604651,51.8,27.31829574,48.37092732,0,2.631648968,1.141782524
26145001300,0.1956137584,8,9.2,0.2,4.9,18.9,29.1,16.5,30.2,29.7,74.7,6.2,0,16,13.3,29.7,8.2,32.4,0.7,52.3,68.10631229,85.04983389,94.10299003,59.1,29.71428571,44.57142857,0,6.046144247,2.802832973
26145001400,0.08664652444,6.9,13.3,0.4,3.7,14.7,13.9,10,36.7,14.3,84.4,18.5,34,20.1,2.6,17.2,50.9,21.5,0,10.1,72.23088924,91.73166927,100,43.8,17.22912966,55.06216696,0,7.767518909,3.681574619
26145001500,0.08738086024,7.5,10.9,0.6,4.2,13.8,13.1,10.3,36.1,14.1,85.3,17.4,50,6.4,3.6,15.5,0,13.6,1.4,28.5,64.42910916,81.30489335,98.30614806,44.9,15.51499348,62.71186441,0,8.764026975,3.978244014
26145001600,0.1811580526,8.7,8.4,0.4,5.8,15.6,22.8,14.5,33.9,16.4,82.2,15.3,2.1,17.9,6.6,31,49.3,19.1,3.3,30.2,72.60273973,88.01369863,99.31506849,61.5,30.99885189,47.41676234,0,9.957472585,4.65639156
26145001700,0.218778859,6.7,7.8,0.8,5.3,14.8,33.5,16.8,21.1,26.3,71.2,7.5,0,20,10.4,38,89.7,23.4,10,62.3,70.68965517,78.0651341,99.13793103,70.1,37.97468354,32.15189873,0,8.845084762,3.68636085
26145001800,0.1904421,8.8,7.7,0.8,4.9,15.1,32.7,19.9,43,18.5,73.5,5.6,0,17.4,4.3,26.9,100,28.5,1.7,34.1,79.81557377,88.83196721,92.82786885,71.4,26.86567164,71.21535181,0,4.115601613,1.975149693
26145001900,0.1639004055,10.4,7.2,0.3,5.6,17.9,25.9,22.2,31.6,15.6,75.9,5.8,0,21.9,8.4,29.8,0,27.8,0,30.1,69.26406926,89.5021645,97.4025974,57.7,29.78723404,27.65957447,0,6.24875425,2.811300481
26145002000,0.1085305188,8.1,8.4,0.5,4.9,12.8,18.1,13.2,38.3,17.7,83.8,10.7,68.8,18.6,4.7,18,21.6,15.5,1,29.5,54.04761905,79.82142857,95.83333333,39.5,17.97497156,49.94311718,0,9.83419024,4.554782848
26145002100,0.05180745534,6.5,17.1,0.5,2.7,10.9,15.6,7.2,45.2,11.8,92.2,21.2,30.8,10.3,5.3,6.5,9.6,13.7,4.6,13.6,21.06573705,66.58366534,93.6752988,6.3,6.470588235,80,0,6.256593075,2.843078425
26145010100,0.03934491979,5.8,9.6,0.5,1.1,3,9.1,5.7,64.6,7.8,91.9,25.7,38.2,9,4.2,3.9,0,3.8,0,12.4,15.35407015,21.60820649,50.39708802,8.5,3.901532745,88.43474222,32.10378243,0.432232201,0.142166442
26145010200,0.02857142857,2,6.8,2.8,1.6,3.1,7.8,3.7,51.2,6.9,91,20.1,13.4,10.3,2.6,8.5,16.4,3.5,0,18.3,14.97668998,23.01864802,61.42191142,11.5,8.481262327,83.72781065,55.2407932,0.427188818,0.089088806
26145010302,0.02088661552,4.7,19.7,4.7,1.7,3.8,7.7,3.8,64.3,3.6,92.9,36,42.9,6,1.2,3,0,8.9,1.7,13.2,4.597701149,9.738186462,43.45466156,3.9,2.979970689,86.32144602,13.01035954,1.481760376,0.631986687
