Grant,Lead Agency Name,Partner Name,Location Name,Provider Type,Street Address,City,State,Zip Code,Location County Served,Location School District,FY Year End Date,Fiscal Year,Full Day Funded Slots,Half Day Funded Slots,Total Funded Slots,Pre-K Identification Number,Master Provider Identification (MPI) Number,Master Provider ID Service Location Identification Number,Lead Agency Master Provider ID,Georeferenced Latitude & Longitude,State FIPS Code,County FIPS Code
PA PKC,WEE WONS INC,,WEE WONS,CHILD CARE PROVIDER,1702 ROUTE 940,POCONO PINES,PA,18350,MONROE,POCONO MOUNTAIN,06/30/2015,FY2014-2015,19,0,19,1126,100129310,2,100129310,,42,89
PA PKC,SCHOOL DISTRICT OF PHILADELPHIA,,CLEVELAND SCHOOL COMPREHENSIVE DAYCARE,SCHOOL DISTRICT,19TH AND ERIE AVE,PHILADELPHIA,PA,19140,PHILADELPHIA,PHILADELPHIA CITY,06/30/2015,FY2014-2015,40,0,40,1381,100137321,8,100137321,,42,101
PA PKC,SCHOOL DISTRICT OF PHILADELPHIA,BRIGHTSIDE ACADEMY PHILADELPHIA LLC,BRIGHTSIDE ACADEMY INC,CHILD CARE PROVIDER,2501 KENSINGTON AVE ACCA # 19,PHILADELPHIA,PA,19125,PHILADELPHIA,PHILADELPHIA CITY,06/30/2020,FY2019-2020,14,0,14,5517,100140532,30,100137321,POINT (-75.12854 39.98737),42,101
PA PKC,"JEFFERSON-CLARION HEAD START, INC.",,CLARION ELEMENTARY,HEAD START,800 BOUNDARY ST,CLARION,PA,16214,CLARION,CLARION AREA,06/30/2015,FY2014-2015,0,17,17,9866,102280149,10,102280149,POINT (-79.386091 41.206245),42,31
PA PKC,NORTHEASTERN CHILD CARE SERVICES INC,,TREASURE HOUSE CHILD DEVELOPMENT CENTERS-TAYLOR,CHILD CARE PROVIDER,700 S MAIN ST TAYLOR COMMUNITY CENTER,TAYLOR,PA,18517,LACKAWANNA,RIVERSIDE,06/30/2021,FY2020-2021,14,0,14,1342,100302505,2,100302505,POINT (-75.71794 41.3789),42,69
PA PKC,SCHOOL DISTRICT OF PHILADELPHIA,,CLEVELAND SCHOOL COMPREHENSIVE DAYCARE,SCHOOL DISTRICT,19TH AND ERIE AVE,PHILADELPHIA,PA,19140,PHILADELPHIA,PHILADELPHIA CITY,06/30/2016,FY2015-2016,40,0,40,1381,100137321,8,100137321,,42,101
PA PKC,BEGIN WITH US CC AND PRESCHOOL INC,,BEGIN WITH US CHILD CARE AND PRESCHOOL BLD B,CHILD CARE PROVIDER,729 GRANT AVE,ALTOONA,PA,16602,BLAIR,ALTOONA AREA,06/30/2015,FY2014-2015,30,0,30,2456,100141469,2,100141469,POINT (-78.384512673 40.511797664),42,13
PA PKC,POTTSTOWN SCHOOL DISTRICT,GREATER PHILADELPHIA YMCA,GPY POTTSTOWN EARLY LEARNING CENTER,CHILD CARE PROVIDER,1000 HERITAGE DR,POTTSTOWN,PA,19464,MONTGOMERY,POTTSTOWN,06/30/2020,FY2019-2020,40,0,40,21725,100226655,125,1427172,POINT (-75.6005 40.24715),42,91
PA PKC,WEE WONS INC,,WEE WONS,CHILD CARE PROVIDER,1702 ROUTE 940,POCONO PINES,PA,18350,MONROE,POCONO MOUNTAIN,06/30/2017,FY2016-2017,19,0,19,1126,100129310,2,100129310,,42,89
HSSAP,BUTLER COUNTY CHILDRENS CENTER,,BRUIN HEAD START,HEAD START,BRUIN ELEMENTARY SCHOOL 139 SCHOOL ST.,BRUIN,PA,16022,CLARION,BUTLER AREA,06/30/2016,FY2015-2016,0,0,10,12002,100134277,13,100134277,POINT (-79.72646 41.06002),42,31
PA PKC,"TABLELAND SERVICES, INC.",,ROCKWOOD,HEAD START,439 SOMERSET AVE,ROCKWOOD,PA,15557,SOMERSET,ROCKWOOD AREA,06/30/2017,FY2016-2017,10,0,10,14360,101151030,24,101151030,POINT (-79.159467 39.917398),42,111
PA PKC,BRADFORD TIOGA HEAD START INC.,,CANTON 2 CANTON ELEMENTARY,HEAD START,5454 EAST MAIN STREET,CANTON,PA,17724,BRADFORD,CANTON AREA,06/30/2017,FY2016-2017,0,17,17,14420,102877208,13,102877208,,42,15
PA PKC,EARLY CONNECTIONS INC,,EARLY CONNECTIONS/UNION CITY,CHILD CARE PROVIDER,16380 ROUTE 8,UNION CITY,PA,16438,ERIE,UNION CITY AREA,06/30/2023,FY2022-2023,28,0,28,1040,100164552,7,100164552,POINT (-79.84657 41.88848),42,49
PA PKC,SCHOOL DISTRICT OF PHILADELPHIA,ANN KIDS CORP,ANN KIDS PALMETTO,CHILD CARE PROVIDER,6200 PALMETTO ST,PHILADELPHIA,PA,19111,PHILADELPHIA,PHILADELPHIA CITY,06/30/2022,FY2021-2022,60,0,60,22081,102388115,2,100137321,POINT (-75.09669 40.04686),42,101
PA PKC,LYCOMING-CLINTON COUNTIES COMMISSION FOR,,RENOVO ELEMENTARY SCHOOL,HEAD START,1301 BUCKTAIL AVE,RENOVO,PA,17764,CLINTON,KEYSTONE CENTRAL,06/30/2015,FY2014-2015,17,0,17,1271,101207823,4,101207823,POINT (-77.70876 41.33673),42,35
PA PKC,BERKS COUNTY INTERMEDIATE UNIT,,BCIU LEARNING CENTER AT ST DANIELS,HEAD START,480 BIG SPRING RD,ROBESONIA,PA,19551,BERKS,CONRAD WEISER AREA,06/30/2024,FY2023-2024,17,0,17,23777,100127085,58,100127085,POINT (-76.12902 40.36218),42,11
PA PKC,BRADFORD TIOGA HEAD START INC.,,CANTON 2 CANTON ELEMENTARY,HEAD START,5454 EAST MAIN STREET,CANTON,PA,17724,BRADFORD,CANTON AREA,06/30/2018,FY2017-2018,0,17,17,14420,102877208,13,102877208,,42,15
PA PKC,BERKS COUNTY INTERMEDIATE UNIT,,TILDEN ELEMENTARY,HEAD START,524 W STATE ST,HAMBURG,PA,19526,BERKS,HAMBURG AREA,06/30/2019,FY2018-2019,17,0,17,13975,100127085,33,100127085,POINT (-76.00035 40.54929),42,11
PA PKC,CHILD ADVOCATES OF BLAIR COUNTY INC,,CLAYSBURG-KIMMEL ELEMENTARY,HEAD START,240 C K ELEMENTARY DR,CLAYSBURG,PA,16625,BLAIR,CLAYSBURG-KIMMEL,06/30/2019,FY2018-2019,17,0,17,12776,100134769,19,100134769,,42,13
PA PKC,BRIGHTSIDE ACADEMY INC,,BRIGHTSIDE ACADEMY,CHILD CARE PROVIDER,111 W ERIE AVE,PHILADELPHIA,PA,19140,PHILADELPHIA,PHILADELPHIA CITY,06/30/2021,FY2020-2021,27,0,27,2672,100140532,46,100140532,POINT (-75.12827 40.00749),42,101
PA PKC,KEYSTONE SMILES COMMUNITY LEARNING CENTE,LITTLE HANDS CHILD CARE CENTER INC,LITTLE HANDS CHILD CARE CENTER,CHILD CARE PROVIDER,180 MCCRACKEN RUN RD,DU BOIS,PA,15801,CLEARFIELD,DUBOIS AREA,06/30/2021,FY2020-2021,0,8,8,5592,100141988,1,100141360,POINT (-78.74076 41.12929),42,33
PA PKC,CHILD ADVOCATES OF BLAIR COUNTY INC,,SPRING COVE 2,HEAD START,137 SPRING COVE DR,ROARING SPRING,PA,16673,BLAIR,SPRING COVE,06/30/2020,FY2019-2020,18,0,18,13915,100134769,23,100134769,,42,13
PA PKC,UNITED WAY OF BUCKS COUNTY,LIFESPAN DAY CARE INC,LIFESPAN SCHOOL,CHILD CARE PROVIDER,2460 JOHN FRIES HWY,QUAKERTOWN,PA,18951,BUCKS,QUAKERTOWN COMMUNITY,06/30/2019,FY2018-2019,18,0,18,1407,100125447,1,102280185,POINT (-75.38662 40.4415),42,17
PA PKC,BUTLER COUNTY CHILDRENS CENTER,,BUTLER COUNTY CHILDRENS CENTER,HEAD START,131 HOMEWOOD DR,BUTLER,PA,16001,BUTLER,BUTLER AREA,06/30/2023,FY2022-2023,20,0,20,1823,100134277,1,100134277,POINT (-79.90125 40.88297),42,19
PA PKC,BLUEPRINTS,,CENTRAL GREENE HIGH SCHOOL,HEAD START,30 ZIMMERMAN DR,WAYNESBURG,PA,15370,GREENE,CENTRAL GREENE,06/30/2021,FY2020-2021,17,0,17,1646,100731376,17,100731376,POINT (-80.148708 39.895471),42,59
PA PKC,BLUEPRINTS,,WASHINGTON SD,HEAD START,801 E WHEELING ST,WASHINGTON,PA,15301,WASHINGTON,WASHINGTON,06/30/2021,FY2020-2021,17,0,17,1477,100731376,16,100731376,POINT (-80.224881 40.165614),42,125
PA PKC,YMCA OF GREATER ERIE,ASOCIACION PUERTORRIQUENOS EN MARCHA INC,YMCA/NORTHWESTERN ELEMENTARY,CHILD CARE PROVIDER,100 HARTHAN WAY,ALBION,PA,16401,ERIE,NORTHWESTERN,06/30/2015,FY2014-2015,0,15,15,1454,100133510,8,100133510,POINT (-80.35449 41.88973),42,49
PA PKC,NORTHEASTERN CHILD CARE SERVICES INC,,TREASURE HOUSE CHILD DEVELOPMENT CENTER HONESDALE,CHILD CARE PROVIDER,329 CLIFF ST,HONESDALE,PA,18431,WAYNE,WAYNE HIGHLANDS,06/30/2017,FY2016-2017,14,0,14,11862,100302505,15,100302505,POINT (-75.24932 41.57523),42,127
PA PKC,SOUTHERN TIOGA SCH DIST,TODDLER UNIVERSITY,TODDLER UNIVERSITY DAYCARE AND PRESCHOOL,CHILD CARE PROVIDER,133 HANNIBAL ST,BLOSSBURG,PA,16912,TIOGA,SOUTHERN TIOGA,06/30/2022,FY2021-2022,19,0,19,1365,101156608,2,1392504,POINT (-77.06262 41.67954),42,117
PA PKC,COMMUNITY ACTION PARTNERSHIP MERCER CTY,FARRELL AREA SCHOOL DISTRICT,THIEL COLLEGE,SCHOOL DISTRICT,75 COLLEGE AVE,GREENVILLE,PA,16125,MERCER,GREENVILLE AREA,06/30/2019,FY2018-2019,16,0,16,20717,100138267,31,102280130,POINT (-80.38513 41.41196),42,85
PA PKC,PIC WESTMORELAND/FAYETTE,ASOCIACION PUERTORRIQUENOS EN MARCHA INC,MARZOLF PRIMARY,HEAD START,101 MARZOLF ROAD EXT,PITTSBURGH,PA,15209,ALLEGHENY,SHALER AREA,06/30/2016,FY2015-2016,20,0,20,13835,100134894,34,100134894,POINT (-79.96644 40.51361),42,3
PA PKC,BUTLER COUNTY CHILDRENS CENTER,,DASSA MCKINNEY ELEMENTARY,HEAD START,391 HOOKER RD,WEST SUNBURY,PA,16061,BUTLER,MONITEAU,06/30/2017,FY2016-2017,17,0,17,12543,100134277,7,100134277,POINT (-79.8803 41.00164),42,19
PA PKC,SCHOOL DISTRICT OF PHILADELPHIA,KENCREST SERVICES,KENCREST NORTH PHILADELPHIA,CHILD CARE PROVIDER,3907 N BROAD ST # 11,PHILADELPHIA,PA,19140,PHILADELPHIA,PHILADELPHIA CITY,06/30/2020,FY2019-2020,50,0,50,1523,100000999,176,100137321,POINT (-75.15044 40.01272),42,101
PA PKC,SCHOOL DISTRICT OF PHILADELPHIA,KENCREST SERVICES,KEN-CREST SERVICES-KENSINGTON CENTER,CHILD CARE PROVIDER,901 E ONTARIO ST,PHILADELPHIA,PA,19134,PHILADELPHIA,PHILADELPHIA CITY,06/30/2020,FY2019-2020,60,0,60,1519,100000999,175,100137321,POINT (-75.11259 39.99954),42,101
PA PKC,KEYSTONE SMILES COMMUNITY LEARNING CENTE,,SHARPSVILLE GARDENS CHILDRENS DEV CTR,CHILD CARE PROVIDER,51 E SHENANGO ST,SHARPSVILLE,PA,16150,MERCER,SHARPSVILLE AREA,06/30/2020,FY2019-2020,14,0,14,5576,100141360,4,100141360,POINT (-80.47637 41.26549),42,85
PA PKC,THE PENNSYLVANIA STATE UNIVERSITY,YMCA OF CENTRE COUNTY,BELLEFONTE FAMILY YMCA DAY CARE CENTER,CHILD CARE PROVIDER,125 W HIGH ST,BELLEFONTE,PA,16823,CENTRE,BELLEFONTE AREA,06/30/2021,FY2020-2021,11,0,11,2317,100137760,1,100270742,POINT (-77.778723 40.911876),42,27
PA PKC,CHILD DEV FAMILY COUNCIL OF CENTRE CO,ST PAULS UMC AND WESLEY FOUNDATION,ST PAULS CHRISTIAN PRESCHOOL,CHILD CARE PROVIDER,127 MCALLISTER ST,STATE COLLEGE,PA,16801,CENTRE,STATE COLLEGE AREA,06/30/2023,FY2022-2023,10,0,10,2321,100157600,1,100134221,POINT (-77.85849 40.7957),42,27
PA PKC,NORTHEASTERN CHILD CARE SERVICES INC,,TREASURE HOUSE CHILD DEVELOPMENT CTR SCRANTON,CHILD CARE PROVIDER,611 ASH ST,SCRANTON,PA,18510,LACKAWANNA,SCRANTON,06/30/2015,FY2014-2015,25,0,25,1346,100302505,1,100302505,POINT (-75.65117 41.41613),42,69
PA PKC,BRIGHT BEGINNIGS EDUCATION CENTER INC,,BRIGHT BEGINNINGS EDUCATION CENTER INC,LICENSED NURSERY,536 HODGSON ST,OXFORD,PA,19363,CHESTER,OXFORD AREA,06/30/2020,FY2019-2020,56,0,56,14366,102714614,2,102714614,POINT (-75.97309 39.78142),42,29
PA PKC,LITTLE ARCHIES CLUBHOUSE DAYCARE CENTER,,LITTLE ARCHIES CLUBHOUSE,CHILD CARE PROVIDER,635 W TURNER ST,ALLENTOWN,PA,18102,LEHIGH,ALLENTOWN CITY,06/30/2023,FY2022-2023,18,0,18,23742,103926719,1,103926719,POINT (-75.47257 40.6051),42,77
PA PKC,CENTRAL SUSQUEHANNA INTERMEDIATE UNIT,,WATSONTOWN ELEMENTARY,HEAD START,1100 MAIN ST,WATSONTOWN,PA,17777,NORTHUMBERLAND,WARRIOR RUN,06/30/2015,FY2014-2015,18,0,18,12941,100891119,20,100891119,POINT (-76.871103 41.091946),42,97
PA PKC,LEARN AND PLAY CENTERS INC,,PLAY AND LEARN,CHILD CARE PROVIDER,42 N YORK RD,HATBORO,PA,19040,MONTGOMERY,HATBORO-HORSHAM,06/30/2020,FY2019-2020,20,0,20,6670,100304484,5,100304484,POINT (-75.105963 40.17815),42,91
PA PKC,DELAWARE COUNTY INTERMEDIATE UNIT,,SOUTHEAST DELCO KINDERGARTEN CENTER,HEAD START,1 SCHOOL LN,GLENOLDEN,PA,19036,DELAWARE,SOUTHEAST DELCO,06/30/2021,FY2020-2021,40,0,40,10143,100002680,22,100002680,POINT (-75.29661 39.913036),42,45
PA PKC,CHILD DEV FAMILY COUNCIL OF CENTRE CO,HOLLIDAYSBURG AREA YMCA,HOLLIDAYSBURG AREA YMCA EARLY LEARNING CENTER,CHILD CARE PROVIDER,2459 RESERVOIR RD,HOLLIDAYSBURG,PA,16648,BLAIR,HOLLIDAYSBURG AREA,06/30/2021,FY2020-2021,20,0,20,2122,100125840,1,100134221,POINT (-78.36264 40.42349),42,13
PA PKC,PITTSBURGH PUBLIC SCHOOLS,,LINDEN PRE-K,SCHOOL DISTRICT,725 S LINDEN AVE,PITTSBURGH,PA,15208,ALLEGHENY,PITTSBURGH,06/30/2020,FY2019-2020,10,0,10,21990,100133995,71,100133995,POINT (-79.916597 40.445732),42,3
PA PKC,PIC WESTMORELAND/FAYETTE,,MASONTOWN ELEMENTARY,HEAD START,201 E SPRING AVE,MASONTOWN,PA,15461,FAYETTE,ALBERT GALLATIN AREA,06/30/2016,FY2015-2016,20,0,20,1294,100134894,4,100134894,POINT (-79.89826 39.84773),42,51
PA PKC,ALLEGHENY INTERMEDIATE UNIT,,BALDWIN PRE K COUNTS BALDWIN WHITEHALL HS,HEAD START,4653 CLAIRTON BLVD,PITTSBURGH,PA,15236,ALLEGHENY,BALDWIN-WHITEHALL,06/30/2020,FY2019-2020,20,0,20,14232,100138249,99,100138249,POINT (-79.979294 40.355135),42,3
PA PKC,COMMUNITY SERVICES FOR CHILDREN INC,,ALLENTOWN OVERLOOK PARK,HEAD START,445 HANOVER AVE,ALLENTOWN,PA,18109,LEHIGH,ALLENTOWN CITY,06/30/2016,FY2015-2016,20,0,20,13994,100128144,29,100128144,POINT (-75.447967 40.612924),42,77
PA PKC,SOUTHERN TIOGA SCH DIST,ACORNS TO OAKS CHILDCARE CENTER LLC,ACORNS TO OAKS CHILDCARE CENTER LLC,CHILD CARE PROVIDER,125 WILSON AVE,MANSFIELD,PA,16933,TIOGA,SOUTHERN TIOGA,06/30/2018,FY2017-2018,17,0,17,15701,103302394,1,1392504,POINT (-77.06956 41.80911),42,117
PA PKC,NORTHEASTERN CHILD CARE SERVICES INC,,TREASURE HOUSE CHILD DEVELOPMENT CENTER,CHILD CARE PROVIDER,264 S MAIN ST,MONTROSE,PA,18801,SUSQUEHANNA,MONTROSE AREA,06/30/2023,FY2022-2023,16,0,16,1340,100302505,6,100302505,POINT (-75.88078 41.82968),42,115
PA PKC,COUNCIL OF THREE RIVERS AMER INDIAN CTR,,CHURCHVIEW CENTER,HEAD START,3198 SCHIECK ST,PITTSBURGH,PA,15227,ALLEGHENY,BALDWIN-WHITEHALL,06/30/2020,FY2019-2020,40,0,40,18873,100137466,12,100137466,POINT (-79.9611 40.3869),42,3
PA PKC,SCHOOL DISTRICT OF PHILADELPHIA,YOUNG WORLD EARLY LEARNING CENTER INC,YOUNG WORLD EARLY LEARNING CENTER,CHILD CARE PROVIDER,1737 FAIRMOUNT AVE,PHILADELPHIA,PA,19130,PHILADELPHIA,PHILADELPHIA CITY,06/30/2018,FY2017-2018,20,0,20,1224,100128420,1,100137321,POINT (-75.166501 39.967174),42,101
PA PKC,SCHUYLKILL IU 29,PINE GROVE AREA SCHOOL DISTRICT,PINE GROVE AREA SCHOOL DISTRICT,SCHOOL DISTRICT,107 SCHOOL ST,PINE GROVE,PA,17963,SCHUYLKILL,PINE GROVE AREA,06/30/2018,FY2017-2018,18,0,18,14035,101408115,2,100306578,POINT (-76.380329 40.558311),42,107
PA PKC,PINKY TOES CHILD CARE AND DEVELOPMENT CE,,PINKY TOES CHILDCARE & DVPT CTR,CHILD CARE PROVIDER,204 E CRAWFORD AVE,CONNELLSVILLE,PA,15425,FAYETTE,CONNELLSVILLE AREA,06/30/2021,FY2020-2021,20,0,20,8912,102091553,1,102091553,POINT (-79.58712 40.018),42,51
PA PKC,CONESTOGA VALLEY S D,LANCASTER MENNONITE SCHOOL,LANCASTER MENNONITE SCHOOL LOCUST GROVE CAMPUS,LICENSED NURSERY,2176 LINCOLN HWY E,LANCASTER,PA,17602,LANCASTER,CONESTOGA VALLEY,06/30/2024,FY2023-2024,16,0,16,14004,103078091,1,101362867,POINT (-76.22613 40.02869),42,71
PA PKC,COMMUNITY SERVICES FOR CHILDREN INC,,BOYS AND GIRLS CLUB,HEAD START,1302 W TURNER ST,ALLENTOWN,PA,18102,LEHIGH,ALLENTOWN CITY,06/30/2022,FY2021-2022,20,0,20,19455,100128144,35,100128144,POINT (-75.48556 40.60161),42,77
PA PKC,CHILD DEVELOPMENT CENTERS INC,,CENTURY CHILD DEVELOPMENT CENTER,HEAD START,504 E 27TH ST,ERIE,PA,16504,ERIE,ERIE CITY,06/30/2021,FY2020-2021,6,0,6,21983,100221926,36,100221926,POINT (-80.061634025 42.115558983),42,49
PA PKC,LYCOMING-CLINTON COUNTIES COMMISSION FOR,,REACH ROAD CENTER,HEAD START,2796 REACH RD,WILLIAMSPORT,PA,17701,LYCOMING,WILLIAMSPORT AREA,06/30/2016,FY2015-2016,30,0,30,3670,101207823,13,101207823,POINT (-77.06432 41.22569),42,81
PA PKC,LYCOMING-CLINTON COUNTIES COMMISSION FOR,,RENOVO ELEMENTARY SCHOOL,HEAD START,1301 BUCKTAIL AVE,RENOVO,PA,17764,CLINTON,KEYSTONE CENTRAL,06/30/2016,FY2015-2016,18,0,18,1271,101207823,4,101207823,POINT (-77.70876 41.33673),42,35
PA PKC,MILLCREEK TOWNSHIP SCHOOL DISTRICT,,BELLE VALLEY CHILD DEVELOPMENT,SCHOOL DISTRICT,5300 HENDERSON RD,ERIE,PA,16509,ERIE,MILLCREEK TOWNSHIP,06/30/2021,FY2020-2021,0,20,20,1301,100138211,1,100138211,POINT (-80.02481 42.09947),42,49
PA PKC,PIC WESTMORELAND/FAYETTE,,WHARTON CENTER,HEAD START,136 ELLIOTSVILLE RD,FARMINGTON,PA,15437,FAYETTE,UNIONTOWN AREA,06/30/2019,FY2018-2019,19,0,19,1299,100134894,3,100134894,POINT (-79.56846 39.80431),42,51
PA PKC,PITTSBURGH PUBLIC SCHOOLS,RANDOLPH M DUVA,SMALL WORLD EARLY LEARNING AND DEVELOPMENT CENTER,CHILD CARE PROVIDER,607 PENN AVE,PITTSBURGH,PA,15222,ALLEGHENY,PITTSBURGH,06/30/2019,FY2018-2019,13,0,13,1272,100139498,2,100133995,POINT (-80.002004 40.442781),42,3
PA PKC,BERKS COMMUNITY ACTION PROGRAM,BERKS COUNTY INTERMEDIATE UNIT 14,BCIU LEARNING CENTER AT BERKSHIRE HEIGHTS,HEAD START,711 N WYOMISSING BLVD,READING,PA,19610,BERKS,WYOMISSING AREA,06/30/2023,FY2022-2023,18,0,18,21853,100127085,56,102280111,POINT (-75.96215 40.34304),42,11
PA PKC,SENECA HIGHLANDS IU 9,YMCA OF OLEAN NY AND BRADFORD PA,YMCA CHILD CARE,CHILD CARE PROVIDER,55 BOYLSTON ST # 59,BRADFORD,PA,16701,MCKEAN,BRADFORD AREA,06/30/2023,FY2022-2023,18,0,18,11656,101826410,2,1485819,POINT (-78.648185981 41.957377005),42,83
PA PKC,BRISTOL TOWNSHIP SCHOOL DISTRICT,RADCLIFFE LEARNING CENTER INC,RADCLIFFE LEARNING CENTER,CHILD CARE PROVIDER,1101 RADCLIFFE ST,BRISTOL,PA,19007,BUCKS,BRISTOL BOROUGH,06/30/2017,FY2016-2017,20,0,20,2580,100284990,1,1392498,POINT (-74.845355 40.100396),42,17
PA PKC,WARREN FOREST COUNTIES ECONOMIC OPPORTUN,,MCCLINTOCK HEAD START,HEAD START,1209 PENNSYLVANIA AVE W,WARREN,PA,16365,WARREN,WARREN COUNTY,06/30/2015,FY2014-2015,20,0,20,9783,102280194,2,102280194,POINT (-79.16416 41.84149),42,123
PA PKC,SCHOOL DISTRICT OF PHILADELPHIA,KENCREST SERVICES,KEN-CREST SERVICES-KENSINGTON CENTER,CHILD CARE PROVIDER,901 E ONTARIO ST,PHILADELPHIA,PA,19134,PHILADELPHIA,PHILADELPHIA CITY,06/30/2021,FY2020-2021,60,0,60,1519,100000999,175,100137321,POINT (-75.112632 39.999552),42,101
PA PKC,BUTLER COUNTY CHILDRENS CENTER,,DASSA MCKINNEY ELEMENTARY,HEAD START,391 HOOKER RD,WEST SUNBURY,PA,16061,BUTLER,MONITEAU,06/30/2016,FY2015-2016,17,0,17,12543,100134277,7,100134277,POINT (-79.8803 41.00164),42,19
PA PKC,CHILD ADVOCATES OF BLAIR COUNTY INC,,WILLIAMSBURG ELEMENTARY,HEAD START,607 SAGE HILL DR,WILLIAMSBURG,PA,16693,BLAIR,WILLIAMSBURG COMMUNITY,06/30/2022,FY2021-2022,17,0,17,13353,100134769,20,100134769,POINT (-78.205997 40.460175),42,13
PA PKC,LANCASTER-LEBANON INTERMEDIATE UNIT 13,LUTHERCARE,LUTHERCARE FOR KIDS REAMSTOWN,CHILD CARE PROVIDER,58 S REAMSTOWN RD,STEVENS,PA,17567,LANCASTER,COCALICO,06/30/2016,FY2015-2016,10,0,10,2788,100126041,27,100758487,POINT (-76.127509 40.207823),42,71
PA PKC,MONTGOMERY COUNTY COMMUNITY COLLEGE,,MONTGOMERY COUNTY COMMUNITY COLLEGE CHIL,CHILD CARE PROVIDER,340 DEKALB PIKE,BLUE BELL,PA,19422,MONTGOMERY,WISSAHICKON,06/30/2021,FY2020-2021,26,0,26,1597,100126838,1,100126838,POINT (-75.279295 40.177944),42,91
PA PKC,CHRIST CORNERSTONE PRODUCTIONS ACADEMY L,,CHRIST CORNERSTONE PRODUCTIONS ACADEMY LLC,CHILD CARE PROVIDER,747 N FRONT ST,STEELTON,PA,17113,DAUPHIN,STEELTON-HIGHSPIRE,06/30/2024,FY2023-2024,57,0,57,11825,102803901,1,102803901,POINT (-76.85086 40.23927),42,43
PA PKC,PIC WESTMORELAND/FAYETTE,,RESERVE PRIMARY,HEAD START,2107 LONSDALE ST,PITTSBURGH,PA,15212,ALLEGHENY,SHALER AREA,06/30/2021,FY2020-2021,20,0,20,13836,100134894,35,100134894,POINT (-79.98085 40.47544),42,3
PA PKC,KIDS FIRST CENTER FOR EARLY LEARNING,,KIDS FIRST CENTER FOR EARLY LEARNING,CHILD CARE PROVIDER,4 SHERATON DR,ALTOONA,PA,16601,BLAIR,ALTOONA AREA,06/30/2023,FY2022-2023,100,0,100,22090,103665372,1,103665372,POINT (-78.41171 40.45893),42,13
PA PKC,DELAWARE COUNTY INTERMEDIATE UNIT,DELCO CHILD DAY CARE ASSOCIATION,DELCO CHILD DAY CARE NO C,CHILD CARE PROVIDER,352 CHILDS AVE,DREXEL HILL,PA,19026,DELAWARE,UPPER DARBY,06/30/2021,FY2020-2021,29,0,29,1512,100125886,4,100002680,POINT (-75.301456 39.941337),42,45
PA PKC,SCHOOL DISTRICT OF CITY OF YORK,COMMUNITY PROGRESS COUNCIL INC,MCKINLEY ELEMENTARY,HEAD START,600 MANOR ST,YORK,PA,17403,YORK,YORK CITY,06/30/2020,FY2019-2020,19,0,19,1472,100126696,7,1455417,POINT (-76.728825 39.95246),42,133
PA PKC,YWCA OF YORK,,YWCA YORK LINCOLN CHARTER SAC,CHILD CARE PROVIDER,559 W KING ST,YORK,PA,17401,YORK,YORK CITY,06/30/2024,FY2023-2024,40,0,40,23259,100125957,22,100125957,POINT (-76.74163 39.95676),42,133
PA PKC,BRIGHTSIDE ACADEMY INC,,BRIGHTSIDE ACADEMY EARLY CARE EDUCATION,CHILD CARE PROVIDER,2300 W ALLEGHENY AVE ACCA # 24,PHILADELPHIA,PA,19132,PHILADELPHIA,PHILADELPHIA CITY,06/30/2023,FY2022-2023,20,0,20,5526,100140532,50,100140532,POINT (-75.16772 40.00352),42,101
PA PKC,SCHOOL DISTRICT OF CITY OF YORK,COMMUNITY PROGRESS COUNCIL INC,DAVIS ELEMENTARY,HEAD START,300 S OGONTZ ST,YORK,PA,17403,YORK,YORK CITY,06/30/2019,FY2018-2019,36,0,36,1463,100126696,9,1455417,POINT (-76.697617 39.966023),42,133
PA PKC,CHILD CARE SERVICES INC,,OWL HILL LEARNING CENTER,LICENSED NURSERY,506 OWL HILL RD,LITITZ,PA,17543,LANCASTER,WARWICK,06/30/2020,FY2019-2020,12,8,20,1093,100123433,2,100123433,POINT (-76.2757 40.14319),42,71
PA PKC,SCHOOL DISTRICT OF PHILADELPHIA,YOUTH ENRICHMENT PROGRAMS INC,DISCOVERY PLACE FOR LITTLE PEOPLE,CHILD CARE PROVIDER,2029 S 7TH ST # 37,PHILADELPHIA,PA,19148,PHILADELPHIA,PHILADELPHIA CITY,06/30/2016,FY2015-2016,70,0,70,1227,100318891,2,100137321,POINT (-75.158124 39.923277),42,101
PA PKC,BRADFORD TIOGA HEAD START INC.,,ELKLAND 1,HEAD START,117 COATES AVE,ELKLAND,PA,16920,TIOGA,NORTHERN TIOGA,06/30/2021,FY2020-2021,16,17,33,13874,102877208,11,102877208,POINT (-77.31031 41.98838),42,117
PA PKC,GREATER NANTICOKE AREA SCHOOL DISTRICT,,KENNEDY EARLY CHILDHOOD CENTER,SCHOOL DISTRICT,513 KOSCIUSZKO ST,NANTICOKE,PA,18634,LUZERNE,GREATER NANTICOKE AREA,06/30/2022,FY2021-2022,0,38,38,20814,1448870,5,1448870,POINT (-75.99205 41.20292),42,79
PA PKC,CRAFTON CHILDRENS CORNER,,CRAFTON CHILDRENS CORNER,CHILD CARE PROVIDER,875 GREENTREE RD BLDG 6,PITTSBURGH,PA,15220,ALLEGHENY,PITTSBURGH,06/30/2021,FY2020-2021,4,0,4,1578,100134491,4,100134491,POINT (-80.0392 40.42462),42,3
