Grant,Lead Agency Name,Partner Name,Location Name,Provider Type,Street Address,City,State,Zip Code,Location County Served,Location School District,FY Year End Date,Fiscal Year,Full Day Funded Slots,Half Day Funded Slots,Total Funded Slots,Pre-K Identification Number,Master Provider Identification (MPI) Number,Master Provider ID Service Location Identification Number,Lead Agency Master Provider ID,Georeferenced Latitude & Longitude,State FIPS Code,County FIPS Code
PA PKC,SETON HILL CHILD SERVICES INC,TOTS-N-TIKES,TOTS-N-TIKES,CHILD CARE PROVIDER,10 S 8TH ST,YOUNGWOOD,PA,15697,WESTMORELAND,HEMPFIELD AREA,06/30/2016,FY2015-2016,38,0,38,1338,100155240,3,100153755,POINT (-79.58248 40.24097),42,129
PA PKC,"TABLELAND SERVICES, INC.",,TECH CENTER,HEAD START,281 TECHNOLOGY CENTER DR,SOMERSET,PA,15501,SOMERSET,SOMERSET AREA,06/30/2018,FY2017-2018,0,13,13,14361,101151030,25,101151030,POINT (-79.030357 40.006583),42,111
PA PKC,CHILDREN OF AMERICA,CHILDREN OF AMERICA NORTH WALES LLC,CHILDREN OF AMERICA NORTH WALES LLC,CHILD CARE PROVIDER,1200 WELSH ROAD BUILDING Q,NORTH WALES,PA,19454,MONTGOMERY,NORTH PENN,06/30/2021,FY2020-2021,10,0,10,8676,101992680,1,102699358,POINT (-75.25766 40.22734),42,91
PA PKC,LANCASTER-LEBANON INTERMEDIATE UNIT 13,CAP OF LANCASTER COUNTY,REAMSTOWN ELEMENTARY SCHOOL,HEAD START,44 N REAMSTOWN ROAD,REAMSTOWN,PA,17567,LANCASTER,COCALICO,06/30/2021,FY2020-2021,15,0,15,21923,100126785,10,100758487,POINT (-76.121932 40.212917),42,71
PA PKC,HANSEL & GRETEL EARLY LEARN CTR INC,,HANSEL AND GRETEL EARLY LEARNING CENTER,CHILD CARE PROVIDER,2206 WALNUT ST,HARRISBURG,PA,17103,DAUPHIN,SUSQUEHANNA TOWNSHIP,06/30/2018,FY2017-2018,20,0,20,2455,100128028,3,100128028,POINT (-76.85611 40.27451),42,43
PA PKC,SENECA HIGHLANDS IU 9,SMETHPORT AREA SD,SMETHPORT AREA SD,SCHOOL DISTRICT,414 S MECHANIC ST,SMETHPORT,PA,16749,MCKEAN,SMETHPORT AREA,06/30/2022,FY2021-2022,40,0,40,1109,102280176,1,1485819,POINT (-78.441562 41.804696),42,83
PA PKC,PITTSBURGH PUBLIC SCHOOLS,BRIGHTSIDE ACADEMY PITTSBURGH LLC,BRIGHTSIDE ACADEMY EARLY EDUCATION,CHILD CARE PROVIDER,5919 PENN AVE,PITTSBURGH,PA,15206,ALLEGHENY,PITTSBURGH,06/30/2020,FY2019-2020,20,0,20,21690,103603600,5,100133995,POINT (-79.926286 40.461953),42,3
PA PKC,BLOOM EARLY EDUCATION CENTERS INC,,BLOOM EARLY EDUCATION CENTERS INC,CHILD CARE PROVIDER,135 OWEN ST,KINGSTON,PA,18704,LUZERNE,WYOMING VALLEY WEST,06/30/2017,FY2016-2017,18,0,18,13721,100136781,5,100136781,POINT (-75.868457 41.297691),42,79
PA PKC,MMJJ INC,,MMJJ,CHILD CARE PROVIDER,233 E 4TH ST,MOUNT CARMEL,PA,17851,NORTHUMBERLAND,MOUNT CARMEL AREA,06/30/2020,FY2019-2020,18,0,18,7814,101353750,1,101353750,POINT (-76.409053 40.796472),42,97
PA PKC,CENTRAL SUSQUEHANNA INTERMEDIATE UNIT,,BECK ELEMENTARY,HEAD START,600 ARCH ST,SUNBURY,PA,17801,NORTHUMBERLAND,SHIKELLAMY,06/30/2016,FY2015-2016,18,0,18,1307,100891119,5,100891119,POINT (-76.787581 40.861732),42,97
PA PKC,ERIE CITY SCHOOL DISTRICT,,MCKINLEY ELEMENTARY,SCHOOL DISTRICT,933 E 22ND ST,ERIE,PA,16503,ERIE,ERIE CITY,06/30/2019,FY2018-2019,16,0,16,12558,1296704,14,1296704,POINT (-80.0548 42.12298),42,49
PA PKC,BERKS COUNTY INTERMEDIATE UNIT,,BCIU LEARNING CENTER AT MUHLENBERG ELEMENTARY CENT,HEAD START,610 SHARP AVE,READING,PA,19605,BERKS,MUHLENBERG,06/30/2020,FY2019-2020,20,0,20,18164,100127085,39,100127085,,42,11
PA PKC,ALLEGHENY INTERMEDIATE UNIT,,GATEWAY,HEAD START,9000 GATEWAY CAMPUS BLVD,MONROEVILLE,PA,15146,ALLEGHENY,GATEWAY,06/30/2018,FY2017-2018,19,0,19,14349,100138249,105,100138249,POINT (-79.757784 40.428474),42,3
PA PKC,SETON HILL CHILD SERVICES INC,TOTS-N-TIKES,TOTS-N-TIKES,CHILD CARE PROVIDER,10 S 8TH ST,YOUNGWOOD,PA,15697,WESTMORELAND,HEMPFIELD AREA,06/30/2021,FY2020-2021,40,0,40,1338,100155240,3,100153755,POINT (-79.58266 40.24077),42,129
PA PKC,LANCASTER DAY CARE CENTER,,LANCASTER EARLY EDUCATION CENTER,CHILD CARE PROVIDER,150 S QUEEN ST,LANCASTER,PA,17603,LANCASTER,LANCASTER,06/30/2020,FY2019-2020,80,0,80,1211,100125760,1,100125760,POINT (-76.30514 40.03505),42,71
