Year,Geographic Region,State,Group Method,Method,Suicides,Group Percentage
2008,Northeastern,Massachusetts,Veteran Method,Suffocation,29,40.8
2008,Northeastern,Massachusetts,Veteran Method,Other and low-count methods,17,23.9
2008,Northeastern,New Hampshire,Veteran Method,Firearms,22,64.7
2008,Northeastern,New Hampshire,Veteran Method,Other and low-count methods,12,35.3
2008,Northeastern,New Jersey,Veteran Method,Firearms,47,52.8
2008,Northeastern,New Jersey,Veteran Method,Suffocation,26,29.2
2008,Northeastern,New Jersey,Veteran Method,Other and low-count methods,16,18
2008,Northeastern,New York,Veteran Method,Firearms,111,51.4
2008,Northeastern,New York,Veteran Method,Poisoning,39,18.1
2008,Northeastern,New York,Veteran Method,Suffocation,48,22.2
2008,Northeastern,New York,Veteran Method,Other suicide,18,8.3
2008,Northeastern,Pennsylvania,Veteran Method,Firearms,192,64
2008,Northeastern,Pennsylvania,Veteran Method,Poisoning,40,13.3
2008,Northeastern,Pennsylvania,Veteran Method,Suffocation,53,17.7
2008,Northeastern,Pennsylvania,Veteran Method,Other suicide,15,5
2008,Northeastern,Rhode Island,Veteran Method,Other and low-count methods,17,100
2008,Northeastern,Vermont,Veteran Method,Other and low-count methods,21,100
2008,Midwestern,Region Total,Veteran Method,Firearms,895,64.6
2008,Midwestern,Region Total,Veteran Method,Poisoning,197,14.2
2008,Midwestern,Region Total,Veteran Method,Suffocation,226,16.3
2008,Midwestern,Region Total,Veteran Method,Other suicide,68,4.9
2008,Midwestern,Illinois,Veteran Method,Firearms,107,54.3
2008,Midwestern,Illinois,Veteran Method,Poisoning,34,17.3
2008,Midwestern,Illinois,Veteran Method,Suffocation,41,20.8
2008,Midwestern,Illinois,Veteran Method,Other suicide,15,7.6
2008,Midwestern,Indiana,Veteran Method,Firearms,132,75
2008,Midwestern,Indiana,Veteran Method,Suffocation,19,10.8
2008,Midwestern,Indiana,Veteran Method,Other and low-count methods,25,14.2
2008,Midwestern,Iowa,Veteran Method,Firearms,35,53.8
2008,Midwestern,Iowa,Veteran Method,Poisoning,18,27.7
2008,Midwestern,Iowa,Veteran Method,Other and low-count methods,12,18.5
2008,Midwestern,Kansas,Veteran Method,Firearms,39,68.4
2008,Midwestern,Kansas,Veteran Method,Other and low-count methods,18,31.6
2008,Midwestern,Michigan,Veteran Method,Firearms,137,70.6
2008,Midwestern,Michigan,Veteran Method,Suffocation,29,14.9
2008,Midwestern,Michigan,Veteran Method,Other and low-count methods,28,14.4
2008,Midwestern,Minnesota,Veteran Method,Firearms,60,58.8
2008,Midwestern,Minnesota,Veteran Method,Poisoning,21,20.6
2008,Midwestern,Minnesota,Veteran Method,Other and low-count methods,21,20.6
2008,Midwestern,Missouri,Veteran Method,Firearms,95,66
2008,Midwestern,Missouri,Veteran Method,Suffocation,29,20.1
2008,Midwestern,Missouri,Veteran Method,Other and low-count methods,20,13.9
2008,Midwestern,Nebraska,Veteran Method,Firearms,21,60
2008,Midwestern,Nebraska,Veteran Method,Other and low-count methods,14,40
2008,Midwestern,North Dakota,Veteran Method,Other and low-count methods,10,100
2008,Midwestern,Ohio,Veteran Method,Firearms,166,65.4
2008,Midwestern,Ohio,Veteran Method,Poisoning,33,13
2008,Midwestern,Ohio,Veteran Method,Suffocation,43,16.9
2008,Midwestern,Ohio,Veteran Method,Other suicide,12,4.7
2008,Midwestern,South Dakota,Veteran Method,Other and low-count methods,17,100
2008,Midwestern,Wisconsin,Veteran Method,Firearms,82,60.7
2008,Midwestern,Wisconsin,Veteran Method,Poisoning,25,18.5
2008,Midwestern,Wisconsin,Veteran Method,Other and low-count methods,28,20.7
2008,Southern,Region Total,Veteran Method,Firearms,"1,863",70.3
2008,Southern,Region Total,Veteran Method,Poisoning,295,11.1
2008,Southern,Region Total,Veteran Method,Suffocation,361,13.6
2008,Southern,Region Total,Veteran Method,Other suicide,130,4.9
2008,Southern,Alabama,Veteran Method,Firearms,97,80.8
2008,Southern,Alabama,Veteran Method,Suffocation,13,10.8
2008,Southern,Alabama,Veteran Method,Other and low-count methods,10,8.3
2008,Southern,Arkansas,Veteran Method,Firearms,61,70.9
2008,Southern,Arkansas,Veteran Method,Suffocation,15,17.4
2008,Southern,Arkansas,Veteran Method,Other and low-count methods,10,11.6
2008,Southern,Delaware,Veteran Method,Other and low-count methods,16,100
2008,Southern,District of Columbia,Veteran Method,Other and low-count methods,<10, 
2008,Southern,Florida,Veteran Method,Firearms,367,65.4
2008,Southern,Florida,Veteran Method,Poisoning,97,17.3
2008,Southern,Florida,Veteran Method,Suffocation,72,12.8
2008,Southern,Florida,Veteran Method,Other suicide,25,4.5
2008,Southern,Georgia,Veteran Method,Firearms,136,72.3
2008,Southern,Georgia,Veteran Method,Poisoning,23,12.2
2008,Southern,Georgia,Veteran Method,Other and low-count methods,29,15.4
2008,Southern,Kentucky,Veteran Method,Firearms,84,73
2008,Southern,Kentucky,Veteran Method,Suffocation,15,13
2008,Southern,Kentucky,Veteran Method,Other and low-count methods,16,13.9
2008,Southern,Louisiana,Veteran Method,Firearms,66,67.3
2008,Southern,Louisiana,Veteran Method,Suffocation,22,22.4
2008,Southern,Louisiana,Veteran Method,Other and low-count methods,10,10.2
2008,Southern,Maryland,Veteran Method,Firearms,64,68.1
2008,Southern,Maryland,Veteran Method,Suffocation,16,17
2008,Southern,Maryland,Veteran Method,Other and low-count methods,14,14.9
2008,Southern,Mississippi,Veteran Method,Firearms,66,79.5
2008,Southern,Mississippi,Veteran Method,Other and low-count methods,17,20.5
2008,Southern,North Carolina,Veteran Method,Firearms,151,72.6
2008,Southern,North Carolina,Veteran Method,Poisoning,31,14.9
2008,Southern,North Carolina,Veteran Method,Suffocation,16,7.7
2008,Southern,North Carolina,Veteran Method,Other suicide,10,4.8
2008,Southern,Oklahoma,Veteran Method,Firearms,86,69.9
2008,Southern,Oklahoma,Veteran Method,Suffocation,19,15.4
2008,Southern,Oklahoma,Veteran Method,Other and low-count methods,18,14.6
2008,Southern,South Carolina,Veteran Method,Firearms,83,74.8
2008,Southern,South Carolina,Veteran Method,Suffocation,16,14.4
2008,Southern,South Carolina,Veteran Method,Other and low-count methods,12,10.8
2008,Southern,Tennessee,Veteran Method,Firearms,114,69.5
2008,Southern,Tennessee,Veteran Method,Suffocation,26,15.9
2008,Southern,Tennessee,Veteran Method,Other and low-count methods,24,14.6
2008,Southern,Texas,Veteran Method,Firearms,329,72.5
2008,Southern,Texas,Veteran Method,Poisoning,34,7.5
2008,Southern,Texas,Veteran Method,Suffocation,61,13.4
2008,Southern,Texas,Veteran Method,Other suicide,30,6.6
2008,Southern,Virginia,Veteran Method,Firearms,117,67.2
2008,Southern,Virginia,Veteran Method,Poisoning,18,10.3
2008,Southern,Virginia,Veteran Method,Suffocation,27,15.5
2008,Southern,Virginia,Veteran Method,Other suicide,12,6.9
2008,Southern,West Virginia,Veteran Method,Firearms,32,66.7
2008,Southern,West Virginia,Veteran Method,Other and low-count methods,16,33.3
2008,Western,Region Total,Veteran Method,Firearms,"1,089",63.4
2008,Western,Region Total,Veteran Method,Poisoning,263,15.3
2008,Western,Region Total,Veteran Method,Suffocation,273,15.9
2008,Western,Region Total,Veteran Method,Other suicide,92,5.4
2008,Western,Alaska,Veteran Method,Other and low-count methods,21,100
2008,Western,Arizona,Veteran Method,Firearms,141,72.7
2008,Western,Arizona,Veteran Method,Poisoning,29,14.9
2008,Western,Arizona,Veteran Method,Other and low-count methods,24,12.4
2008,Western,California,Veteran Method,Firearms,358,57.6
