Model,Coefficient,Std_Error,T_stat,P_value,R_squared,N
No state FE,0.037216740115196156,0.012076331621222711,3.081791829051148,0.0020575867682774795,0.2475172057976751,2682
State FE,0.005637658294987812,0.005535123213899363,1.0185244441950219,0.3084287902373031,0.442527155501373,2682
State FE (log lead),1.292041308849098,0.3438350885509761,3.757735472240912,0.00017145799509860705,0.44605735415052195,2682
