FIPS,county_name,total_households,living_alone,pct_living_alone
02230,"Skagway Municipality, Alaska",410.0,178.0,43.41
02240,"Southeast Fairbanks Census Area, Alaska",2189.0,589.0,26.91
02275,"Wrangell City and Borough, Alaska",928.0,343.0,36.96
02282,"Yakutat City and Borough, Alaska",231.0,63.0,27.27
02290,"Yukon-Koyukuk Census Area, Alaska",2078.0,807.0,38.84
04001,"Apache County, Arizona",19786.0,6380.0,32.25
04003,"Cochise County, Arizona",49680.0,16773.0,33.76
04005,"Coconino County, Arizona",51993.0,14041.0,27.01
04007,"Gila County, Arizona",22714.0,7504.0,33.04
04009,"Graham County, Arizona",12018.0,2620.0,21.8
04011,"Greenlee County, Arizona",3304.0,987.0,29.87
04012,"La Paz County, Arizona",8911.0,3048.0,34.2
04013,"Maricopa County, Arizona",1665560.0,434191.0,26.07
04015,"Mohave County, Arizona",95169.0,29475.0,30.97
04017,"Navajo County, Arizona",37565.0,9652.0,25.69
04019,"Pima County, Arizona",423075.0,131578.0,31.1
04021,"Pinal County, Arizona",151490.0,31954.0,21.09
04023,"Santa Cruz County, Arizona",16651.0,3927.0,23.58
04025,"Yavapai County, Arizona",106542.0,33553.0,31.49
04027,"Yuma County, Arizona",74678.0,16505.0,22.1
05001,"Arkansas County, Arkansas",6559.0,1982.0,30.22
05003,"Ashley County, Arkansas",7194.0,2509.0,34.88
05005,"Baxter County, Arkansas",19021.0,6327.0,33.26
05007,"Benton County, Arkansas",104164.0,23133.0,22.21
05009,"Boone County, Arkansas",15172.0,4548.0,29.98
05011,"Bradley County, Arkansas",3587.0,1324.0,36.91
05013,"Calhoun County, Arkansas",1498.0,434.0,28.97
05015,"Carroll County, Arkansas",11357.0,2879.0,25.35
05017,"Chicot County, Arkansas",4008.0,1537.0,38.35
05019,"Clark County, Arkansas",7955.0,2381.0,29.93
05021,"Clay County, Arkansas",6063.0,1886.0,31.11
05023,"Cleburne County, Arkansas",10626.0,3269.0,30.76
05025,"Cleveland County, Arkansas",2742.0,781.0,28.48
05027,"Columbia County, Arkansas",7826.0,2443.0,31.22
05029,"Conway County, Arkansas",8422.0,2251.0,26.73
05031,"Craighead County, Arkansas",42351.0,11440.0,27.01
05033,"Crawford County, Arkansas",22731.0,5609.0,24.68
05035,"Crittenden County, Arkansas",18587.0,5442.0,29.28
