model,n,alt_beta,alt_p,alt_sig,r_squared,adj_r_squared
Model 1: Altitude only,1086,3.9112259735649375,1.0689236450018356e-55,***,0.20397944343731444,0.20324510713052235
Model 2: + Veteran %,1086,3.4967470161409873,1.6800608629269578e-49,***,0.2907499277692662,0.28944014000891394
Model 3: + Rurality,1086,3.166739188790787,8.246596481102749e-44,***,0.34807198224424574,0.3462644184242206
Model 4: + Gender ratio,1086,3.0985222737938973,8.691539443480193e-42,***,0.351949544959376,0.3495515784282358
Model 5: + Extraction,1085,2.9072491821588833,3.204434974660735e-37,***,0.36586106138611496,0.36292251208762616
Model 6: + Poverty + Education,1085,3.649421081116308,8.2224960535818765e-50,***,0.4013886243317776,0.39749792829679376
Model 7: + Divorce + Unemployment,1085,3.6435688643469986,7.084285978585467e-50,***,0.4100691494861607,0.40513019352837043
Model 8: Full,1085,3.6554409320915315,3.4525817182585823e-50,***,0.41160692021045797,0.4061283999144659
