state_name,location_address,update_date,std_full_address,user_id,std_city_name,country_name,tribal_land_name,federal_agency_code,std_stype_before,std_base_name,std_stype_after,refresh_date,std_name,create_date,city_name,federal_facility_code,tribal_land_code,site_type_name,registry_id,primary_name,std_state_code,county_name,small_bus_ind,source_of_data,std_street_name,postal_code,huc_code_12,sensitive_ind,std_county_fips,fips_code,pgm_sys_id,std_house_number,huc_code_8,std_county_name,location_description,std_prefix,std_country,public_ind,supplemental_location,epa_region_code,state_code,data_quality_code,addr_type,last_reported_date,std_postal_code,legislative_dist_num,std_loc_address,std_suffix,pgm_sys_acrnm
,156 PARRIS AVE,,,,,USA,,,,,,,,,HIGH POINT,,,,110006362701,USA RESERVE XVIII AIRBORNE CORPS,,GUILFORD,,SEMS,,27262,,,,,NC3210022486,,,,,,,Y,,4.0,NC,,,,,,,,SEMS
,156 PRINCETON STREET,,,,,USA,,,,,,,,,HOLDEN (JEFFERSON),,,,110000308961,ECC CORP,,WORCESTER,,SEMS,,01522 1450,,,,,MAD001138726,,,,,,,Y,,1.0,MA,,,,,,,,SEMS
,156 RAIDER ROAD,,,,,USA,,,,,,,,,STATESVILLE,,,,110056322554,IREDELL STATESVILLE SCHOOLS MERCURY RELEASE,,IREDELL,,SEMS,,28660,,,,,NCN000411009,,,,,,,Y,,4.0,NC,,,,,,,,SEMS
,156 SOUTH 800 WEST,,,,,USA,,,,,,,,,BRIGHAM CITY,,,,110009314946,RAHKONEN DRUMS,,BOX ELDER,,SEMS,,84302,,,,,UTD981545981,,,,,,,Y,,8.0,UT,,,,,,,,SEMS
,156 UPPER APPLEGATE ROAD,,,,,USA,,,,,,,,,JACKSONVILLE,,,,110071102820,RUCH AREAWIDE GROUNDWATER SITE,,JACKSON,,SEMS,,97530,,,,,ORN001001585,,,,,,,Y,,10.0,OR,,,,,,,,SEMS
,15700 DIXIE HIGHWAY,,,,,USA,,,,,,,,,LOUISVILLE,,,,110064083646,LOUISVILLE ENVIRONMENTAL SERVICES,,JEFFERSON,,SEMS,,40272,,,,,KYD079661146,,,,,,,Y,,4.0,KY,,,,,,,,SEMS
,1570 34TH STREET,,,,,USA,,,,,,,,,OAKLAND,,,,110039012715,FOSTER S PLATING,,ALAMEDA,,SEMS,,94607,,,,,CAN000908673,,,,,,,Y,,9.0,CA,,,,,,,,SEMS
,15711 12 MILE ROAD,,,,,USA,,,,,,,,,ROSEVILLE,,,,110071941521,RCO ENGINEERING INDUSTRIAL FIRE,, NOT DEFINED ,,SEMS,,48066,,,,,MIN000522162,,,,,,,Y,,5.0,MI,,,,,,,,SEMS
,15717 CLEAR SPRING ROAD,,,,,USA,,,,,,,,,WILLIAMSPORT,,,,110000340569,FORMER GARDEN STATE TANNERY GST AUTOLEATHER INC ,,WASHINGTON,,SEMS,,21795,,,,,MDN000305688,,,,,,,Y,,3.0,MD,,,,,,,,SEMS
,15731 GRAHAM AVE,,,,,USA,,,,,,,,,HUNTINGTON BEACH,,,,110009329397,POLYMER DEVELOPMENT LABS 2,,ORANGE,,SEMS,,92649,,,,,CAD982360653,,,,,,,Y,,9.0,CA,,,,,,,,SEMS
,15740 WESTBROOK ROAD,,,,,USA,,,,,,,,,DETROIT,,,,110027375677,WESTBROOK MERCURY SPILL,,WAYNE,,SEMS,,48223 1133,,,,,MIN000510166,,,,,,,Y,,5.0,MI,,,,,,,,SEMS
,1574 MAPLE AVENUE,,,,,USA,,,,,,,,,HILLSIDE TOWNSHIP,,,,110067039680,JOYET DRY CLEANERS,,UNION,,SEMS,,07205,,,,,NJN000200864,,,,,,,Y,,2.0,NJ,,,,,,,,SEMS
,15753 RENTON ISSAQUAH ROAD,,,,,USA,,,,,,,,,RENTON,,,,110070355134,MAY CREEK LANDFILL,, NOT DEFINED ,,SEMS,,98059,,,,,WAN001010126,,,,,,,Y,,10.0,WA,,,,,,,,SEMS
,1576 MAPLE AVENUE,,,,,USA,,,,,,,,,HILLSIDE TOWNSHIP,,,,110067039671,ASTRO CLEANERS,,UNION,,SEMS,,07205,,,,,NJN000200850,,,,,,,Y,,2.0,NJ,,,,,,,,SEMS
,1577 KOPPERS ROAD,,,,,USA,,,,,,,,,CONLEY,,,,110061437020,ASSOCIATED ASPHALT HCL,,DEKALB,,SEMS,,30288,,,,,GAN000411591,,,,,,,Y,,4.0,GA,,,,,,,,SEMS
,1577 LANCASTER HIGHWAY,,,,,USA,,,,,,,,,CHESTER,,,,110070122788,CAROLINA POLY FIRE,,CHESTER,,SEMS,,29706,,,,,SCN000420093,,,,,,,Y,,4.0,SC,,,,,,,,SEMS
,157 N 7TH STREET,,,,,USA,,,,,,,,,SALINA,,,,110071537376,SALINA PCE LOCATION 2 N 7TH,,SALINE,,SEMS,,67401,,,,,KSN000741032,,,,,,,Y,,7.0,KS,,,,,,,,SEMS
,157 OLD RICHARDSON HIGHWAY,,,,,USA,,,,,,,,,FAIRBANKS,,,,110003041477,ALASKA BATTERY ENTERPRISES,,FAIRBANKS NORTH STAR,,SEMS,,99701,,,,,AKD004904215,,,,,,,Y,,10.0,AK,,,,,,,,SEMS
,1580 BIG LAKE RD,,,,,USA,,,,,,,,,CLOQUET,,,,110040752405,FON DU LAC MERCURY SPILL,,CARLTON,,SEMS,,55720 9771,,,,,MNN000510435,,,,,,,Y,,5.0,MN,,,,,,,,SEMS
,1580 COLUMBIA NITROGEN DRIVE,,,,,USA,,,,,,,,,AUGUSTA,,,,110000359488,GENERAL CHEMICAL,,RICHMOND,,SEMS,,30901 5708,,,,,GASFN0406891,,,,,,,Y,,4.0,GA,,,,,,,,SEMS
,1580 STATE HIGHWAY N,,,,,USA,,,,,,,,,LESTERVILLE,,,,110071101160,HIGHWAY N LEAD CONCENTRATE TRUCK ROLLOVER,,REYNOLDS,,SEMS,,63654,,,,,MON000720288,,,,,,,Y,,7.0,MO,,,,,,,,SEMS
,1580 W BEAVER STREET,,,,,USA,,,,,,,,,JACKSONVILLE,,,,110009275505,PEOPLES GAS,,DUVAL,,SEMS,,32203,,,,,FLD981024672,,,,,,,Y,,4.0,FL,,,,,,,,SEMS
,1581 HUBER STREET,,,,,USA,,,,,,,,,ATLANTA,,,,110067347794,SAF FULTON COUNTY SULFURIC ACID SPILL,,FULTON,,SEMS,,30318,,,,,GAN000403956,,,,,,,Y,,4.0,GA,,,,,,,,SEMS
,15825 ROXFORD STREET,,,,,USA,,,,,,,,,SYLMAR,,,,110000831075,L3 HARRIS OCEAN SYSTEMS,,LOS ANGELES,,SEMS,,91342,,,,,CAD010710051,,,,,,,Y,,9.0,CA,,,,,,,,SEMS
,1583 W BEAVER STREET,,,,,USA,,,,,,,,,JACKSONVILLE,,,,110009274800,KENCO CHEMICAL COMPANY,,DUVAL,,SEMS,,32209,,,,,FLD045146966,,,,,,,Y,,4.0,FL,,,,,,,,SEMS
,15855 HIGHWAY 87 N,,,,,USA,,,,,,,,,TAR HEEL,,,,110070294890,SMITHFIELD AMMONIA RELEASE,,BLADEN,,SEMS,,28392,,,,,NCN000401096,,,,,,,Y,,4.0,NC,,,,,,,,SEMS
,1585 I SMITHTOWN AVE,,,,,USA,,,,,,,,,BOHEMIA,,,,110009303119,BIOCLINICAL LABORATORIES INC ,,SUFFOLK,,SEMS,,11716,,,,,NYD980768683,,,,,,,Y,,2.0,NY,,,,,,,,SEMS
,1586A MAPLE AVENUE,,,,,USA,,,,,,,,,HILLSIDE TOWNSHIP,,,,110067039653,SNOW WHITE WASH AND DRY,,UNION,,SEMS,,07205,,,,,NJN000200785,,,,,,,Y,,2.0,NJ,,,,,,,,SEMS
,15879 32ND STREET,,,,,USA,,,,,,,,,CLEARLAKE,,,,110071901346,CLEARLAKE MERCURY,,LAKE,,SEMS,,95422,,,,,CAN000926592,,,,,,,Y,,9.0,CA,,,,,,,,SEMS
,1587 DELL AVENUE,,,,,USA,,,,,,,,,CAMPBELL,,,,110070823191,UNITED STATES POSTAL SERVICE,,SANTA CLARA,,SEMS,,95008,,,,,CAD983664756,,,,,,,Y,,9.0,CA,,,,,,,,SEMS
,158 CENTRAL AVENUE,,,,,USA,,,,,,,,,ROCHELLE PARK,,,,110004136373,DIXO CO INC ,,BERGEN,,SEMS,,07662,,,,,NJD002009850,,,,,,,Y,,2.0,NJ,,,,,,,,SEMS
,158 COLONEL CASEY DRIVE,,,,,USA,,,,,,,,,COLUMBIA,,,,110067038565,CHEATHAM FARM SPRING,,ADAIR,,SEMS,,42728,,,,,KYN000400414,,,,,,,Y,,4.0,KY,,,,,,,,SEMS
,158 N 400 E,,,,,USA,,,,,,,,,MOAB,,,,110002153357,ORE BUYING STATION MOAB,,GRAND,,SEMS,,84532,,,,,UTD980804421,,,,,,,Y,,8.0,UT,,,,,,,,SEMS
,158 PATTERSON AVENUE,,,,,USA,,,,,,,,,CONCORD,,,,110055128712,PATTERSON AVENUE BATTERY DUMP SITE,,CABARRUS,,SEMS,,28025,,,,,NCN000410937,,,,,,,Y,,4.0,NC,,,,,,,,SEMS
,158 WEST WEYMOUTH ROAD,,,,,USA,,,,,,,,,VINELAND,,,,110004196593,WHEATON INDUSTRIES,,CUMBERLAND,,SEMS,,08630 1630,,,,,NJD982183303,,,,,,,Y,,2.0,NJ,,,,,,,,SEMS
,15928 HOLLINGBOURNE ROAD,,,,,USA,,,,,,,,,HUNTERSVILLE,,,,110045395862,HOLLINGBOURNE ROAD MERCURY RESPONSE,,MECKLENBURG,,SEMS,,28078,,,,,NCN000410827,,,,,,,Y,,4.0,NC,,,,,,,,SEMS
,15930 SOUTH ALAMEDA,,,,,USA,,,,,,,,,COMPTON,,,,110067353287,SOUTHWEST GREASE COMPANY,,LOS ANGELES,,SEMS,,,,,,,CAN000905645,,,,,,,Y,,9.0,CA,,,,,,,,SEMS
,15945 MIDDLE POINT ROAD,,,,,USA,,,,,,,,,VAN WERT,,,,110041622517,LINCOLNVIEW SCHOOL MERCURY,,VAN WERT,,SEMS,,45891,,,,,OHN000510471,,,,,,,Y,,5.0,OH,,,,,,,,SEMS
,1594 N 500 E,,,,,USA,,,,,,,,,PINES TOWNSHIP,,,,110012034324,PINES ELEMENTARY SCHOOL AREA,,PORTER,,SEMS,,46350,,,,,INN000509132,,,,,,,Y,,5.0,IN,,,,,,,,SEMS
,1595 N PACE BLVD,,,,,USA,,,,,,,,,PENSACOLA,,,,110001762334,PROFESSIONAL ONE HOUR CLEANERS,,ESCAMBIA,,SEMS,,32505,,,,,FLD981924475,,,,,,,Y,,4.0,FL,,,,,,,,SEMS
,1596 SOUTHEAST AVE ,,,,,USA,,,,,,,,,TALLMADGE,,,,110012566829,SOUTHEAST AVE MERCURY SPILL,,SUMMIT,,SEMS,,44278,,,,,OHN000508499,,,,,,,Y,,5.0,OH,,,,,,,,SEMS
,1598 S SENATE AVENUE,,,,,USA,,,,,,,,,INDIANAPOLIS,,,,110038289447,GENERAL CHEMICAL,,MARION,,SEMS,,46225,,,,,INN000510784,,,,,,,Y,,5.0,IN,,,,,,,,SEMS
,15995 N MAIN STREET,,,,,USA,,,,,,,,,POWERS,,,,110027851929,PINECREST MERCURY,,MENOMINEE,,SEMS,,49874,,,,,MIN000510160,,,,,,,Y,,5.0,MI,,,,,,,,SEMS
,159 SHIRWAY COURT,,,,,USA,,,,,,,,,LEXINGTON,,,,110041622571,SHIRWAY COURT MERCURY SPILL,,LEXINGTON,,SEMS,,29071,,,,,SCN000410569,,,,,,,Y,,4.0,SC,,,,,,,,SEMS
,159 WEST MAIN STREET,,,,,USA,,,,,,,,,GROTON,,,,110071100075,SQUANNACOOK SPORTSMANS CLUB FORMER ,,MIDDLESEX,,SEMS,,01450,,,,,MAN000153336,,,,,,,Y,,1.0,MA,,,,,,,,SEMS
,15 ACRE PARCL LOCATED ALONG WEST SHORELINE OF,,,,,USA,,,,,,,,,TWO HARBORS,,,,110067035531,BURLINGTON BAY TAR DUMP PLUME,,LAKE,,SEMS,,55616,,,,,MNN000502784,,,,,,,Y,,5.0,MN,,,,,,,,SEMS
,15 BRADY,,,,,USA,,,,,,,,,EAST ST. LOUIS,,,,110018345628,MORRIS PAINTS AND VARNISH,,ST CLAIR,,SEMS,,62207,,,,,ILD096721063,,,,,,,Y,,5.0,IL,,,,,,,,SEMS
,15 COUNTY ROAD,,,,,USA,,,,,,,,,MANSFIELD,,,,110002086563,HATHEWAY PATTERSON,,BRISTOL,,SEMS,,02048,,,,,MAD001060805,,,,,,,Y,,1.0,MA,,,,,,,,SEMS
,15 EAST 14TH STREET,,,,,USA,,,,,,,,,SCOTTSBLUFF,,,,110071102321,14TH STREET AND BROADWAY DRY CLEANER,, NOT DEFINED ,,SEMS,,69363,,,,,NEN000706637,,,,,,,Y,,7.0,NE,,,,,,,,SEMS
,15 E PENNSYLVANIA AVENUE,,,,,USA,,,,,,,,,BEL AIR,,,,110003509490,KROH S CLEANERS,,HARFORD,,SEMS,,21014,,,,,MDN000306793,,,,,,,Y,,3.0,MD,,,,,,,,SEMS
,15 FRANKLIN STREET,,,,,USA,,,,,,,,,SEYMOUR,,,,110030421586,SEYMOUR SPECIALTY WIRE FORMER ,,NEW HAVEN,,SEMS,,06483 2809,,,,,CTD001451954,,,,,,,Y,,1.0,CT,,,,,,,,SEMS
,15 HOGANS ALLEY MCB 4 BLDG 15,,,,,USA,,,,,,,,,QUANTICO,,,,110071100815,FBI ACADEMY,,STAFFORD,,SEMS,,22135,,,,,VAR000012393,,,,,,,Y,,3.0,VA,,,,,,,,SEMS
,15 INDUSTRIAL DRIVE,,,,,USA,,,,,,,,,HAMILTON TOWNSHIP,,,,110001534144,WR GRACE HAMILTON TWP,,MERCER,,SEMS,,08619,,,,,NJD067387472,,,,,,,Y,,2.0,NJ,,,,,,,,SEMS
,15 INDUSTRIAL DRIVE,,,,,USA,,,,,,,,,HAMILTON TOWNSHIP,,,,110001534144,WR GRACE OFFSITE,,MERCER,,SEMS,,08619,,,,,NJN000205935,,,,,,,Y,,2.0,NJ,,,,,,,,SEMS
,1 5 KMS INTERSECT RDS 690 693,,,,,USA,,,,,,,,,CIBUCO WARD,,,,110009344478,VEGA BAJA SLD WASTE DSPL,,VEGA BAJA,,SEMS,,00763,,,,,PRD980512677,,,,,,,Y,,2.0,PR,,,,,,,,SEMS
,15 MARL ROAD,,,,,USA,,,,,,,,,HOWELL TOWNSHIP,,,,110006818587,COMPOUNDERS INC,,MONMOUTH,,SEMS,,07727,,,,,NJN008004020,,,,,,,Y,,2.0,NJ,,,,,,,,SEMS
,15 MEETING HOUSE LANE,,,,,USA,,,,,,,,,LITTLE COMPTON,,,,110071909567,COMMON ST MEETING HOUSE LANE AREA,, NOT DEFINED ,,SEMS,,02837 1543,,,,,RIN000153923,,,,,,,Y,,1.0,RI,,,,,,,,SEMS
,15 MEMORIAL DRIVE,,,,,USA,,,,,,,,,WOODLAND PARK,,,,110014961121,MEMORIAL SCHOOL,,PASSAIC,,SEMS,,07424,,,,,NJC200400919,,,,,,,Y,,2.0,NJ,,,,,,,,SEMS
,15 MI E OF BRISTOL BAY,,,,,USA,,,,,,,,,KING SALMON,,,,110071102837,USAF KING SALMON AIRPORT,,BRISTOL BAY,,SEMS,,99613,,,,,AK3570028669,,,,,,,Y,,10.0,AK,,,,,,,,SEMS
,1 5 MI E OF RANGELY,,,,,USA,,,,,,,,,RANGELY,,,,110070823356,BLM RANGELY LANDFILL,,RIO BLANCO,,SEMS,,81648,,,,,CO0141190074,,,,,,,Y,,8.0,CO,,,,,,,,SEMS
,1 5 MI E OF US HWY 81 S,,,,,USA,,,,,,,,,HUMPHREY,,,,110024527270,HUMPHREY GRAIN BIN,,PLATTE,,SEMS,,68642,,,,,NED981723646,,,,,,,Y,,7.0,NE,,,,,,,,SEMS
,15 MILES N OF ROWLEY EXIT ON I 80,,,,,USA,,,,,,,,,TOOELE COUNTY,,,,110045587352,US MAGNESIUM,,TOOELE,,SEMS,,84029,,,,,UTN000802704,,,,,,,Y,,8.0,UT,,,,,,,,SEMS
,1 5 MILES NORTHWEST OF ROUNDUP,,,,,USA,,,,,,,,,ROUNDUP,,,,110064810673,BLM ROUNDUP LANDFILL,,MUSSELSHELL,,SEMS,,59072,,,,,MTD986066157,,,,,,,Y,,8.0,MT,,,,,,,,SEMS
,1 5 MILES SE OF ESCONDIDO,,,,,USA,,,,,,,,,ESCONDIDO,,,,110009268755,SANTA YSABEL CREEK GROUNDWATER CONTAMIN ,,SAN DIEGO,,SEMS,,92025,,,,,CAD983659152,,,,,,,Y,,9.0,CA,,,,,,,,SEMS
,15 MILES SOUTHEAST OF CASTLE DALE,,,,,USA,,,,,,,,,CASTLE DALE,,,,110064804332,BUCKHORN WASH UNDERGROUND SITE 8,,EMERY,,SEMS,,84513,,,,,UTN000802143,,,,,,,Y,,8.0,UT,,,,,,,,SEMS
