state_name,location_address,update_date,std_full_address,user_id,std_city_name,country_name,tribal_land_name,federal_agency_code,std_stype_before,std_base_name,std_stype_after,refresh_date,std_name,create_date,city_name,federal_facility_code,tribal_land_code,site_type_name,registry_id,primary_name,std_state_code,county_name,small_bus_ind,source_of_data,std_street_name,postal_code,huc_code_12,sensitive_ind,std_county_fips,fips_code,pgm_sys_id,std_house_number,huc_code_8,std_county_name,location_description,std_prefix,std_country,public_ind,supplemental_location,epa_region_code,state_code,data_quality_code,addr_type,last_reported_date,std_postal_code,legislative_dist_num,std_loc_address,std_suffix,pgm_sys_acrnm
,00000 ROAD 22,,,,,USA,,,,,,,,,PERU,,,,110071955973,SULFUR ROAD 22 STOCKPILE,, NOT DEFINED ,,SEMS,,67360,,,,,KSN000741193,,,,,,,Y,,7.0,KS,,,,,,,,SEMS
,006N 003W SECTION 34,,,,,USA,,,,,,,,,BOULDER,,,,110071101650,TACOMA 22 284 ,,JEFFERSON,,SEMS,,59634,,,,,MTN000803106,,,,,,,Y,,8.0,MT,,,,,,,,SEMS
,006N 003W SECTION 34,,,,,USA,,,,,,,,,ELKHORN,,,,110071101649,ELKHORN QUEEN 22 027 ,,JEFFERSON,,SEMS,,56932,,,,,MTN000803105,,,,,,,Y,,8.0,MT,,,,,,,,SEMS
,00 ALC EM,,,,,USA,,,,,,,,,HILL AFB,,,,110020078529,HILL AIR FORCE BASE,, NOT DEFINED ,,SEMS,,84056,,,,,UT0571724350,,,,,,,Y,,8.0,UT,,,,,,,,SEMS
,0 10 MILES NORTHWEST OF 1092 HIGHWAY 75,,,,,USA,,,,,,,,,PARKIN,,,,110039020154,CHERRY PROPERTY,,CROSS,,SEMS,,72373,,,,,ARN000606995,,,,,,,Y,,6.0,AR,,,,,,,,SEMS
,0 10 MILES SW OF CLIFF VIEW LN ,,,,,USA,,,,,,,,,PROCTORVILLE,,,,110043240720,RILEY DEVELOPMENT,,LAWRENCE,,SEMS,,45669,,,,,OHN000510540,,,,,,,Y,,5.0,OH,,,,,,,,SEMS
,011N 006W,,,,,USA,,,,,,,,,AVON,,,,110071101336,OPHIR MINING DISTRICT,,POWELL,,SEMS,,59713,,,,,MTN000802567,,,,,,,Y,,8.0,MT,,,,,,,,SEMS
,0 1 MI EAST OF END OF PLANT ST,,,,,USA,,,,,,,,,GREENVILLE,,,,110009340178,GREENVILLE COAL GAS PLANT,,PITT,,SEMS,,27834,,,,,NCD986188886,,,,,,,Y,,4.0,NC,,,,,,,,SEMS
,0 1 MILE EAST OF 29A CENTENNIAL STREET,,,,,USA,,,,,,,,,HIGH POINT,,,,110009340123,HIGH POINT COAL GAS PLANT,,GUILFORD,,SEMS,,27260,,,,,NCD986188837,,,,,,,Y,,4.0,NC,,,,,,,,SEMS
,0 23 MILE N OF 75TH AVE EAST,,,,,USA,,,,,,,,,SARASOTA,,,,110009274212,PROSPECT ROAD CATTLE DIP VAT,,MANATEE,,SEMS,,34243,,,,,FLN000407256,,,,,,,Y,,4.0,FL,,,,,,,,SEMS
,0 24 AND 54 WEST UNION STREET,,,,,USA,,,,,,,,,EAST BRIDGEWATER,,,,110071938390,PRECISE ENGINEERING FORMER ,, NOT DEFINED ,,SEMS,,02333,,,,,MAD049415102,,,,,,,Y,,1.0,MA,,,,,,,,SEMS
,0 25 MILE NW OF SCHENK ROAD AND S VANDEMARK ROAD,,,,,USA,,,,,,,,,SIDNEY,,,,110071432825,ROSS ALUMINUM,,SHELBY,,SEMS,,45365 8909,,,,,OHD987001229,,,,,,,Y,,5.0,OH,,,,,,,,SEMS
,0 2 MILES NORTHEAST OF HIGHWAY 4,,,,,USA,,,,,,,,,AGANA SPRINGS,,,,110040837645,AGANA SPRINGS PCB SITE,,GUAM,,SEMS,,96910,,,,,GUN000908821,,,,,,,Y,,9.0,GU,,,,,,,,SEMS
,0 3 MILES NORTH OF FORBESTOWN ROAD AND SCHOOL ST,,,,,USA,,,,,,,,,OROVILLE,,,,110071102807,SAMPSON LODE,,BUTTE,,SEMS,,95966,,,,,CAN000909605,,,,,,,Y,,9.0,CA,,,,,,,,SEMS
,0 3 MI NE OF HOUSE ST NE AND IMPERIAL PINE ST NE,,,,,USA,,,,,,,,,PLAINFIELD TOWNSHIP,,,,110071150974,WOLVERINE WORLDWIDE HOUSE ST DISPOSAL,,KENT,,SEMS,,49306,,,,,MIN000520993,,,,,,,Y,,5.0,MI,,,,,,,,SEMS
,0 3MI N OF CITY,,,,,USA,,,,,,,,,TRIUMPH,,,,110006361686,USDOI BLM COURIER GULCH,,BLAINE,,SEMS,,83333,,,,,ID0001101906,,,,,,,Y,,10.0,ID,,,,,,,,SEMS
,0 3 MI S OF AIRSTRIP,,,,,USA,,,,,,,,,WALES,,,,110007922365,USNAVY CAPE PRINCE OF WALES STATION,, NOT DEFINED ,,SEMS,,99783,,,,,AK9170000203,,,,,,,Y,,10.0,AK,,,,,,,,SEMS
,0 51 MI E ON SHANNON ROAD ST HWY 139,,,,,USA,,,,,,,,,TIPLER TOWNSHIP,,,,110070822974,TIPLER DUMP NICOLET NATIONAL FOREST,,FLORENCE,,SEMS,,54542,,,,,WI0000857029,,,,,,,Y,,5.0,WI,,,,,,,,SEMS
,0 54 MILES WEST OF US 45 ON MARSH ROAD,,,,,USA,,,,,,,,,BIRNAMWOOD,,,,110067035899,ANIWA ARSENIC,,SHAWANO,,SEMS,,54414,,,,,WIN000505573,,,,,,,Y,,5.0,WI,,,,,,,,SEMS
,0 5 LANE,,,,,USA,,,,,,,,,GLADSTONE,,,,110071101857,123 RECYCLE,,DELTA,,SEMS,,49837,,,,,MIN000506204,,,,,,,Y,,5.0,MI,,,,,,,,SEMS
,0 5 MILES E OF TOWN,,,,,USA,,,,,,,,,GROVE CITY,,,,110009308267,OSBORNE LANDFILL,,MERCER,,SEMS,,16127,,,,,PAD980712673,,,,,,,Y,,3.0,PA,,,,,,,,SEMS
,0 5 MILES NORTH OF 170 RAND AVENUE,,,,,USA,,,,,,,,,WOOD RIVER,,,,110071102304,WOOD RIVER SULFURIC ACID RELEASE,,MADISON,,SEMS,,62048,,,,,ILN000520646,,,,,,,Y,,5.0,IL,,,,,,,,SEMS
,0 5 MILES NW OF EUREKA,,,,,USA,,,,,,,,,ARCATA,,,,110067353161,INDIAN ISLAND,,HUMBOLDT,,SEMS,,,,,,,CAN000909560,,,,,,,Y,,9.0,CA,,,,,,,,SEMS
,0 5 MILES NW OF EUREKA,,,,,USA,,,,,,,,,EUREKA,,,,110067353161,INDIAN ISLAND,,HUMBOLDT,,SEMS,,95502,,,,,CAN000909548,,,,,,,Y,,9.0,CA,,,,,,,,SEMS
,0 5 MILES SE OF US HWY 41 AND USIMAKI RD,,,,,USA,,,,,,,,,L'ANSE,,,,110071299965,TOIVO LAHTI HISTORIC DUMP SITE,,BARAGA,,SEMS,,49946,,,,,MIN000521841,,,,,,,Y,,5.0,MI,,,,,,,,SEMS
,0 5 MILES SOUTHEAST OF PINO ALTOS,,,,,USA,,,,,,,,,NEAR PINOS ALTOS,,,,110067349881,PINOS ALTOS MINING DISTRICT,,GRANT,,SEMS,,88053,,,,,NMN000606749,,,,,,,Y,,6.0,NM,,,,,,,,SEMS
,0 5 MI N OF DUTCH FLAT,,,,,USA,,,,,,,,,DUTCH FLAT,,,,110009269736,POLAR STAR MINE,,PLACER,,SEMS,,95714,,,,,CASFN0905494,,,,,,,Y,,9.0,CA,,,,,,,,SEMS
,0 5 MI N OF DUTCH FLAT,,,,,USA,,,,,,,,,DUTCH FLAT,,,,110067353857,SOUTHERN CROSS MINE,,PLACER,,SEMS,,95714,,,,,CASFN0905456,,,,,,,Y,,9.0,CA,,,,,,,,SEMS
,0 5 MI W OF BOURNE ON FRUIT CREEK ROAD ,,,,,USA,,,,,,,,,BOURNE,,,,110009306544,COLUMBIA MINE,,BAKER,,SEMS,,97877,,,,,ORSFN1002196,,,,,,,Y,,10.0,OR,,,,,,,,SEMS
,0 65 MILES SW FROM COUNTY RD 1150 N AND E 170 RD,,,,,USA,,,,,,,,,BROWNS,,,,110071997928,BROWNS MOLTEN SULFUR TRAIN DERAILMENT,, NOT DEFINED ,,SEMS,,62818,,,,,ILN000522205,,,,,,,Y,,5.0,IL,,,,,,,,SEMS
,0 6 MI FROM CAMERON PARISH RD PR 109,,,,,USA,,,,,,,,,GRAND CHENIERE,,,,110009336414,MALLARD BAY LANDING BULK PLANT,,CAMERON,,SEMS,,70542,,,,,LA0000187518,,,,,,,Y,,6.0,LA,,,,,,,,SEMS
,0 74 MILES NORTH OF OHIO AND SCOTT STREET,,,,,USA,,,,,,,,,JOLIET,,,,110071101694,BNSF STYRENE RELEASE,,WILL,,SEMS,,60432,,,,,ILN000508565,,,,,,,Y,,5.0,IL,,,,,,,,SEMS
,0 9 MILES SE OF CONCORD ID T26N R6E SEC 24,,,,,USA,,,,,,,,,CONCORD,,,,110070823200,USDA NEZ PERCE NF TIGER PROSPECT,,IDAHO,,SEMS,,83530,,,,,IDN001020142,,,,,,,Y,,10.0,ID,,,,,,,,SEMS
,0 CHOPMIST HILL ROAD,,,,,USA,,,,,,,,,CHEPACHET,,,,110013043072,HEMLOCK ROAD AREA,, NOT DEFINED ,,SEMS,,02814 2076,,,,,RIN000153925,,,,,,,Y,,1.0,RI,,,,,,,,SEMS
,0 COMMERCIAL STREET,,,,,USA,,,,,,,,,BRAINTREE,,,,110071665172,TOWN OF BRAINTREE PROPERTY,, NOT DEFINED ,,SEMS,,02184 4307,,,,,MAN000153839,,,,,,,Y,,1.0,MA,,,,,,,,SEMS
,0 EDWIN DR 444 KUHLMAN DR 0 KUHLMAN,,,,,USA,,,,,,,,,TOLEDO,,,,110067350315,TOLEDO ARSENIC SITE,,LUCAS,,SEMS,,43605,,,,,OHN000510401,,,,,,,Y,,5.0,OH,,,,,,,,SEMS
,0 FURNACE BROOK ROAD,,,,,USA,,,,,,,,,BENNINGTON,,,,110070224728,ROUTE 279 EAST,,CHITTENDEN,,SEMS,,05201,,,,,VTN000102215,,,,,,,Y,,1.0,VT,,,,,,,,SEMS
,0 GUELPHWOOD RD,,,,,USA,,,,,,,,,SOUTHBRIDGE,,,,110071099984,DB COTTON 0 GUELPHWOOD RD,,WORCESTER,,SEMS,,01550,,,,,MAN000120040,,,,,,,Y,,1.0,MA,,,,,,,,SEMS
,0 JONES RD,,,,,USA,,,,,,,,,ST. CLOUD,,,,110071231838,NARCOOSSEE DUMP,,OSCEOLA,,SEMS,,34771,,,,,FLN000420770,,,,,,,Y,,4.0,FL,,,,,,,,SEMS
,0 OXFORD STREET,,,,,USA,,,,,,,,,SOUTH PARIS,,,,110030434420,A C LAWRENCE LEATHER SLUDGE LAGOONS,,OXFORD,,SEMS,,04281,,,,,MEN000105452,,,,,,,Y,,1.0,ME,,,,,,,,SEMS
,10 000 ACRE TRACT,,,,,USA,,,,,,,,,DAWSON,,,,110020870985,DAWSON FOREST WILDLIFE MANAGEMENT AREA,,DAWSON,,SEMS,,30534,,,,,GASFN0406883,,,,,,,Y,,4.0,GA,,,,,,,,SEMS
,10000 BESSIE COLEMAN DRIVE,,,,,USA,,,,,,,,,CHICAGO,,,,110042304191,TSA O HARE TERMINAL CHICAGO,,COOK,,SEMS,,60666,,,,,ILN000510515,,,,,,,Y,,5.0,IL,,,,,,,,SEMS
,10001 LEWIS TURNER BLVD POB 1390,,,,,USA,,,,,,,,,MARY ESTHER,,,,110009274739,ORDNANCE RESEARCH INSTITUTE,,OKALOOSA,,SEMS,,32569,,,,,FLD048098354,,,,,,,Y,,4.0,FL,,,,,,,,SEMS
,10008 MILLER WAY,,,,,USA,,,,,,,,,SOUTH GATE,,,,110002611264,ACCURATE STEEL TREATING INC ,,LOS ANGELES,,SEMS,,90280,,,,,CA0000032227,,,,,,,Y,,9.0,CA,,,,,,,,SEMS
,1000A MAIN STREET,,,,,USA,,,,,,,,,DENBO,,,,110009306651,MARCUS PAULSEN SITE,,WASHINGTON,,SEMS,,15429,,,,,PA0001411552,,,,,,,Y,,3.0,PA,,,,,,,,SEMS
,1000 AUSABLE RD,,,,,USA,,,,,,,,,OSCODA,,,,110003617239,HEDBLUM INDUSTRIES,,IOSCO,,SEMS,,48750,,,,,MID980794408,,,,,,,Y,,5.0,MI,,,,,,,,SEMS
,1000 BLOCK AIRPORT RD,,,,,USA,,,,,,,,,TERRELL,,,,110013797141,4 AY TRUCKING COMPANY,,KAUFMAN,,SEMS,,,,,,,TX0000605401,,,,,,,Y,,6.0,TX,,,,,,,,SEMS
,1000 BLOCK OF 26TH AVENUE,,,,,USA,,,,,,,,,MENOMINEE,,,,110016678317,SPIES FIELD,,MENOMINEE,,SEMS,,49858,,,,,MIN000509078,,,,,,,Y,,5.0,MI,,,,,,,,SEMS
,1000 BONHOMME RICHARD ROAD,,,,,USA,,,,,,,,,LEXINGTON,,,,110071100057,TIN PRODUCTS SITE,,LEXINGTON,,SEMS,,,,,,,SCSFN0407133,,,,,,,Y,,4.0,SC,,,,,,,,SEMS
,1000 BUSCH DRIVE,,,,,USA,,,,,,,,,CARTERSVILLE,,,,110071100479,ANHEUSER BUSCH RELEASE,,BARTOW,,SEMS,,30120,,,,,GAD984294298,,,,,,,Y,,4.0,GA,,,,,,,,SEMS
,1000 DRIVING PARK AVENUE,,,,,USA,,,,,,,,,ROCHESTER,,,,110001575180,PHOTEC INC,,MONROE,,SEMS,,14613,,,,,NYD064258031,,,,,,,Y,,2.0,NY,,,,,,,,SEMS
,1000 EAGLE DRIVE,,,,,USA,,,,,,,,,CENTER POINT,,,,110071100304,CENTER POINT HIGH SCHOOL MERCURY SPILL,,JEFFERSON,,SEMS,,35215,,,,,ALN000407282,,,,,,,Y,,4.0,AL,,,,,,,,SEMS
,1000 EAST 60TH STREET,,,,,USA,,,,,,,,,LOS ANGELES,,,,110009270010,ALLOY METALS COMPANY INC ,,LOS ANGELES,,SEMS,,90001,,,,,CASFN0905512,,,,,,,Y,,9.0,CA,,,,,,,,SEMS
,1000 EAST 8TH STREET,,,,,USA,,,,,,,,,JACKSONVILLE,,,,110009272820,TURNER ELECTRIC,,DUVAL,,SEMS,,32206,,,,,FL0001339506,,,,,,,Y,,4.0,FL,,,,,,,,SEMS
,1000 FAIRVIEW ST,,,,,USA,,,,,,,,,BRISTOL,,,,110009315589,TWIN CITIES IRON METAL CO INC,,BRISTOL CITY,,SEMS,,24201,,,,,VAD034557579,,,,,,,Y,,3.0,VA,,,,,,,,SEMS
,1000 FIFTH AVENUE S E ,,,,,USA,,,,,,,,,MAGEE,,,,110013800887,W G AVERY BODY CO INC ,,SIMPSON,,SEMS,,39111,,,,,MSN000407311,,,,,,,Y,,4.0,MS,,,,,,,,SEMS
,1000FT ENE BROWNING ST AND QUINCE ST,,,,,USA,,,,,,,,,HILL AFB,,,,110037288075,HILL AFB MMRP DA503 MUNITIONS DUMP AT OU4,,DAVIS,,SEMS,,84056,,,,,UTN000802740,,,,,,,Y,,8.0,UT,,,,,,,,SEMS
,1000FT S OF PERIMETER RD AND BROWNING ST,,,,,USA,,,,,,,,,HILL AFB,,,,110037288002,HILL AFB MMRP BP504 POWDER BURNING PIT AT OU4,,DAVIS,,SEMS,,84056,,,,,UTN000802732,,,,,,,Y,,8.0,UT,,,,,,,,SEMS
,1000 GOODRICH BLVD ,,,,,USA,,,,,,,,,MIAMI,,,,110071101398,GOODRICH ASBESTOS,,OTTAWA,,SEMS,,74354,,,,,OKN000605314,,,,,,,Y,,6.0,OK,,,,,,,,SEMS
,1000 HARTFORD ROAD,,,,,USA,,,,,,,,,WATERFORD,,,,110009334586,NEW LONDON TEXTILE PRINT,,NEW LONDON,,SEMS,,06320,,,,,CTD983867417,,,,,,,Y,,1.0,CT,,,,,,,,SEMS
,1000 HAYSTACK ROAD,,,,,USA,,,,,,,,,PREWITT,,,,110071101878,SECTION 25 RESIDENTIAL SITE,,MCKINLEY,,SEMS,,87045,,,,,NMN000606570,,,,,,,Y,,6.0,NM,,,,,,,,SEMS
,1000 HILTUNEN STREET LAKE LINDEN,,,,,USA,,,,,,,,,1000 HILTUNEN STREET LAKE LINDEN,,,,110070058524,LAKE LINDEN RECREATION AREA SEDIMENTS,,HOUGHTON,,SEMS,,49945,,,,,MIN000507521,,,,,,,Y,,5.0,MI,,,,,,,,SEMS
,1000 IDASHO STREET,,,,,USA,,,,,,,,,GREENVILLE,,,,110071100982,USACE GREENVILLE,,GREENVILLE,,SEMS,,29605,,,,,SCN000404510,,,,,,,Y,,4.0,SC,,,,,,,,SEMS
,1000 INDUSTRIAL AVE,,,,,USA,,,,,,,,,ALBION,,,,110011585579,PICKENS PLATING,,CALHOUN,,SEMS,,49224,,,,,MIN000510460,,,,,,,Y,,5.0,MI,,,,,,,,SEMS
,1000 MIDLAND RD,,,,,USA,,,,,,,,,BLYTHE,,,,110012694478,RIVERSIDE CO DUMP,,RIVERSIDE,,SEMS,,92225,,,,,CAD980816581,,,,,,,Y,,9.0,CA,,,,,,,,SEMS
,1000 N CLARK RD,,,,,USA,,,,,,,,,GARY,,,,110040436196,STERLING MATERIALS,,LAKE,,SEMS,,46406 1155,,,,,INN000510418,,,,,,,Y,,5.0,IN,,,,,,,,SEMS
,1000 N HAMLINE AVENUE,,,,,USA,,,,,,,,,ST. PAUL,,,,110068754351,KOPPERS COKE,,RAMSEY,,SEMS,,55104,,,,,MND000819359,,,,,,,Y,,5.0,MN,,,,,,,,SEMS
,1000 RUBBER WAY,,,,,USA,,,,,,,,,VICKSBURG,,,,110071100705,ROUSE TIRE FIRE,,WARREN,,SEMS,,39180,,,,,MSN000407458,,,,,,,Y,,4.0,MS,,,,,,,,SEMS
,1000 S DENNIS STREET,,,,,USA,,,,,,,,,ENFIELD,,,,110067350912,ENFIELD TRANSFORMER SPILL,,HALIFAX,,SEMS,,27823,,,,,NCN000410264,,,,,,,Y,,4.0,NC,,,,,,,,SEMS
,1000 S OF GENOA RED BLUFF RD,,,,,USA,,,,,,,,,HOUSTON,,,,110009346243,HARRIS FARLEY STREET ,,HARRIS,,SEMS,,77034,,,,,TXD980745582,,,,,,,Y,,6.0,TX,,,,,,,,SEMS
,1000 SO REDWOOD ROAD,,,,,USA,,,,,,,,,SALT LAKE CITY,,,,110002261668,PORTLAND CEMENT KILN DUST 2 3 ,,SALT LAKE,,SEMS,,84116,,,,,UTD980718670,,,,,,,Y,,8.0,UT,,,,,,,,SEMS
,1000 SOUTH BLACKJACK ROAD,,,,,USA,,,,,,,,,GALENA,,,,110045396068,BAUTSCH GRAY MINE,,JO DAVIESS,,SEMS,,61036,,,,,ILN000510407,,,,,,,Y,,5.0,IL,,,,,,,,SEMS
,1000 SOUTH DENNIS STREET,,,,,USA,,,,,,,,,ENFIELD,,,,110037287165,TOWN OF ENFIELD TRANSFORMER SPILL,,HALIFAX,,SEMS,,,,,,,NCN000410272,,,,,,,Y,,4.0,NC,,,,,,,,SEMS
,1000 VALLEY BROOK AVE,,,,,USA,,,,,,,,,LYNDHURST,,,,110014576878,AVON SANITARY LANDFILL,,BERGEN,,SEMS,,07071,,,,,NJD069291656,,,,,,,Y,,2.0,NJ,,,,,,,,SEMS
,1000 W AMELIA ST,,,,,USA,,,,,,,,,ORLANDO,,,,110005627580,TRULY NOLEN CO ,,ORANGE,,SEMS,,32805,,,,,FLD980845622,,,,,,,Y,,4.0,FL,,,,,,,,SEMS
,1000 WEST 10TH STREET,,,,,USA,,,,,,,,,BORGER,,,,110067035782,ROCK CREEK GAS PLANT FISH KILL,,HUTCHINSON,,SEMS,,79007,,,,,TXN000604298,,,,,,,Y,,6.0,TX,,,,,,,,SEMS
,1000 WEST 120TH STREET,,,,,USA,,,,,,,,,CHICAGO,,,,110000435618,INGERSOLL,,COOK,,SEMS,,60643,,,,,ILN000510053,,,,,,,Y,,5.0,IL,,,,,,,,SEMS
,1000 WESTERN AVENUE,,,,,USA,,,,,,,,,LYNN,,,,110071100485,US AIR FORCE PLANT 29 GENERAL ELECTRIC,,ESSEX,,SEMS,,01901,,,,,MAD001408491,,,,,,,Y,,1.0,MA,,,,,,,,SEMS
,100 10TH ST SOUTH,,,,,USA,,,,,,,,,VIRGINIA,,,,110000494509,STAVER FOUNDRY,,ST LOUIS,,SEMS,,55792,,,,,MNN000510441,,,,,,,Y,,5.0,MN,,,,,,,,SEMS
,10011 BALDWIN AVENUE NE,,,,,USA,,,,,,,,,ALBUQUERQUE,,,,110071250527,QUALITY LAUNDRY AND CLEANERS,,BERNALILLO,,SEMS,,87117,,,,,NMN000622232,,,,,,,Y,,6.0,NM,,,,,,,,SEMS
,10014 N WASAUKEE ROAD,,,,,USA,,,,,,,,,MEQUON,,,,110071432832,ECOLAB CERMATICS INC ,,OZAUKEE,,SEMS,,53097,,,,,WID988569562,,,,,,,Y,,5.0,WI,,,,,,,,SEMS
,10015 SW BARNEY WHITE RD ,,,,,USA,,,,,,,,,PORT ORCHARD,,,,110005325503,OLYMPIC VIEW SANITARY LANDFILL,,KITSAP,,SEMS,,98310,,,,,WAD042804971,,,,,,,Y,,10.0,WA,,,,,,,,SEMS
,1001 CHATTANOOGA AVENUE,,,,,USA,,,,,,,,,DALTON,,,,110001415102,COLUMBIA RECYCLING FIRE,,WHITFIELD,,SEMS,,30720,,,,,GAN000410005,,,,,,,Y,,4.0,GA,,,,,,,,SEMS
,1001 COLLEGE ROAD,,,,,USA,,,,,,,,,LYNDON,,,,110071858739,VERMONT STATE UNIVERSITY MERCURY RELEASE,, NOT DEFINED ,,SEMS,,05850,,,,,VTN000153888,,,,,,,Y,,1.0,VT,,,,,,,,SEMS
,1001 COLLEGE STREET,,,,,USA,,,,,,,,,MADISON,,,,110070225381,MAGNESIUM ELEKTRON,,MADISON,,SEMS,,62060 1084,,,,,ILN000510839,,,,,,,Y,,5.0,IL,,,,,,,,SEMS
,1001 E 18TH STREET,,,,,USA,,,,,,,,,MUNCIE,,,,110001237359,MUNCIE PRECISION HARD CHROME,,DELAWARE,,SEMS,,47302,,,,,INN000510463,,,,,,,Y,,5.0,IN,,,,,,,,SEMS
,1001 INDUSTRIAL ROAD,,,,,USA,,,,,,,,,PASCAGOULA,,,,110014329994,PASCAGOULA AREA PFAS STUDY,,JACKSON,,SEMS,,39581,,,,,MSN000420964,,,,,,,Y,,4.0,MS,,,,,,,,SEMS
,1001 LUBBOCK ST ,,,,,USA,,,,,,,,,TEXARKANA,,,,110005036567,TEXARKANA WOOD PRESERVING CO ,,BOWIE,,SEMS,,75501,,,,,TXD008056152,,,,,,,Y,,6.0,TX,,,,,,,,SEMS
,1001 MAIN ST,,,,,USA,,,,,,,,,MARTINS FERRY,,,,110000384913,4K INDUSTRIAL PARK,,BELMONT,,SEMS,,43935,,,,,OHD010448231,,,,,,,Y,,5.0,OH,,,,,,,,SEMS
,1001 N FLORENCE BLVD,,,,,USA,,,,,,,,,FLORENCE,,,,110037149216,ARIZONA ARMY NATIONAL GUARD FLORENCE RANGE,,PINAL,,SEMS,,85232,,,,,AZ0001907518,,,,,,,Y,,9.0,AZ,,,,,,,,SEMS
,1001 N JOE RAMSEY BLVD ,,,,,USA,,,,,,,,,GREENVILLE,,,,110020033710,GREENVILLE FERTILIZER FIRE,,HUNT,,SEMS,,,,,,,TXN000605688,,,,,,,Y,,6.0,TX,,,,,,,,SEMS
,1001 NORTH FOOTE AVENUE,,,,,USA,,,,,,,,,WILMINGTON,,,,110009268158,R C BAXTER,,LOS ANGELES,,SEMS,,90744,,,,,CAD980894620,,,,,,,Y,,9.0,CA,,,,,,,,SEMS
,1001 NORTH ORANGE DR,,,,,USA,,,,,,,,,LOS ANGELES,,,,110000473620,HIGHLAND PLATING FIRE,,LOS ANGELES,,SEMS,,90038,,,,,CAN000900173,,,,,,,Y,,9.0,CA,,,,,,,,SEMS
,1001 N PORTER,,,,,USA,,,,,,,,,OKMULGEE,,,,110000617878,BASIN REFINING INC ,,OKMULGEE,,SEMS,,74447,,,,,OKD004998225,,,,,,,Y,,6.0,OK,,,,,,,,SEMS
,1001 PEMBROKE LANE,,,,,USA,,,,,,,,,SUFFOLK,,,,110071099936,NANSEMOND INDIAN NATION LANDS ASSESSMENT,, NOT DEFINED ,,SEMS,,23434,,,,,VAN000305118,,,,,,,Y,,3.0,VA,,,,,,,,SEMS
,1001 PULASKI HIGHWAY,,,,,USA,,,,,,,,,JOPPA,,,,110022502148,PULASKI MOTORS,,HARFORD,,SEMS,,21085,,,,,MDN000306159,,,,,,,Y,,3.0,MD,,,,,,,,SEMS
,1001 SENSATION WEIGHT ROAD,,,,,USA,,,,,,,,,BEAUFORT,,,,110041937134,SOUTHERN SKIMMER DRUM SITE,,CARTERET,,SEMS,,28516,,,,,NCN000410579,,,,,,,Y,,4.0,NC,,,,,,,,SEMS
,1001 SOUTH FIRST ST ,,,,,USA,,,,,,,,,BATON ROUGE,,,,110009336423,CLEARWATER FLUIDS RECYCLING INC ,,EAST BATON ROUGE,,SEMS,,70801,,,,,LA0000383075,,,,,,,Y,,6.0,LA,,,,,,,,SEMS
,100 240 W MONTEREY STREET,,,,,USA,,,,,,,,,BAKERSFIELD,,,,110071101178,PG E MERCURY EMERGENCY RESPONSE 2016,,KERN,,SEMS,,93304,,,,,CAN000903012,,,,,,,Y,,9.0,CA,,,,,,,,SEMS
,10026 OLD RIDGE RD,,,,,USA,,,,,,,,,ASHLAND,,,,110000341559,BEAR ISLAND NAOH SPILL,,HANOVER,,SEMS,,23005,,,,,VAN000304393,,,,,,,Y,,3.0,VA,,,,,,,,SEMS
,1002 6TH ST,,,,,USA,,,,,,,,,CADILLAC,,,,110003591337,NORTHERNAIRE PLATING,,WEXFORD,,SEMS,,49601,,,,,MID020883609,,,,,,,Y,,5.0,MI,,,,,,,,SEMS
,1002 FRANKLIN AVENUE,,,,,USA,,,,,,,,,KENT,,,,110006215407,JERRY S PROFESSIONAL CLEANERS,,PORTAGE,,SEMS,,44240 3724,,,,,OHN000510524,,,,,,,Y,,5.0,OH,,,,,,,,SEMS
,1002 INDUSTRIAL DRIVE,,,,,USA,,,,,,,,,OLD HICKORY,,,,110071909270,OLD HICKORY AREA PFAS STUDY,,DAVIDSON,,SEMS,,37138,,,,,TNN000421069,,,,,,,Y,,4.0,TN,,,,,,,,SEMS
,1002 N CLARK ROAD,,,,,USA,,,,,,,,,GARY,,,,110071102298,STERLING MATERIAL ASBESTOS HW SITE,,LAKE,,SEMS,,46406,,,,,INN000520530,,,,,,,Y,,5.0,IN,,,,,,,,SEMS
,1002 OSWEGO ST ,,,,,USA,,,,,,,,,UTICA,,,,110000838167,BOSSERT MFG ,,ONEIDA,,SEMS,,13501,,,,,NYD002249563,,,,,,,Y,,2.0,NY,,,,,,,,SEMS
,1002 PARK AVENUE,,,,,USA,,,,,,,,,SPRINGFIELD,,,,110009304190,SPRINGFIELD MERCURY SITE,,CLARK,,SEMS,,45503,,,,,OH0002093102,,,,,,,Y,,5.0,OH,,,,,,,,SEMS
,1002 PIEDMONT ROAD,,,,,USA,,,,,,,,,NAVASOTA,,,,110071102199,NAVASOTA MERCURY RELEASE,,GRIMES,,SEMS,,77868,,,,,TXN000606679,,,,,,,Y,,6.0,TX,,,,,,,,SEMS
,1002 SECTION LINE ROAD,,,,,USA,,,,,,,,,MALVERN,,,,110009353289,PACE INDUSTRIES,,HOT SPRING,,SEMS,,00000,,,,,ARD006345920,,,,,,,Y,,6.0,AR,,,,,,,,SEMS
,1003 ORCHARD STREET N W ,,,,,USA,,,,,,,,,HUNTSVILLE,,,,110000780236,J A ENTERPRISES,,MADISON,,SEMS,,35801,,,,,ALD059903641,,,,,,,Y,,4.0,AL,,,,,,,,SEMS
