year,utah_county,children_elevated
2007,Uintah,0.0
2008,Uintah,1.0
2009,Uintah,2.0
2000,Utah,343.0
2001,Utah,223.0
2002,Utah,176.0
2003,Utah,155.0
2004,Utah,158.0
2005,Utah,145.0
2006,Utah,119.0
2007,Utah,124.0
2008,Utah,149.0
2009,Utah,121.0
2000,Wasatch,6.0
2001,Wasatch,4.0
2002,Wasatch,3.0
2003,Wasatch,3.0
2004,Wasatch,6.0
2005,Wasatch,2.0
2006,Wasatch,3.0
2007,Wasatch,2.0
2008,Wasatch,1.0
2009,Wasatch,0.0
2000,Washington,18.0
2001,Washington,12.0
2002,Washington,8.0
2003,Washington,4.0
2004,Washington,6.0
2005,Washington,0.0
2006,Washington,2.0
2007,Washington,0.0
2008,Washington,2.0
2009,Washington,0.0
2000,Wayne,2.0
2001,Wayne,0.0
2002,Wayne,0.0
2003,Wayne,2.0
2004,Wayne,0.0
2005,Wayne,0.0
2006,Wayne,1.0
2007,Wayne,1.0
2008,Wayne,0.0
2009,Wayne,0.0
2000,Weber,357.0
2001,Weber,380.0
2002,Weber,408.0
2003,Weber,344.0
2004,Weber,194.0
2005,Weber,216.0
2006,Weber,281.0
2007,Weber,363.0
2008,Weber,280.0
2009,Weber,100.0
