FIPS,elevation_meters,elevation_feet
13253,35.0,114.82939999999999
13255,280.0,918.6351999999999
13257,299.0,980.9711599999999
13259,149.0,488.84516
13261,125.0,410.105
13263,216.0,708.66144
13265,173.0,567.58532
13267,56.0,183.72704
13269,199.0,652.88716
13271,90.0,295.2756
13273,116.0,380.57744
13275,89.0,291.99476
13277,103.0,337.92652
13279,68.0,223.09712
13281,855.0,2805.1182
13283,101.0,331.36484
13285,222.0,728.34648
13287,121.0,396.98163999999997
13289,120.0,393.7008
13291,574.0,1883.20216
13293,215.0,705.3806
13295,302.0,990.81368
13297,247.0,810.36748
13299,48.0,157.48032
13301,171.0,561.02364
13303,140.0,459.31759999999997
13305,28.0,91.86352
13307,133.0,436.35172
13309,59.0,193.56956
13311,507.0,1663.38588
13313,226.0,741.46984
13315,110.0,360.8924
13317,169.0,554.46196
13319,127.0,416.66668
13321,134.0,439.63256
15001,2502.0,8208.66168
15003,5.0,16.4042
15005,0.0,0.0
15007,294.0,964.56696
15009,745.0,2444.2258
16001,898.0,2946.19432
16003,1332.0,4370.07888
16005,1415.0,4642.3886
16007,1805.0,5921.9162
16009,916.0,3005.24944
16011,1364.0,4475.06576
16013,2033.0,6669.94772
16015,2182.0,7158.79288
16017,1324.0,4343.83216
16019,1937.0,6354.98708
16021,1728.0,5669.29152
16023,1844.0,6049.86896
16025,2317.0,7601.70628
16027,752.0,2467.19168
16029,1885.0,6184.3834
16031,1923.0,6309.05532
16033,1709.0,5606.95556
16035,1199.0,3933.72716
16037,2258.0,7408.1367199999995
16039,1710.0,5610.2364
16041,1392.0,4566.92928
16043,1899.0,6230.31516
16045,1296.0,4251.96864
16047,1074.0,3523.62216
16049,1285.0,4215.8794
16051,1460.0,4790.0264
16053,1205.0,3953.4121999999998
16055,855.0,2805.1182
16057,897.0,2942.91348
16059,2318.0,7604.98712
16061,1112.0,3648.29408
16063,1297.0,4255.24948
16065,1634.0,5360.89256
16067,1317.0,4320.86628
16069,708.0,2322.83472
16071,1742.0,5715.22328
16073,1748.0,5734.90832
16075,720.0,2362.2048
16077,1523.0,4996.71932
16079,1256.0,4120.73504
16081,1827.0,5994.09468
16083,1380.0,4527.5592
16085,2383.0,7818.24172
16087,917.0,3008.53028
17001,226.0,741.46984
17003,144.0,472.44096
17005,147.0,482.28348
17007,255.0,836.6142
17009,215.0,705.3806
17011,204.0,669.2913599999999
17013,220.0,721.7848
17015,259.0,849.73756
17017,191.0,626.64044
17019,222.0,728.34648
17021,183.0,600.39372
17023,188.0,616.79792
17025,156.0,511.81104
17027,140.0,459.31759999999997
17029,200.0,656.168
17031,194.0,636.48296
17033,166.0,544.6194399999999
17035,184.0,603.67456
17037,261.0,856.2992399999999
17039,227.0,744.75068
17041,196.0,643.04464
17043,234.0,767.71656
17045,210.0,688.9764
17047,136.0,446.19424
17049,188.0,616.79792
17051,161.0,528.21524
17053,238.0,780.83992
17055,142.0,465.87928
17057,179.0,587.27036
17059,113.0,370.73492
