FIPS,county_name,median_age
01117,"Shelby County, Alabama",40.0
01119,"Sumter County, Alabama",35.8
01121,"Talladega County, Alabama",42.1
01123,"Tallapoosa County, Alabama",45.2
01125,"Tuscaloosa County, Alabama",32.8
01127,"Walker County, Alabama",41.8
01129,"Washington County, Alabama",43.7
01131,"Wilcox County, Alabama",41.1
01133,"Winston County, Alabama",45.4
02013,"Aleutians East Borough, Alaska",41.6
02016,"Aleutians West Census Area, Alaska",39.2
02020,"Anchorage Municipality, Alaska",34.5
02050,"Bethel Census Area, Alaska",28.7
02060,"Bristol Bay Borough, Alaska",36.4
02063,"Chugach Census Area, Alaska",37.8
02066,"Copper River Census Area, Alaska",43.1
02068,"Denali Borough, Alaska",44.4
02070,"Dillingham Census Area, Alaska",30.7
02090,"Fairbanks North Star Borough, Alaska",32.1
02100,"Haines Borough, Alaska",46.2
02105,"Hoonah-Angoon Census Area, Alaska",50.0
02110,"Juneau City and Borough, Alaska",39.0
02122,"Kenai Peninsula Borough, Alaska",41.2
02130,"Ketchikan Gateway Borough, Alaska",40.6
02150,"Kodiak Island Borough, Alaska",35.1
02158,"Kusilvak Census Area, Alaska",23.7
02164,"Lake and Peninsula Borough, Alaska",33.6
02170,"Matanuska-Susitna Borough, Alaska",36.3
02180,"Nome Census Area, Alaska",29.1
02185,"North Slope Borough, Alaska",36.3
02188,"Northwest Arctic Borough, Alaska",29.2
02195,"Petersburg Borough, Alaska",50.1
02198,"Prince of Wales-Hyder Census Area, Alaska",43.1
02220,"Sitka City and Borough, Alaska",39.5
02230,"Skagway Municipality, Alaska",38.6
02240,"Southeast Fairbanks Census Area, Alaska",36.9
02275,"Wrangell City and Borough, Alaska",48.9
02282,"Yakutat City and Borough, Alaska",41.3
02290,"Yukon-Koyukuk Census Area, Alaska",35.8
04001,"Apache County, Arizona",35.6
04003,"Cochise County, Arizona",41.4
04005,"Coconino County, Arizona",31.7
04007,"Gila County, Arizona",50.6
04009,"Graham County, Arizona",34.1
04011,"Greenlee County, Arizona",35.5
04012,"La Paz County, Arizona",57.3
04013,"Maricopa County, Arizona",37.1
04015,"Mohave County, Arizona",52.9
04017,"Navajo County, Arizona",38.7
04019,"Pima County, Arizona",39.0
04021,"Pinal County, Arizona",39.8
04023,"Santa Cruz County, Arizona",37.3
04025,"Yavapai County, Arizona",54.5
04027,"Yuma County, Arizona",35.3
05001,"Arkansas County, Arkansas",41.4
05003,"Ashley County, Arkansas",43.1
05005,"Baxter County, Arkansas",52.1
05007,"Benton County, Arkansas",35.7
05009,"Boone County, Arkansas",41.9
05011,"Bradley County, Arkansas",40.2
05013,"Calhoun County, Arkansas",44.2
05015,"Carroll County, Arkansas",44.6
05017,"Chicot County, Arkansas",43.2
05019,"Clark County, Arkansas",31.7
05021,"Clay County, Arkansas",42.7
05023,"Cleburne County, Arkansas",49.5
05025,"Cleveland County, Arkansas",42.5
05027,"Columbia County, Arkansas",35.1
05029,"Conway County, Arkansas",42.2
05031,"Craighead County, Arkansas",34.4
05033,"Crawford County, Arkansas",39.2
05035,"Crittenden County, Arkansas",35.8
05037,"Cross County, Arkansas",40.7
05039,"Dallas County, Arkansas",45.8
05041,"Desha County, Arkansas",40.7
05043,"Drew County, Arkansas",37.5
05045,"Faulkner County, Arkansas",33.8
05047,"Franklin County, Arkansas",42.5
05049,"Fulton County, Arkansas",47.4
05051,"Garland County, Arkansas",45.4
05053,"Grant County, Arkansas",40.2
05055,"Greene County, Arkansas",37.8
05057,"Hempstead County, Arkansas",40.4
05059,"Hot Spring County, Arkansas",42.6
05061,"Howard County, Arkansas",39.7
05063,"Independence County, Arkansas",39.1
05065,"Izard County, Arkansas",47.7
05067,"Jackson County, Arkansas",40.2
05069,"Jefferson County, Arkansas",39.5
05071,"Johnson County, Arkansas",39.0
05073,"Lafayette County, Arkansas",48.3
05075,"Lawrence County, Arkansas",39.8
05077,"Lee County, Arkansas",41.6
05079,"Lincoln County, Arkansas",40.6
05081,"Little River County, Arkansas",42.3
05083,"Logan County, Arkansas",43.5
05085,"Lonoke County, Arkansas",37.0
05087,"Madison County, Arkansas",41.1
05089,"Marion County, Arkansas",51.7
05091,"Miller County, Arkansas",39.9
05093,"Mississippi County, Arkansas",37.0
05095,"Monroe County, Arkansas",45.8
05097,"Montgomery County, Arkansas",50.5
05099,"Nevada County, Arkansas",44.7
05101,"Newton County, Arkansas",48.7
05103,"Ouachita County, Arkansas",43.9
05105,"Perry County, Arkansas",44.0
05107,"Phillips County, Arkansas",39.7
05109,"Pike County, Arkansas",43.3
05111,"Poinsett County, Arkansas",39.9
05113,"Polk County, Arkansas",44.4
05115,"Pope County, Arkansas",36.7
05117,"Prairie County, Arkansas",46.5
05119,"Pulaski County, Arkansas",37.7
05121,"Randolph County, Arkansas",39.1
05123,"St. Francis County, Arkansas",38.8
05125,"Saline County, Arkansas",40.3
05127,"Scott County, Arkansas",42.8
05129,"Searcy County, Arkansas",46.9
05131,"Sebastian County, Arkansas",38.0
05133,"Sevier County, Arkansas",34.9
05135,"Sharp County, Arkansas",47.4
05137,"Stone County, Arkansas",49.5
05139,"Union County, Arkansas",41.3
05141,"Van Buren County, Arkansas",49.7
05143,"Washington County, Arkansas",32.3
05145,"White County, Arkansas",38.3
05147,"Woodruff County, Arkansas",45.2
05149,"Yell County, Arkansas",40.0
06001,"Alameda County, California",38.4
06003,"Alpine County, California",43.0
06005,"Amador County, California",49.6
06007,"Butte County, California",36.5
06009,"Calaveras County, California",52.1
06011,"Colusa County, California",36.0
06013,"Contra Costa County, California",40.1
06015,"Del Norte County, California",40.0
06017,"El Dorado County, California",46.2
06019,"Fresno County, California",32.8
06021,"Glenn County, California",35.8
