FIPS,Excessive Drinking raw value,Excessive Drinking numerator,Excessive Drinking denominator,Excessive Drinking CI low,Excessive Drinking CI high,Mental Health Providers raw value,Mental Health Providers numerator,Mental Health Providers denominator,Mental Health Providers CI low,Mental Health Providers CI high,Ratio of population to mental health providers.,Drug Overdose Deaths raw value,Drug Overdose Deaths numerator,Drug Overdose Deaths denominator,Drug Overdose Deaths CI low,Drug Overdose Deaths CI high,Drug Overdose Deaths (AIAN),Drug Overdose Deaths CI low (AIAN),Drug Overdose Deaths CI high (AIAN),Drug Overdose Deaths (Asian/Pacific Islander),Drug Overdose Deaths CI low (Asian/Pacific Islander),Drug Overdose Deaths CI high (Asian/Pacific Islander),Drug Overdose Deaths (Black),Drug Overdose Deaths CI low (Black),Drug Overdose Deaths CI high (Black),Drug Overdose Deaths (Hispanic),Drug Overdose Deaths CI low (Hispanic),Drug Overdose Deaths CI high (Hispanic),Drug Overdose Deaths (White),Drug Overdose Deaths CI low (White),Drug Overdose Deaths CI high (White),Drug Overdose Deaths (NHOPI),Drug Overdose Deaths CI low (NHOPI),Drug Overdose Deaths CI high (NHOPI),Suicides raw value,Suicides numerator,Suicides denominator,Suicides CI low,Suicides CI high,Crude suicide rate,Suicides (AIAN),Suicides CI low (AIAN),Suicides CI high (AIAN),Suicides (Asian/Pacific Islander),Suicides CI low (Asian/Pacific Islander),Suicides CI high (Asian/Pacific Islander),Suicides (Black),Suicides CI low (Black),Suicides CI high (Black),Suicides (Hispanic),Suicides CI low (Hispanic),Suicides CI high (Hispanic),Suicides (White),Suicides CI low (White),Suicides CI high (White),Suicides (NHOPI),Suicides CI low (NHOPI),Suicides CI high (NHOPI),Firearm Fatalities raw value,Firearm Fatalities numerator,Firearm Fatalities denominator,Firearm Fatalities CI low,Firearm Fatalities CI high,Firearm Fatalities (AIAN),Firearm Fatalities CI low (AIAN),Firearm Fatalities CI high (AIAN),Firearm Fatalities (Asian/Pacific Islander),Firearm Fatalities CI low (Asian/Pacific Islander),Firearm Fatalities CI high (Asian/Pacific Islander),Firearm Fatalities (Black),Firearm Fatalities CI low (Black),Firearm Fatalities CI high (Black),Firearm Fatalities (Hispanic),Firearm Fatalities CI low (Hispanic),Firearm Fatalities CI high (Hispanic),Firearm Fatalities (White),Firearm Fatalities CI low (White),Firearm Fatalities CI high (White),Firearm Fatalities (NHOPI),Firearm Fatalities CI low (NHOPI),Firearm Fatalities CI high (NHOPI)
00001,0.1353990576,,,0.1076418577,0.1669803452,0.0015804747,183,115788,,,632.72131148,23.320487631,80,343046,18.49169633,29.024365527,,,,,,,19.281090759,10.541151737,32.350394053,,,,26.127994513,20.121739531,33.364865689,,,,21.957144442,128,572051,18.030527426,25.883761458,22.375627348,,,,,,,11.016259056,5.8656939855,18.838138488,,,,25.23719823,20.27613925,30.198257209,,,,26.571057476,152,572051,22.346870665,30.795244286,,,,,,,28.265261163,19.57451503,39.497869377,,,,27.058849341,22.024957192,32.092741489,,,
00001,0.128128424,,,0.1001633465,0.1591520729,0.0001173433,4,34088,,,8522,14.901649116,15,100660,8.3403398895,24.578004045,,,,,,,,,,,,,23.544326723,12.536362385,40.261515744,,,,18.701803096,33,167988,12.618028014,26.697986794,19.644260304,,,,,,,,,,,,,30.657194854,20.026297516,44.919893595,,,,23.811224611,40,167988,17.01108796,32.424129678,,,,,,,19.454088351,10.358482717,33.26708356,,,,29.192029495,19.237731381,42.472870274,,,
00001,0.1435729023,,,0.1126508708,0.1793091729,0.0005533159,14,25302,,,1807.2857143,20.648891413,16,77486,11.802625576,33.532505998,,,,,,,,,,,,,22.591212019,12.912829625,36.686712975,,,,23.149078643,32,129375,15.121746733,33.918763749,24.734299517,,,,,,,,,,,,,25.184575607,16.451400929,36.901238417,,,,25.507246377,33,129375,17.558014742,35.821657406,,,,,,,,,,,,,27.029081602,18.487871807,38.156998488,,,
00001,0.1513195132,,,0.1195016044,0.1886982504,0.0007845872,36,45884,,,1274.5555556,20.134378332,27,134099,13.268682191,29.294463378,,,,,,,,,,,,,24.24875492,15.840091787,35.530044285,,,,16.193261662,36,222319,11.214304441,22.628460081,16.192947971,,,,,,,,,,,,,18.210834473,12.286773546,25.997098556,,,,16.192947971,36,222319,11.341341683,22.41786554,,,,,,,,,,,,,16.297536824,10.914716191,23.405981442,,,
00001,0.1189185504,,,0.0905614302,0.1483859691,0.0000803923,1,12439,,,12439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,0.1229034266,,,0.0955685743,0.1531142674,0.0009327115,21,22515,,,1072.1428571,,,,,,,,,,,,,,,,,,,,,,,,17.681165547,19,117676,10.478979277,27.943864373,16.146028077,,,,,,,,,,,,,25.460609579,13.5567023,43.538417789,,,,22.094564737,26,117676,14.432903239,32.373656551,,,,,,,20.950784702,10.458556238,37.486741036,,,,24.445494695,13.681957812,40.319125946,,,
00001,0.1369788108,,,0.106655541,0.171298539,0.0001408649,2,14198,,,7099,,,,,,,,,,,,,,,,,,,,,,,,29.343209151,18,67179,17.093500661,46.981320372,26.794087438,,,,,,,,,,,,,33.342646248,18.661625996,54.993624395,,,,23.816966612,16,67179,13.613454284,38.677261641,,,,,,,,,,,,,24.047354791,12.804203646,41.121709061,,,
00001,0.1456899165,,,0.114740437,0.1833742091,0.0005213085,8,15346,,,1918.25,,,,,,,,,,,,,,,,,,,,,,,,19.060984585,15,74867,10.420817644,31.981093293,20.035529673,,,,,,,,,,,,,20.393985955,11.149581897,34.217643088,,,,28.049741542,21,74867,17.36323211,42.877009544,,,,,,,,,,,,,30.2759436,18.741286272,46.279995869,,,
00001,0.1461507817,,,0.1161895987,0.1787376619,0.0010582976,58,54805,,,944.9137931,12.519875302,20,159746,7.6474650917,19.335931981,,,,,,,,,,,,,14.486455164,8.2802608048,23.525095608,,,,14.972810647,42,263529,10.696795444,20.38871843,15.937524902,,,,,,,,,,,,,16.412873536,11.151751268,23.296763869,,,,22.767892718,60,263529,17.374300722,29.306791058,,,,,,,28.960324356,15.420153024,49.523036642,,,,24.024155196,17.455987943,32.251307012,,,
00001,0.1467150571,,,0.1144534239,0.1836688868,0.000568642,33,58033,,,1758.5757576,17.248968036,29,168126,11.551904606,24.772395369,,,,,,,,,,,,,18.414651925,11.798614953,27.399542391,,,,18.439376058,52,277388,13.595740279,24.447937476,18.746304815,,,,,,,,,,,,,22.128101391,16.078312346,29.705943278,,,,20.548834124,57,277388,15.563486295,26.623398057,,,,,,,22.505795242,10.79240361,41.388958751,,,,21.756036143,15.985517038,28.930915948,,,
