county_fips,n_tracts,mean_observed_pct_elevated,median_observed_pct_elevated,max_observed_pct_elevated
26001,4,0.0844335993475,0.085775555645,0.1060058818
26003,3,0.04364537416666667,0.04963117546,0.05530430354
26005,23,0.07205655279478261,0.06797746518,0.12782642
26011,5,0.046023504244,0.03956587947,0.05855756501
26013,2,0.036575984795,0.036575984795,0.03961054994
26015,11,0.07581255045818182,0.06616413374,0.1452578724
26017,26,0.09389922718230768,0.06368845919999999,0.2340455873
26021,46,0.10697740149934783,0.098694820965,0.3414875163
26023,12,0.1363320516,0.1438527208,0.254237145
26025,39,0.08929790023051282,0.06541948927,0.2681232493
26027,11,0.10025380783363635,0.09313308913,0.174981521
26031,1,0.03643263757,0.03643263757,0.03643263757
26033,9,0.027651450283333337,0.02645881007,0.05778750337
26035,10,0.042766046953,0.03795494582,0.08038069029
26037,21,0.030665013547142857,0.03038018433,0.08387855258
26039,1,0.01960784314,0.01960784314,0.01960784314
26041,11,0.06811919510909091,0.05384615385,0.1855865121
26043,7,0.024271755511428572,0.0171954023,0.04326656696
26045,28,0.045061811594642856,0.039432322075,0.09770113351
26047,5,0.040518324072,0.03151515152,0.06258794926
26049,129,0.0584275679555814,0.04424492019,0.2702948475
26051,9,0.034409815355555554,0.03223938224,0.05145502646
26053,6,0.040689793476666666,0.031717729845,0.06669448607
26057,9,0.06729233115666666,0.0647715681,0.1003185609
26059,12,0.11651960755666667,0.11045905055,0.2285667891
26061,10,0.036829806312,0.025814807430000003,0.09173342514
26063,12,0.08552968166833334,0.08876503532,0.1387492496
26065,70,0.06976469359000001,0.052825587024999995,0.1985804296
26067,12,0.0592850047425,0.048357873685,0.155994049
26069,9,0.06600613157222222,0.06692303085,0.1022357724
26071,5,0.033182451194,0.02956071497,0.05653334166
26073,15,0.014357272644666666,0.01532652769,0.03612162115
26075,37,0.12832350165324324,0.09418894831,0.3527067889
26077,56,0.10494541275178572,0.06645299154,0.3879793542
26081,113,0.09380095864115044,0.04869678207,0.4015030979
26083,1,0.01052631579,0.01052631579,0.01052631579
26085,2,0.0392598619,0.0392598619,0.04125
26087,22,0.06150820908772727,0.064393675645,0.1277875427
26091,23,0.10045931268869566,0.08741960834,0.237594831
26093,49,0.02160731293530612,0.02222222222,0.05826648841
26095,2,0.046215631215,0.046215631215,0.05576459576
26097,4,0.056042273665,0.05920888269,0.07555189908
26099,183,0.030268972322459013,0.02794595042,0.1007692308
26103,21,0.05332014797190476,0.03307692308,0.1529470529
26105,8,0.11621332292375,0.09137987189499999,0.2318627298
26107,10,0.048369205839,0.047029060304999995,0.07152872038
26109,7,0.07463389741571429,0.06677319485,0.1596537094
26111,19,0.038792528247368424,0.04380288428,0.06486044319
26115,35,0.05731375563742857,0.05510480784,0.1586101455
26117,13,0.060114499773846156,0.06242424242,0.07712329667
26121,41,0.08655991504268293,0.04570424182,0.3393410114
26123,11,0.05596541311545455,0.0549177098,0.09116427432
26125,308,0.029570793962597403,0.024029340565,0.2135887838
26127,7,0.05853815046142857,0.05535040069,0.1001688923
26129,7,0.04811629822571428,0.04355413105,0.0733290917
26131,3,0.06712988849666666,0.05909567293,0.08585858586
26135,4,0.045236194137500005,0.04321277289,0.07237637363
26137,1,0.01536231884,0.01536231884,0.01536231884
26139,49,0.04731822225346939,0.03899321258,0.1680860134
26141,3,0.07379602178,0.08391608392,0.0889524454
26143,8,0.0349010579975,0.032252577925,0.09615384615
26145,56,0.08750340052625001,0.060555104139999996,0.3995464702
26147,29,0.04893619963068965,0.04656040036,0.08153846154
26149,17,0.10559980372882354,0.1003205602,0.224229794
26151,12,0.07567985774333333,0.078298392575,0.09929804067
26153,3,0.09624053345666667,0.07481889307,0.1506146945
26155,17,0.04877052970647059,0.03829142221,0.1537778063
26157,13,0.054907418842307695,0.05880579738,0.06684486847
26159,15,0.08017077018066666,0.08871036548,0.1116488095
26161,72,0.03651038977597222,0.028778636225,0.2124610071
26163,553,0.121395523821085,0.08859663199,0.6136240858
