Year of Death,Geographic Region,State,Sex,Veteran Suicides
2001,Northeastern,Connecticut,Male,40-49
2001,Northeastern,Connecticut,Female,<10
2001,Northeastern,Connecticut,All,46
2001,Northeastern,Maine,Male,30-39
2001,Northeastern,Maine,Female,<10
2001,Northeastern,Maine,All,38
2001,Northeastern,Massachusetts,Male,80-89
2001,Northeastern,Massachusetts,Female,<10
2001,Northeastern,Massachusetts,All,83
2001,Northeastern,New Hampshire,Male,20-29
2001,Northeastern,New Hampshire,Female,<10
2001,Northeastern,New Hampshire,All,29
2001,Northeastern,New Jersey,Male,80-89
2001,Northeastern,New Jersey,Female,<10
2001,Northeastern,New Jersey,All,93
2001,Northeastern,New York,Male,160-169
2001,Northeastern,New York,Female,<10
2001,Northeastern,New York,All,169
2001,Northeastern,Pennsylvania,Male,260-269
2001,Northeastern,Pennsylvania,Female,<10
2001,Northeastern,Pennsylvania,All,271
2001,Northeastern,Rhode Island,Male,10-19
2001,Northeastern,Rhode Island,Female,<10
2001,Northeastern,Rhode Island,All,17
2001,Northeastern,Vermont,Male,10-19
2001,Northeastern,Vermont,Female,<10
2001,Northeastern,Vermont,All,21
2001,Midwestern,Illinois,Male,200-209
2001,Midwestern,Illinois,Female,<10
2001,Midwestern,Illinois,All,206
2001,Midwestern,Indiana,Male,130-139
2001,Midwestern,Indiana,Female,<10
2001,Midwestern,Indiana,All,141
2001,Midwestern,Iowa,Male,70-79
2001,Midwestern,Iowa,Female,<10
2001,Midwestern,Iowa,All,73
2001,Midwestern,Kansas,Male,60-69
2001,Midwestern,Kansas,Female,<10
2001,Midwestern,Kansas,All,63
2001,Midwestern,Michigan,Male,170-179
2001,Midwestern,Michigan,Female,<10
2001,Midwestern,Michigan,All,182
2001,Midwestern,Minnesota,Male,90-99
2001,Midwestern,Minnesota,Female,<10
2001,Midwestern,Minnesota,All,97
2001,Midwestern,Missouri,Male,140-149
2001,Midwestern,Missouri,Female,<10
2001,Midwestern,Missouri,All,146
2001,Midwestern,Nebraska,Male,30-39
2001,Midwestern,Nebraska,Female,<10
2001,Midwestern,Nebraska,All,36
2001,Midwestern,North Dakota,Male,20-29
2001,Midwestern,North Dakota,Female,<10
2001,Midwestern,North Dakota,All,23
2001,Midwestern,Ohio,Male,270-279
2001,Midwestern,Ohio,Female,<10
2001,Midwestern,Ohio,All,286
2001,Midwestern,South Dakota,Male,20-29
2001,Midwestern,South Dakota,Female,<10
2001,Midwestern,South Dakota,All,27
2001,Midwestern,Wisconsin,Male,110-119
2001,Midwestern,Wisconsin,Female,<10
2001,Midwestern,Wisconsin,All,115
2001,Southern,Alabama,Male,100-109
2001,Southern,Alabama,Female,<10
2001,Southern,Alabama,All,104
2001,Southern,Arkansas,Male,70-79
2001,Southern,Arkansas,Female,<10
2001,Southern,Arkansas,All,74
2001,Southern,Delaware,Male,20-29
