Year,Region,State,Veteran_Suicides,Population_Estimate,Suicide_Rate_per_100000
2013,Northeastern,Maine,46,130000,35.4
2013,Northeastern,Massachusetts,58,392000,14.8
2013,Northeastern,New Hampshire,26,117000,22.2
2013,Northeastern,New Jersey,100,440000,22.7
2013,Northeastern,New York,202,923000,21.9
2013,Northeastern,Pennsylvania,290,942000,30.8
2013,Northeastern,Rhode Island,19,72000,26.4*
2013,Northeastern,Vermont,13,48000,27.1*
2013,Midwestern,Illinois,173,731000,23.7
2013,Midwestern,Indiana,153,482000,31.7
2013,Midwestern,Iowa,66,234000,28.2
2013,Midwestern,Kansas,71,221000,32.1
2013,Midwestern,Michigan,184,685000,26.9
2013,Midwestern,Minnesota,97,375000,25.9
2013,Midwestern,Missouri,201,500000,40.2
2013,Midwestern,Nebraska,36,143000,25.2
2013,Midwestern,North Dakota,16,64000,25.0*
2013,Midwestern,Ohio,233,898000,25.9
2013,Midwestern,South Dakota,19,72000,26.4*
2013,Midwestern,Wisconsin,127,426000,29.8
2013,Southern,Alabama,134,408000,32.8
2013,Southern,Arkansas,97,249000,39
2013,Southern,Delaware,18,78000,23.1*
2013,Southern,District of Columbia,<10,30000,--
2013,Southern,Florida,550,1670000,32.9
2013,Southern,Georgia,177,758000,23.4
2013,Southern,Kentucky,118,334000,35.3
2013,Southern,Louisiana,87,323000,26.9
2013,Southern,Maryland,83,440000,18.9
2013,Southern,Mississippi,49,219000,22.4
2013,Southern,North Carolina,211,788000,26.8
2013,Southern,Oklahoma,114,326000,35
2013,Southern,South Carolina,126,411000,30.7
2013,Southern,Tennessee,175,532000,32.9
2013,Southern,Texas,497,1671000,29.7
2013,Southern,Virginia,190,768000,24.7
2013,Southern,West Virginia,70,159000,44
2013,Western,Alaska,20,76000,26.3
2013,Western,Arizona,237,537000,44.1
2013,Western,California,539,1960000,27.5
2013,Western,Colorado,155,418000,37.1
2013,Western,Hawaii,28,124000,22.6
2013,Western,Idaho,56,130000,43.1
2013,Western,Montana,30,100000,30
2013,Western,Nevada,113,229000,49.3
2013,Western,New Mexico,65,169000,38.5
2013,Western,Oregon,138,338000,40.8
2013,Western,Utah,67,145000,46.2
2013,Western,Washington,175,600000,29.2
2013,Western,Wyoming,31,50000,62
2013,All,U.S. Total,6523,22154000,29.4
2014,Northeastern,Connecticut,44,214000,20.6
2014,Northeastern,Maine,50,128000,39.1
2014,Northeastern,Massachusetts,64,380000,16.8
2014,Northeastern,New Hampshire,36,115000,31.3
2014,Northeastern,New Jersey,83,422000,19.7
2014,Northeastern,New York,201,896000,22.4
2014,Northeastern,Pennsylvania,286,925000,30.9
2014,Northeastern,Rhode Island,14,74000,18.9*
2014,Northeastern,Vermont,21,45000,46.7
2014,Midwestern,Illinois,184,716000,25.7
2014,Midwestern,Indiana,123,479000,25.7
2014,Midwestern,Iowa,72,231000,31.2
2014,Midwestern,Kansas,71,217000,32.7
2014,Midwestern,Michigan,205,664000,30.9
2014,Midwestern,Minnesota,96,365000,26.3
2014,Midwestern,Missouri,186,483000,38.5
2014,Midwestern,Nebraska,53,145000,36.6
2014,Midwestern,North Dakota,17,61000,27.9*
2014,Midwestern,Ohio,238,883000,27
2014,Midwestern,South Dakota,23,73000,31.5
2014,Midwestern,Wisconsin,126,420000,30
2014,Southern,Alabama,117,410000,28.5
2014,Southern,Arkansas,92,243000,37.9
2014,Southern,Delaware,22,75000,29.3
2014,Southern,District of Columbia,<10,33000,--
2014,Southern,Florida,549,1672000,32.8
2014,Southern,Georgia,173,751000,23
2014,Southern,Kentucky,130,326000,39.9
2014,Southern,Louisiana,104,320000,32.5
2014,Southern,Maryland,81,430000,18.8
2014,Southern,Mississippi,62,212000,29.2
2014,Southern,North Carolina,209,776000,26.9
2014,Southern,Oklahoma,130,317000,41
2014,Southern,South Carolina,119,411000,29
2014,Southern,Tennessee,151,525000,28.8
2014,Southern,Texas,482,1665000,28.9
2014,Southern,Virginia,181,770000,23.5
2014,Southern,West Virginia,64,155000,41.3
2014,Western,Alaska,31,77000,40.3
2014,Western,Arizona,247,535000,46.2
2014,Western,California,624,1913000,32.6
2014,Western,Colorado,170,420000,40.5
2014,Western,Hawaii,24,121000,19.8
2014,Western,Idaho,49,132000,37.1
2014,Western,Montana,50,99000,50.5
2014,Western,Nevada,108,232000,46.6
2014,Western,New Mexico,86,169000,50.9
2014,Western,Oregon,132,340000,38.8
2014,Western,Utah,73,146000,50
2014,Western,Washington,185,599000,30.9
2014,Western,Wyoming,23,49000,46.9
2014,All,U.S. Total,6667,21859000,30.5
2015,Northeastern,Connecticut,44,206000,21.4
2015,Northeastern,Maine,54,125000,43.2
2015,Northeastern,Massachusetts,71,367000,19.3
2015,Northeastern,New Hampshire,32,113000,28.3
2015,Northeastern,New Jersey,75,403000,18.6
2015,Northeastern,New York,168,866000,19.4
2015,Northeastern,Pennsylvania,264,899000,29.4
2015,Northeastern,Rhode Island,16,70000,22.9*
2015,Northeastern,Vermont,20,44000,45.5
2015,Midwestern,Illinois,165,697000,23.7
2015,Midwestern,Indiana,113,460000,24.6
2015,Midwestern,Iowa,68,227000,30
2015,Midwestern,Kansas,73,214000,34.1
2015,Midwestern,Michigan,195,645000,30.2
2015,Midwestern,Minnesota,81,360000,22.5
2015,Midwestern,Missouri,187,479000,39
2015,Midwestern,Nebraska,26,139000,18.7
2015,Midwestern,North Dakota,21,60000,35
2015,Midwestern,Ohio,242,861000,28.1
2015,Midwestern,South Dakota,27,72000,37.5
2015,Midwestern,Wisconsin,122,405000,30.1
2015,Southern,Alabama,138,399000,34.6
2015,Southern,Arkansas,101,239000,42.3
2015,Southern,Delaware,12,76000,15.8*
2015,Southern,District of Columbia,<10,32000,--
2015,Southern,Florida,597,1662000,35.9
2015,Southern,Georgia,200,744000,26.9
2015,Southern,Kentucky,133,320000,41.6
2015,Southern,Louisiana,100,308000,32.5
2015,Southern,Maryland,84,418000,20.1
2015,Southern,Mississippi,66,208000,31.7
2015,Southern,North Carolina,227,759000,29.9
2015,Southern,Oklahoma,134,316000,42.4
2015,Southern,South Carolina,127,415000,30.6
2015,Southern,Tennessee,158,513000,30.8
2015,Southern,Texas,535,1648000,32.5
2015,Southern,Virginia,186,765000,24.3
2015,Southern,West Virginia,61,150000,40.7
2015,Western,Alaska,27,73000,37
2015,Western,Arizona,224,530000,42.3
2015,Western,California,556,1882000,29.5
2015,Western,Colorado,172,421000,40.9
2015,Western,Hawaii,27,121000,22.3
2015,Western,Idaho,61,127000,48
2015,Western,Montana,47,94000,50
2015,Western,Nevada,101,225000,44.9
2015,Western,New Mexico,77,170000,45.3
2015,Western,Oregon,135,331000,40.8
2015,Western,Utah,64,141000,45.4
2015,Western,Washington,182,602000,30.2
2015,Western,Wyoming,26,47000,55.3
2015,All,U.S. Total,6631,21448000,30.9
2016,Northeastern,Connecticut,38,197000,19.3
2016,Northeastern,Maine,33,121000,27.3
2016,Northeastern,Massachusetts,75,358000,20.9
2016,Northeastern,New Hampshire,38,108000,35.2
2016,Northeastern,New Jersey,78,392000,19.9
2016,Northeastern,New York,166,839000,19.8
2016,Northeastern,Pennsylvania,291,885000,32.9
2016,Northeastern,Rhode Island,21,64000,32.8
2016,Northeastern,Vermont,28,44000,63.6
2016,Midwestern,Illinois,170,676000,25.1
2016,Midwestern,Indiana,75,450000,16.7
2016,Midwestern,Iowa,69,222000,31.1
2016,Midwestern,Kansas,60,207000,29
2016,Midwestern,Michigan,177,633000,28
2016,Midwestern,Minnesota,102,354000,28.8
2016,Midwestern,Missouri,170,475000,35.8
2016,Midwestern,Nebraska,29,138000,21
2016,Midwestern,North Dakota,18,61000,29.5*
2016,Midwestern,Ohio,257,842000,30.5
2016,Midwestern,South Dakota,21,72000,29.2
2016,Midwestern,Wisconsin,141,391000,36.1
2016,Southern,Alabama,135,396000,34.1
2016,Southern,Arkansas,97,235000,41.3
2016,Southern,Delaware,25,75000,33.3
2016,Southern,District of Columbia,<10,32000,--
2016,Southern,Florida,561,1638000,34.2
2016,Southern,Georgia,207,726000,28.5
2016,Southern,Kentucky,113,315000,35.9
2016,Southern,Louisiana,82,301000,27.2
2016,Southern,Maryland,77,411000,18.7
2016,Southern,Mississippi,56,201000,27.9
2016,Southern,North Carolina,188,751000,25
2016,Southern,Oklahoma,115,313000,36.7
2016,Southern,South Carolina,130,407000,31.9
2016,Southern,Tennessee,180,496000,36.3
2016,Southern,Texas,549,1647000,33.3
2016,Southern,Virginia,209,756000,27.6
2016,Southern,West Virginia,53,150000,35.3
2016,Western,Alaska,17,77000,22.1*
2016,Western,Arizona,239,528000,45.3
2016,Western,California,510,1831000,27.9
2016,Western,Colorado,175,418000,41.9
2016,Western,Hawaii,12,118000,10.2*
2016,Western,Idaho,61,127000,48
2016,Western,Montana,48,95000,50.5
2016,Western,Nevada,113,224000,50.4
2016,Western,New Mexico,73,162000,45.1
2016,Western,Oregon,134,330000,40.6
2016,Western,Utah,62,138000,44.9
2016,Western,Washington,188,597000,31.5
2016,Western,Wyoming,22,48000,45.8
2016,All,U.S. Total,6491,21072000,30.8
2017,Northeastern,Connecticut,40,190000,21.1
2017,Northeastern,Maine,52,121000,43
2017,Northeastern,Massachusetts,66,348000,19
2017,Northeastern,New Hampshire,37,109000,33.9
2017,Northeastern,New Jersey,81,389000,20.8
2017,Northeastern,New York,158,822000,19.2
2017,Northeastern,Pennsylvania,293,852000,34.4
2017,Northeastern,Rhode Island,12,63000,19.0*
2017,Northeastern,Vermont,10,44000,22.7*
2017,Midwestern,Illinois,185,664000,27.9
2017,Midwestern,Indiana,134,442000,30.3
2017,Midwestern,Iowa,68,213000,31.9
2017,Midwestern,Kansas,76,206000,36.9
2017,Midwestern,Michigan,198,619000,32
2017,Midwestern,Minnesota,101,344000,29.4
2017,Midwestern,Missouri,168,458000,36.7
2017,Midwestern,Nebraska,39,134000,29.1
2017,Midwestern,North Dakota,22,60000,36.7
2017,Midwestern,Ohio,262,826000,31.7
2017,Midwestern,South Dakota,22,69000,31.9
2017,Midwestern,Wisconsin,139,380000,36.6
2017,Southern,Alabama,135,383000,35.2
2017,Southern,Arkansas,109,228000,47.8
2017,Southern,Delaware,17,75000,22.7*
2017,Southern,District of Columbia,<10,33000,--
2017,Southern,Florida,551,1624000,33.9
2017,Southern,Georgia,213,726000,29.3
2017,Southern,Kentucky,121,307000,39.4
2017,Southern,Louisiana,106,297000,35.7
2017,Southern,Maryland,86,406000,21.2
2017,Southern,Mississippi,67,198000,33.8
2017,Southern,North Carolina,232,743000,31.2
2017,Southern,Oklahoma,98,303000,32.3
2017,Southern,South Carolina,124,408000,30.4
2017,Southern,Tennessee,175,490000,35.7
2017,Southern,Texas,537,1626000,33
2017,Southern,Virginia,173,747000,23.2
2017,Southern,West Virginia,65,144000,45.1
2017,Western,Alaska,28,73000,38.4
2017,Western,Arizona,235,513000,45.8
2017,Western,California,530,1789000,29.6
2017,Western,Colorado,168,411000,40.9
2017,Western,Hawaii,25,120000,20.8
2017,Western,Idaho,53,125000,42.4
2017,Western,Montana,58,95000,61.1
2017,Western,Nevada,123,215000,57.2
2017,Western,New Mexico,77,163000,47.2
2017,Western,Oregon,156,324000,48.1
2017,Western,Utah,66,142000,46.5
2017,Western,Washington,195,584000,33.4
2017,Western,Wyoming,28,45000,62.2
2017,All,U.S. Total,6718,20690000,32.5
2018,Northeastern,Connecticut,50,189000,26.5
2018,Northeastern,Maine,48,118000,40.7
2018,Northeastern,Massachusetts,71,341000,20.8
2018,Northeastern,New Hampshire,41,109000,37.6
2018,Northeastern,New Jersey,65,371000,17.5
2018,Northeastern,New York,186,796000,23.4
2018,Northeastern,Pennsylvania,273,840000,32.5
2018,Northeastern,Rhode Island,15,65000,23.1*
2018,Northeastern,Vermont,14,41000,34.1*
2018,Midwestern,Illinois,161,643000,25
2018,Midwestern,Indiana,149,434000,34.3
2018,Midwestern,Iowa,63,214000,29.4
2018,Midwestern,Kansas,83,206000,40.3
2018,Midwestern,Michigan,216,609000,35.5
2018,Midwestern,Minnesota,97,341000,28.4
2018,Midwestern,Missouri,201,441000,45.6
2018,Midwestern,Nebraska,42,132000,31.8
2018,Midwestern,North Dakota,16,56000,28.6*
2018,Midwestern,Ohio,233,797000,29.2
2018,Midwestern,South Dakota,25,69000,36.2
2018,Midwestern,Wisconsin,118,378000,31.2
2018,Southern,Alabama,144,381000,37.8
2018,Southern,Arkansas,80,220000,36.4
2018,Southern,Delaware,18,76000,23.7*
2018,Southern,District of Columbia,<10,29000,--
2018,Southern,Florida,603,1602000,37.6
2018,Southern,Georgia,220,719000,30.6
2018,Southern,Kentucky,121,303000,39.9
2018,Southern,Louisiana,100,299000,33.4
2018,Southern,Maryland,93,403000,23.1
2018,Southern,Mississippi,65,193000,33.7
2018,Southern,North Carolina,213,728000,29.3
2018,Southern,Oklahoma,127,304000,41.8
2018,Southern,South Carolina,120,410000,29.3
2018,Southern,Tennessee,189,480000,39.4
2018,Southern,Texas,526,1617000,32.5
2018,Southern,Virginia,181,751000,24.1
2018,Southern,West Virginia,65,140000,46.4
2018,Western,Alaska,20,71000,28.2
2018,Western,Arizona,233,521000,44.7
2018,Western,California,555,1761000,31.5
2018,Western,Colorado,181,408000,44.4
2018,Western,Hawaii,19,119000,16.0*
2018,Western,Idaho,56,130000,43.1
2018,Western,Montana,57,93000,61.3
2018,Western,Nevada,97,228000,42.5
2018,Western,New Mexico,75,159000,47.2
2018,Western,Oregon,151,315000,47.9
2018,Western,Utah,54,138000,39.1
2018,Western,Washington,186,577000,32.2
2018,Western,Wyoming,18,46000,39.1*
2018,All,U.S. Total,6738,20411000,33
2019,Northeastern,Connecticut,48,185000,25.9
2019,Northeastern,Maine,36,116000,31
2019,Northeastern,Massachusetts,71,332000,21.4
2019,Northeastern,New Hampshire,38,106000,35.8
2019,Northeastern,New Jersey,65,359000,18.1
2019,Northeastern,New York,162,779000,20.8
2019,Northeastern,Pennsylvania,289,815000,35.5
2019,Northeastern,Rhode Island,<10,68000,--
2019,Northeastern,Vermont,18,38000,47.4*
2019,Midwestern,Illinois,180,624000,28.8
2019,Midwestern,Indiana,129,424000,30.4
2019,Midwestern,Iowa,74,203000,36.5
2019,Midwestern,Kansas,72,208000,34.6
2019,Midwestern,Michigan,189,599000,31.6
2019,Midwestern,Minnesota,92,327000,28.1
2019,Midwestern,Missouri,195,437000,44.6
2019,Midwestern,Nebraska,50,130000,38.5
2019,Midwestern,North Dakota,14,56000,25.0*
2019,Midwestern,Ohio,268,779000,34.4
2019,Midwestern,South Dakota,25,69000,36.2
2019,Midwestern,Wisconsin,100,366000,27.3
2019,Southern,Alabama,113,375000,30.1
2019,Southern,Arkansas,90,220000,40.9
2019,Southern,Delaware,11,75000,14.7*
2019,Southern,District of Columbia,<10,30000,--
2019,Southern,Florida,574,1572000,36.5
2019,Southern,Georgia,214,714000,30
2019,Southern,Kentucky,100,295000,33.9
2019,Southern,Louisiana,90,292000,30.8
2019,Southern,Maryland,68,393000,17.3
2019,Southern,Mississippi,65,191000,34
2019,Southern,North Carolina,185,724000,25.6
2019,Southern,Oklahoma,114,306000,37.3
2019,Southern,South Carolina,130,402000,32.3
2019,Southern,Tennessee,191,466000,41
2019,Southern,Texas,524,1593000,32.9
2019,Southern,Virginia,192,744000,25.8
2019,Southern,West Virginia,51,138000,37
2019,Western,Alaska,25,73000,34.2
2019,Western,Arizona,237,521000,45.5
2019,Western,California,490,1718000,28.5
2019,Western,Colorado,174,399000,43.6
2019,Western,Hawaii,17,115000,14.8*
2019,Western,Idaho,53,130000,40.8
2019,Western,Montana,53,92000,57.6
2019,Western,Nevada,115,230000,50
2019,Western,New Mexico,71,154000,46.1
2019,Western,Oregon,143,301000,47.5
2019,Western,Utah,58,134000,43.3
2019,Western,Washington,199,567000,35.1
2019,Western,Wyoming,35,44000,79.5
2019,All,U.S. Total,6510,20028000,32.5
2020,Northeastern,Connecticut,42,176000,23.9
2020,Northeastern,Maine,41,113000,36.3
2020,Northeastern,Massachusetts,66,314000,21
2020,Northeastern,New Hampshire,36,103000,35
2020,Northeastern,New Jersey,63,348000,18.1
2020,Northeastern,New York,148,763000,19.4
2020,Northeastern,Pennsylvania,246,787000,31.3
2020,Northeastern,Rhode Island,15,66000,22.7*
2020,Northeastern,Vermont,13,38000,34.2*
2020,Midwestern,Illinois,155,619000,25
2020,Midwestern,Indiana,156,413000,37.8
2020,Midwestern,Iowa,71,196000,36.2
2020,Midwestern,Kansas,58,196000,29.6
2020,Midwestern,Michigan,193,568000,34
2020,Midwestern,Minnesota,93,315000,29.5
2020,Midwestern,Missouri,171,424000,40.3
2020,Midwestern,Nebraska,50,127000,39.4
2020,Midwestern,North Dakota,24,55000,43.6
2020,Midwestern,Ohio,241,748000,32.2
2020,Midwestern,South Dakota,27,70000,38.6
2020,Midwestern,Wisconsin,142,356000,39.9
2020,Southern,Alabama,130,368000,35.3
2020,Southern,Arkansas,92,217000,42.4
2020,Southern,Delaware,22,71000,31
2020,Southern,District of Columbia,<10,30000,--
2020,Southern,Florida,505,1516000,33.3
2020,Southern,Georgia,191,702000,27.2
2020,Southern,Kentucky,120,286000,42
2020,Southern,Louisiana,88,287000,30.7
2020,Southern,Maryland,81,385000,21
2020,Southern,Mississippi,58,192000,30.2
2020,Southern,North Carolina,205,715000,28.7
2020,Southern,Oklahoma,114,296000,38.5
2020,Southern,South Carolina,118,400000,29.5
2020,Southern,Tennessee,186,457000,40.7
2020,Southern,Texas,530,1587000,33.4
2020,Southern,Virginia,186,722000,25.8
2020,Southern,West Virginia,67,134000,50
2020,Western,Alaska,32,71000,45.1
2020,Western,Arizona,206,512000,40.2
2020,Western,California,463,1660000,27.9
2020,Western,Colorado,160,390000,41
2020,Western,Hawaii,24,113000,21.2
2020,Western,Idaho,58,128000,45.3
2020,Western,Montana,54,92000,58.7
2020,Western,Nevada,107,221000,48.4
2020,Western,New Mexico,63,153000,41.2
2020,Western,Oregon,137,290000,47.2
2020,Western,Utah,69,135000,51.1
2020,Western,Washington,185,552000,33.5
2020,Western,Wyoming,38,44000,86.4
2020,All,U.S. Total,6347,19521000,32.5
2021,Northeastern,Connecticut,35,171000,20.5
2021,Northeastern,Maine,40,110000,36.4
2021,Northeastern,Massachusetts,60,300000,20
2021,Northeastern,New Hampshire,29,98000,29.6
2021,Northeastern,New Jersey,53,336000,15.8
2021,Northeastern,New York,141,741000,19
2021,Northeastern,Pennsylvania,248,763000,32.5
2021,Northeastern,Rhode Island,11,60000,18.3*
2021,Northeastern,Vermont,18,37000,48.6*
2021,Midwestern,Illinois,155,606000,25.6
2021,Midwestern,Indiana,139,402000,34.6
2021,Midwestern,Iowa,68,188000,36.2
2021,Midwestern,Kansas,66,186000,35.5
2021,Midwestern,Michigan,174,545000,31.9
2021,Midwestern,Minnesota,94,309000,30.4
2021,Midwestern,Missouri,187,418000,44.7
2021,Midwestern,Nebraska,43,121000,35.5
2021,Midwestern,North Dakota,14,54000,25.9*
2021,Midwestern,Ohio,241,722000,33.4
2021,Midwestern,South Dakota,32,70000,45.7
2021,Midwestern,Wisconsin,110,349000,31.5
2021,Southern,Alabama,125,364000,34.3
2021,Southern,Arkansas,82,208000,39.4
2021,Southern,Delaware,24,71000,33.8
2021,Southern,District of Columbia,<10,29000,--
2021,Southern,Florida,547,1469000,37.2
2021,Southern,Georgia,228,686000,33.2
2021,Southern,Kentucky,100,280000,35.7
2021,Southern,Louisiana,79,278000,28.4
2021,Southern,Maryland,89,375000,23.7
2021,Southern,Mississippi,63,187000,33.7
2021,Southern,North Carolina,204,700000,29.1
2021,Southern,Oklahoma,131,287000,45.6
2021,Southern,South Carolina,122,393000,31
2021,Southern,Tennessee,179,447000,40
2021,Southern,Texas,584,1562000,37.4
2021,Southern,Virginia,194,702000,27.6
2021,Southern,West Virginia,55,132000,41.7
2021,Western,Alaska,26,68000,38.2
2021,Western,Arizona,242,491000,49.3
2021,Western,California,464,1610000,28.8
2021,Western,Colorado,211,384000,54.9
2021,Western,Hawaii,20,114000,17.5
2021,Western,Idaho,54,124000,43.5
2021,Western,Montana,44,89000,49.4
2021,Western,Nevada,111,216000,51.4
2021,Western,New Mexico,69,148000,46.6
2021,Western,Oregon,139,285000,48.8
2021,Western,Utah,63,130000,48.5
2021,Western,Washington,186,538000,34.6
2021,Western,Wyoming,32,46000,69.6
2021,All,U.S. Total,6429,18999000,33.8
2022,Northeastern,Connecticut,39,158000,24.7
2022,Northeastern,Maine,44,109000,40.4
2022,Northeastern,Massachusetts,56,286000,19.6
2022,Northeastern,New Hampshire,32,97000,33
2022,Northeastern,New Jersey,57,322000,17.7
2022,Northeastern,New York,140,698000,20.1
2022,Northeastern,Pennsylvania,232,725000,32
2022,Northeastern,Rhode Island,14,54000,25.9*
2022,Northeastern,Vermont,17,38000,44.7*
2022,Midwestern,Illinois,164,627000,26.2
2022,Midwestern,Indiana,173,384000,45.1
2022,Midwestern,Iowa,71,186000,38.2
2022,Midwestern,Kansas,81,187000,43.3
2022,Midwestern,Michigan,170,525000,32.4
2022,Midwestern,Minnesota,94,307000,30.6
2022,Midwestern,Missouri,173,407000,42.5
2022,Midwestern,Nebraska,40,119000,33.6
2022,Midwestern,North Dakota,20,51000,39.2
2022,Midwestern,Ohio,233,695000,33.5
2022,Midwestern,South Dakota,18,67000,26.9*
2022,Midwestern,Wisconsin,136,340000,40
2022,Southern,Alabama,118,352000,33.5
2022,Southern,Arkansas,63,207000,30.4
2022,Southern,Delaware,20,65000,30.8
2022,Southern,District of Columbia,<10,27000,--
2022,Southern,Florida,545,1450000,37.6
2022,Southern,Georgia,209,675000,31
2022,Southern,Kentucky,101,273000,37
2022,Southern,Louisiana,104,267000,39
2022,Southern,Maryland,55,366000,15
2022,Southern,Mississippi,56,187000,29.9
2022,Southern,North Carolina,211,696000,30.3
2022,Southern,Oklahoma,126,283000,44.5
2022,Southern,South Carolina,134,395000,33.9
2022,Southern,Tennessee,184,444000,41.4
2022,Southern,Texas,581,1557000,37.3
2022,Southern,Virginia,185,694000,26.7
2022,Southern,West Virginia,60,125000,48
2022,Western,Alaska,27,71000,38
2022,Western,Arizona,255,484000,52.7
2022,Western,California,453,1535000,29.5
2022,Western,Colorado,178,376000,47.3
2022,Western,Hawaii,20,109000,18.3
2022,Western,Idaho,63,121000,52.1
2022,Western,Montana,74,91000,81.3
2022,Western,Nevada,114,210000,54.3
2022,Western,New Mexico,68,156000,43.6
2022,Western,Oregon,140,278000,50.4
2022,Western,Utah,68,129000,52.7
2022,Western,Washington,195,524000,37.2
2022,Western,Wyoming,22,44000,50
2022,All,U.S. Total,6442,18573000,34.7
2023,Northeastern,Connecticut,41,152000,27
2023,Northeastern,Maine,41,108000,38
2023,Northeastern,Massachusetts,62,276000,22.5
2023,Northeastern,New Hampshire,32,94000,34
2023,Northeastern,New Jersey,42,310000,13.5
2023,Northeastern,New York,167,670000,24.9
2023,Northeastern,Pennsylvania,268,694000,38.6
2023,Northeastern,Rhode Island,13,51000,25.5*
2023,Northeastern,Vermont,<10,36000,--
2023,Midwestern,Illinois,160,625000,25.6
2023,Midwestern,Indiana,149,373000,39.9
2023,Midwestern,Iowa,67,182000,36.8
2023,Midwestern,Kansas,79,182000,43.4
2023,Midwestern,Michigan,180,505000,35.6
2023,Midwestern,Minnesota,80,298000,26.8
2023,Midwestern,Missouri,147,392000,37.5
2023,Midwestern,Nebraska,38,120000,31.7
2023,Midwestern,North Dakota,20,50000,40
2023,Midwestern,Ohio,254,676000,37.6
2023,Midwestern,South Dakota,25,64000,39.1
2023,Midwestern,Wisconsin,130,330000,39.4
2023,Southern,Alabama,122,342000,35.7
2023,Southern,Arkansas,105,204000,51.5
2023,Southern,Delaware,19,63000,30.2*
2023,Southern,District of Columbia,<10,27000,--
2023,Southern,Florida,550,1424000,38.6
2023,Southern,Georgia,200,666000,30
2023,Southern,Kentucky,103,262000,39.3
2023,Southern,Louisiana,83,259000,32
2023,Southern,Maryland,64,363000,17.6
2023,Southern,Mississippi,63,183000,34.4
2023,Southern,North Carolina,228,693000,32.9
2023,Southern,Oklahoma,161,283000,56.9
2023,Southern,South Carolina,131,394000,33.2
2023,Southern,Tennessee,210,436000,48.2
2023,Southern,Texas,581,1544000,37.6
2023,Southern,Virginia,172,688000,25
2023,Southern,West Virginia,69,124000,55.6
2023,Western,Alaska,25,71000,35.2
2023,Western,Arizona,223,478000,46.7
2023,Western,California,389,1481000,26.3
2023,Western,Colorado,178,368000,48.4
2023,Western,Hawaii,26,109000,23.9
2023,Western,Idaho,63,121000,52.1
2023,Western,Montana,48,89000,53.9
2023,Western,Nevada,128,209000,61.2
2023,Western,New Mexico,52,155000,33.5
2023,Western,Oregon,114,266000,42.9
2023,Western,Utah,78,131000,59.5
2023,Western,Washington,186,511000,36.4
2023,Western,Wyoming,21,46000,45.7
2023,All,U.S. Total,6398,18178000,35.2
