Year,Region,State,Veteran_Suicides,Population_Estimate,Suicide_Rate_per_100000
2003,Midwestern,South Dakota,22,77000,28.6
2003,Midwestern,Wisconsin,136,482000,28.2
2003,Southern,Alabama,114,437000,26.1
2003,Southern,Arkansas,88,273000,32.2
2003,Southern,Delaware,20,80000,25
2003,Southern,District of Columbia,<10,39000,--
2003,Southern,Florida,494,1826000,27.1
2003,Southern,Georgia,189,778000,24.3
2003,Southern,Kentucky,102,369000,27.6
2003,Southern,Louisiana,77,360000,21.4
2003,Southern,Maryland,89,509000,17.5
2003,Southern,Mississippi,78,237000,32.9
2003,Southern,North Carolina,177,791000,22.4
2003,Southern,Oklahoma,95,362000,26.2
2003,Southern,South Carolina,110,418000,26.3
2003,Southern,Tennessee,139,536000,25.9
2003,Southern,Texas,445,1750000,25.4
2003,Southern,Virginia,146,810000,18
2003,Southern,West Virginia,64,190000,33.7
2003,Western,Alaska,26,75000,34.7
2003,Western,Arizona,156,570000,27.4
2003,Western,California,520,2372000,21.9
2003,Western,Colorado,151,440000,34.3
2003,Western,Hawaii,20,123000,16.3
2003,Western,Idaho,50,137000,36.5
2003,Western,Montana,45,107000,42.1
2003,Western,Nevada,111,246000,45.1
2003,Western,New Mexico,60,188000,31.9
2003,Western,Oregon,142,373000,38.1
2003,Western,Utah,56,158000,35.4
2003,Western,Washington,154,665000,23.2
2003,Western,Wyoming,27,53000,50.9
2003,All,U.S. Total,6022,25148000,23.9
2004,Northeastern,Connecticut,43,276000,15.6
2004,Northeastern,Maine,29,151000,19.2
2004,Northeastern,Massachusetts,71,490000,14.5
2004,Northeastern,New Hampshire,28,134000,20.9
2004,Northeastern,New Jersey,98,573000,17.1
2004,Northeastern,New York,181,1182000,15.3
2004,Northeastern,Pennsylvania,249,1145000,21.7
2004,Northeastern,Rhode Island,16,87000,18.4*
2004,Northeastern,Vermont,20,55000,36.4
2004,Midwestern,Illinois,165,908000,18.2
2004,Midwestern,Indiana,133,548000,24.3
2004,Midwestern,Iowa,57,269000,21.2
2004,Midwestern,Kansas,67,253000,26.5
2004,Midwestern,Michigan,203,823000,24.7
2004,Midwestern,Minnesota,108,432000,25
2004,Midwestern,Missouri,145,557000,26
2004,Midwestern,Nebraska,32,160000,20
2004,Midwestern,North Dakota,14,59000,23.7*
2004,Midwestern,Ohio,226,1034000,21.9
2004,Midwestern,South Dakota,22,76000,28.9
2004,Midwestern,Wisconsin,97,476000,20.4
2004,Southern,Alabama,113,433000,26.1
2004,Southern,Arkansas,90,273000,33
2004,Southern,Delaware,15,81000,18.5*
2004,Southern,District of Columbia,<10,38000,--
2004,Southern,Florida,484,1825000,26.5
2004,Southern,Georgia,187,781000,23.9
2004,Southern,Kentucky,117,363000,32.2
2004,Southern,Louisiana,109,356000,30.6
2004,Southern,Maryland,97,505000,19.2
2004,Southern,Mississippi,78,233000,33.5
2004,Southern,North Carolina,193,792000,24.4
2004,Southern,Oklahoma,110,358000,30.7
2004,Southern,South Carolina,100,417000,24
2004,Southern,Tennessee,155,532000,29.1
2004,Southern,Texas,441,1750000,25.2
2004,Southern,Virginia,160,815000,19.6
2004,Southern,West Virginia,71,187000,38
2004,Western,Alaska,20,76000,26.3
2004,Western,Arizona,168,575000,29.2
2004,Western,California,507,2326000,21.8
2004,Western,Colorado,161,440000,36.6
2004,Western,Hawaii,17,119000,14.3*
2004,Western,Idaho,35,137000,25.5
2004,Western,Montana,38,106000,35.8
2004,Western,Nevada,112,248000,45.2
2004,Western,New Mexico,67,190000,35.3
2004,Western,Oregon,131,369000,35.5
2004,Western,Utah,54,158000,34.2
2004,Western,Washington,161,662000,24.3
2004,Western,Wyoming,24,54000,44.4
2004,All,U.S. Total,6021,24887000,24.2
2005,Northeastern,Connecticut,50,272000,18.4
2005,Northeastern,Maine,46,147000,31.3
2005,Northeastern,Massachusetts,68,480000,14.2
2005,Northeastern,New Hampshire,33,131000,25.2
2005,Northeastern,New Jersey,65,565000,11.5
2005,Northeastern,New York,167,1161000,14.4
2005,Northeastern,Pennsylvania,289,1126000,25.7
2005,Northeastern,Rhode Island,13,87000,14.9*
2005,Northeastern,Vermont,14,56000,25.0*
2005,Midwestern,Illinois,204,889000,22.9
2005,Midwestern,Indiana,154,541000,28.5
2005,Midwestern,Iowa,64,272000,23.5
2005,Midwestern,Kansas,70,252000,27.8
2005,Midwestern,Michigan,196,836000,23.4
2005,Midwestern,Minnesota,94,424000,22.2
2005,Midwestern,Missouri,162,563000,28.8
2005,Midwestern,Nebraska,35,160000,21.9
2005,Midwestern,North Dakota,19,62000,30.6*
2005,Midwestern,Ohio,297,1039000,28.6
2005,Midwestern,South Dakota,32,76000,42.1
2005,Midwestern,Wisconsin,125,467000,26.8
