Year,Quarter,Dwelling Unit,City,Zip,Paint Inspection/Risk Assessment Date,Clear/Close Date,Property Status,Year Built,Finished Square Feet,Number of Rooms,Number of Rooms Treated,Windows,Location of Work,Type of Work,Relocation Cost,HUD Lead Hazard Reduction Cost,Match LHR Cost,Total LHR cost,Other Rehab Cost,Local government cost,Income,Occupants Younger Than 6,Occupants 6 and Older,BLL <10,BLL 10-20,BLL > 20,BLL Unknown,BLL Greater Than 5,New Georeferenced Column,Date Updated
2015,First Quarter,Single Family,St. Paul,55106.0,January 08 2015,March 19 2015,Owner Occupied,1887,2656,23,12,14.0,Interior Only,Window replacement and Paint stabilization,269.0,2883,2884,,0.0,,50-80,2.0,1.0,1.0,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2018,Second Quarter,,St. Paul,55104.0,September 22 2017,April 16 2018,Owner Occupied,1913,982,9,5,9.0,Only Interior,Paint Stabilization and Window replacement,0.0,2198,2199,,0.0,,50-80,2.0,5.0,,,,,2.0,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2009,Fourth Quarter,Single Family,St. Paul,55104.0,June 10 2009,October 07 2009,Owner Occupied,1911,1204,14,11,,Only Interior,Paint Stabilization and Window replacement,114.0,3100,3100,,0.0,,,4.0,1.0,1.0,,,,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2018,Third Quarter,,St. Paul,55117.0,June 27 2018,September 20 2018,Owner Occupied,1955,1033,13,9,18.0,Interior and exterior trim,Paint Stabilization and Window replacement,813.0,3712,3713,,0.0,,<30,3.0,7.0,,,,,0.0,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2011,Fourth Quarter,Single Family,St. Paul,55119.0,October 04 2011,December 01 2011,Owner Occupied,1953,1502,12,9,19.0,Only Interior,Paint Stabilization and Window replacement,0.0,3063,3063,,0.0,,50-80,4.0,2.0,,,,2.0,,"St. Paul 55119
(44.94448, -93.0213)","May 22, 2025"
2011,First Quarter,Single Family,St. Paul,55104.0,October 29 2010,January 14 2011,Owner Occupied,1915,898,15,11,17.0,Only Interior,Paint Stabilization and Window replacement,226.0,3576,3576,,0.0,,50-80,2.0,2.0,1.0,,,1.0,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2012,Third Quarter,Unit #2,St. Paul,55104.0,June 06 2012,July 18 2012,Occupied Rental,1903,820,5,4,5.0,Interior Only,Window replacement and Paint stabilization,0.0,1025,1026,,0.0,,30-50,1.0,0.0,,,,,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2009,Fourth Quarter,Unit #1,St. Paul,55104.0,August 28 2009,November 18 2009,Occupied Rental,1910,1539,10,8,,Only Interior,Paint Stabilization and Window replacement,0.0,3687,3687,,0.0,,,2.0,2.0,1.0,,,1.0,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2011,Third Quarter,Unit #1,St. Paul,55104.0,June 15 2011,August 30 2011,Occupied Rental,1888,926,7,4,8.0,Only Interior,Paint Stabilization and Window replacement,0.0,1351,1351,,0.0,,30-50,4.0,1.0,,,,1.0,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2010,Second Quarter,Unit #2,St. Paul,55130.0,January 19 2010,June 30 2010,Occupied Rental,1874,951,6,5,,Only Interior,Paint Stabilization and Window replacement,226.0,1841,1841,,0.0,,,4.0,2.0,1.0,1.0,,,,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2019,Fourth Quarter,5,Saint Paul,55104.0,July 11 2019,November 05 2019,Occupied Rental,1915,1000,7,5,15.0,Only Interior,Paint Stabilization and Window replacement,136.0,1588,2382,,927.0,,50-80,0.0,3.0,,,,,0.0,"Saint Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2023,Third Quarter,,Saint Paul,55102.0,May 10 2023,August 24 2023,Owner Occupied,1913,974,18,1,13.0,Only Interior,Paint Stabilization and Window replacement,0.0,0,1338,6692.0,,,50-80,1.0,4.0,,,,,,"Saint Paul 55102
(44.94339, -93.09648)","May 22, 2025"
2009,First Quarter,Unit #2,St. Paul,55117.0,February 11 2009,March 25 2009,Occupied Rental,1889,600,5,4,,Only Interior,Paint Stabilization and Window replacement,0.0,1283,1283,,0.0,,,1.0,1.0,,1.0,,,,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2011,Fourth Quarter,Unit #2,St. Paul,55130.0,September 02 2011,November 17 2011,Occupied Rental,1904,997,9,6,10.0,Only Interior,Paint Stabilization and Window replacement,113.0,2315,2315,,0.0,,30-50,2.0,2.0,,1.0,,1.0,,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2015,First Quarter,Single Family,St. Paul,55130.0,September 30 2014,January 28 2015,Owner Occupied,1918,1463,13,11,24.0,Interior Only,Window replacement and Paint stabilization,270.0,3717,3718,,0.0,,30-50,2.0,5.0,2.0,,,,,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2019,Second Quarter,2,Saint Paul,55130.0,February 21 2019,June 21 2019,Occupied Rental,1889,1012,9,6,10.0,Only Interior,Paint Stabilization and Window replacement,0.0,2414,2415,,0.0,,<30,1.0,8.0,,,,,0.0,"Saint Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2017,Fourth Quarter,,St. Paul,55104.0,June 29 2017,October 03 2017,Occupied Rental,1894,1176,11,8,11.0,Only Interior,Stabilization and Window replacement,270.0,2352,2352,,0.0,,30-50,3.0,2.0,,,,,0.0,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2009,Second Quarter,Single Family,St. Paul,55130.0,September 23 2008,April 02 2009,Owner Occupied,1909,2144,20,16,,Only Interior,Paint Stabilization and Window replacement,225.0,4200,8584,,0.0,,,6.0,3.0,2.0,,,1.0,,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2013,Fourth Quarter,Single Family,St. Paul,55107.0,October 03 2013,October 29 2013,Owner Occupied,1915,1084,11,4,10.0,Interior Only,Window replacement and Paint stabilization,0.0,2087,2087,,2087.0,,50-80,3.0,1.0,,1.0,,,,"St. Paul 55107
(44.93592, -93.07405)","May 22, 2025"
2017,Second Quarter,,St. Paul,55105.0,January 24 2017,April 11 2017,Owner Occupied,1926,1056,9,7,14.0,Only Interior,Paint Stabilization and Window replacement,269.0,3002,3003,,0.0,,50-80,2.0,3.0,,,,,0.0,"St. Paul 55105
(44.93427, -93.17401)","May 22, 2025"
2010,Fourth Quarter,Single Family,St. Paul,55130.0,June 07 2010,November 03 2010,Owner Occupied,1905,2120,20,11,,Only Interior,Paint Stabilization and Window replacement,0.0,4200,4254,,0.0,,,2.0,2.0,1.0,1.0,,,,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2012,Fourth Quarter,Unit #2,St. Paul,55103.0,September 06 2012,October 26 2012,Owner Occupied,1886,1110,8,6,16.0,Only Interior,Paint Stabilization and Window replacement,0.0,2920,2921,,0.0,,50-80,2.0,2.0,1.0,,,1.0,,"St. Paul 55103
(44.95874, -93.10595)","May 22, 2025"
2012,Second Quarter,Single Family,St. Paul,55117.0,April 26 2012,May 17 2012,Owner Occupied,1919,1142,11,8,22.0,Only Interior,Paint Stabilization and Window replacement,0.0,3873,3873,,0.0,,50-80,3.0,1.0,1.0,,,,,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2012,Third Quarter,Unit #3,St. Paul,55104.0,June 06 2012,July 17 2012,Occupied Rental,1903,1280,6,5,8.0,Interior Only,Window replacement and Paint stabilization,0.0,1488,1489,,0.0,,30-50,4.0,3.0,1.0,1.0,,1.0,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2021,Second Quarter,1,Saint Paul,55106.0,March 29 2021,June 30 2021,Occupied Rental,1889,1034,9,5,10.0,Only Interior,Paint Stabilization and Window replacement,176.0,2497,2498,,0.0,,<30,1.0,2.0,,,,,,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2012,First Quarter,Single Family,St. Paul,55117.0,February 09 2012,March 21 2012,Owner Occupied,1906,1167,12,7,17.0,Only Interior,Paint Stabilization and Window replacement,113.0,2784,2784,,0.0,,50-80,2.0,2.0,1.0,,,1.0,,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2011,First Quarter,Single Family,St. Paul,55107.0,January 05 2011,February 23 2011,Owner Occupied,1915,1346,14,10,15.0,Only Interior,Paint Stabilization and Window replacement,124.0,2591,2591,,0.0,,50-80,3.0,1.0,1.0,,,,,"St. Paul 55107
(44.93592, -93.07405)","May 22, 2025"
2021,First Quarter,,Saint Paul,55119.0,September 01 2020,January 07 2021,Vacant,1948,1109,7,5,9.0,Only Interior,Paint Stabilization and Window replacement,0.0,1825,2737,,0.0,,,,,,,,,,"Saint Paul 55119
(44.94448, -93.0213)","May 22, 2025"
2021,Third Quarter,,Saint Paul,55103.0,May 18 2021,August 17 2021,Owner Occupied,1907,1232,11,7,12.0,Only Interior,Paint Stabilization and Window replacement,263.0,2435,3654,,0.0,,30-50,2.0,4.0,,,,,,"Saint Paul 55103
(44.95874, -93.10595)","May 22, 2025"
