Year,Quarter,Dwelling Unit,City,Zip,Paint Inspection/Risk Assessment Date,Clear/Close Date,Property Status,Year Built,Finished Square Feet,Number of Rooms,Number of Rooms Treated,Windows,Location of Work,Type of Work,Relocation Cost,HUD Lead Hazard Reduction Cost,Match LHR Cost,Total LHR cost,Other Rehab Cost,Local government cost,Income,Occupants Younger Than 6,Occupants 6 and Older,BLL <10,BLL 10-20,BLL > 20,BLL Unknown,BLL Greater Than 5,New Georeferenced Column,Date Updated
2023,First Quarter,2,Saint Paul,55106.0,July 26 2022,March 01 2023,Occupied Rental,1910,1192,13,10,22.0,Only Interior,Paint Stabilization and Window replacement,0.0,0,5150,10516.0,,,50-80,1.0,2.0,,,,,,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2013,Second Quarter,Unit #2,St. Paul,55106.0,April 05 2013,June 05 2013,Owner Occupied,1882,840,6,4,7.0,Interior Only,Window replacement and Paint stabilization,0.0,1218,1218,,0.0,,50-80,2.0,2.0,1.0,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2021,Third Quarter,,Saint Paul,55106.0,June 11 2021,August 31 2021,Occupied Rental,1902,1560,16,5,6.0,Only Interior,Paint Stabilization and Window replacement,0.0,1459,5641,,0.0,,50-80,1.0,2.0,,,,,,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2011,Second Quarter,Single Family,St. Paul,55106.0,February 11 2011,April 27 2011,Owner Occupied,1894,1360,16,2,10.0,Only Interior,Paint Stabilization and Window replacement,113.0,1862,1862,,0.0,,50-80,1.0,2.0,1.0,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2011,First Quarter,Unit #2,St. Paul,55106.0,September 15 2010,February 03 2011,Occupied Rental,1927,1080,7,6,13.0,Only Interior,Paint Stabilization and Window replacement,0.0,2007,2008,,0.0,,30-50,3.0,2.0,1.0,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2016,Fourth Quarter,,Lauderdale,55113.0,October 21 2016,December 20 2016,Owner Occupied,1924,1356,14,7,16.0,Only Interior,Paint Stabilization and Window replacement,269.0,3661,3662,,0.0,,50-80,2.0,2.0,,,,,0.0,"Lauderdale 55113
(44.99858, -93.20503)","May 22, 2025"
2019,Third Quarter,,Saint Paul,55104.0,May 08 2019,July 24 2019,Owner Occupied,1914,1278,16,8,14.0,Only Interior,Paint Stabilization and Window replacement,0.0,2795,4042,,0.0,,50-80,1.0,2.0,,,,,0.0,"Saint Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2021,First Quarter,,Saint Paul,55106.0,October 16 2020,February 10 2021,Occupied Rental,1926,979,12,8,15.0,Only Interior,Paint Stabilization and Window replacement,818.0,29969,4224,,0.0,,30-50,2.0,2.0,,,,,,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2018,First Quarter,,St. Paul,55104.0,December 01 2017,February 07 2018,Owner Occupied,1912,1124,13,8,11.0,Only Interior,Paint Stabilization and Window replacement,135.0,2288,3024,,0.0,,50-80,2.0,2.0,,,,,0.0,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2018,Fourth Quarter,1,St. Paul,55106.0,September 26 2018,December 10 2018,Occupied Rental,1882,805,8,6,10.0,Only Interior,Paint Stabilization and Window replacement,271.0,2922,2923,,0.0,,<30,1.0,2.0,,,,,0.0,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2017,Fourth Quarter,,St. Paul,55104.0,September 20 2017,November 27 2017,Owner Occupied,1903,1674,12,8,17.0,Only Interior,Stabilization and Window replacement,0.0,4200,4525,,0.0,,<30,2.0,3.0,,,,,1.0,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2013,Fourth Quarter,Single Family,St. Paul,55106.0,July 01 2013,October 03 2013,Owner Occupied,1922,954,12,2,16.0,Interior and Front Porch,Window replacement and Paint stabilization,0.0,3143,3144,,0.0,,50-80,2.0,1.0,1.0,,,,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2010,Fourth Quarter,Single Family,St. Paul,55106.0,July 08 2010,October 15 2010,Owner Occupied,1933,672,8,3,,Only Interior,Paint Stabilization and Window replacement,226.0,2445,2445,,0.0,,,2.0,1.0,1.0,,,,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2011,Second Quarter,Single Family,St. Paul,55117.0,January 13 2011,May 05 2011,Occupied Rental,1921,1023,10,7,11.0,Only Interior,Paint Stabilization and Window replacement,113.0,1875,1875,,0.0,,30-50,1.0,1.0,,,,1.0,,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2012,Second Quarter,Unit #2,St. Paul,55130.0,April 26 2012,June 27 2012,Occupied Rental,1889,1094,8,5,17.0,Only Interior,Paint Stabilization and Window replacement,113.0,3187,4038,,0.0,,50-80,2.0,3.0,1.0,,,2.0,,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2013,First Quarter,Single Family,St. Paul,55130.0,December 06 2012,January 30 2013,Occupied Rental,1886,967,11,11,22.0,Interior Only,Window replacement and Paint stabilization,0.0,3527,3528,,0.0,,30-50,3.0,2.0,1.0,,,1.0,,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2011,Second Quarter,Single Family,St. Paul,55130.0,January 28 2011,May 18 2011,Owner Occupied,1869,1250,12,6,11.0,Only Interior,Paint Stabilization and Window replacement,0.0,1996,1996,,0.0,,50-80,4.0,2.0,1.0,,,1.0,,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2017,Second Quarter,,St. Paul,55106.0,March 30 2017,June 06 2017,Owner Occupied,1956,936,7,5,12.0,Only Interior,Paint Stabilization and Window replacement,269.0,3353,3353,,0.0,,30-50,2.0,3.0,,,,,0.0,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2011,Third Quarter,Single Family,St. Paul,55105.0,May 06 2011,August 25 2011,Occupied Rental,1880,1248,12,8,13.0,Only Interior,Paint Stabilization and Window replacement,0.0,1986,1986,,0.0,,30-50,2.0,1.0,,,,1.0,,"St. Paul 55105
(44.93427, -93.17401)","May 22, 2025"
2012,Fourth Quarter,Single Family,St. Paul,55104.0,August 01 2012,October 04 2012,Occupied Rental,1908,1201,14,12,22.0,Only Interior,Paint Stabilization and Window replacement,113.0,3411,3412,,0.0,,30-50,3.0,2.0,1.0,,,1.0,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2010,First Quarter,Single Family,St. Paul,55106.0,September 30 2009,January 06 2010,Owner Occupied,1886,931,10,6,,Only Interior,Paint Stabilization and Window replacement,0.0,1960,1960,,0.0,,,3.0,1.0,,1.0,,,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2013,Second Quarter,Single Family,St. Paul,55106.0,January 02 2013,May 08 2013,Owner Occupied,1926,2025,19,9,19.0,Interior Only,Window replacement and Paint stabilization,0.0,2724,2725,,0.0,,50-80,3.0,3.0,1.0,,,2.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2018,First Quarter,,Roseville,55113.0,October 04 2017,January 23 2018,Owner Occupied,1955,924,12,7,11.0,Only Interior,Paint Stabilization and Window replacement,270.0,3290,3290,,0.0,,50-80,2.0,2.0,,,,,0.0,"Roseville 55113
(45.02253, -93.14931)","May 22, 2025"
2023,First Quarter,,White Bear Lake,55110.0,November 05 2021,February 14 2023,Owner Occupied,1953,1164,11,4,11.0,Only Interior,Paint Stabilization and Window replacement,262.7,0,2788,5692.0,,,<30,3.0,2.0,,,,,,"White Bear Lake 55110
(45.08315, -93.01185)","May 22, 2025"
2013,Third Quarter,Unit #2,St. Paul,55106.0,April 18 2013,September 11 2013,Occupied Rental,1889,900,9,6,9.0,Interior Only,Window replacement and Paint stabilization,0.0,1328,1329,,0.0,,30-50,4.0,1.0,,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2019,Second Quarter,,Saint Paul,55103.0,March 21 2019,June 04 2019,Occupied Rental,1896,1600,19,8,12.0,Only Interior,Paint Stabilization and Window replacement,0.0,2187,3280,,426.0,,50-80,1.0,2.0,,,,,1.0,"Saint Paul 55103
(44.95874, -93.10595)","May 22, 2025"
2013,Fourth Quarter,Single Family,St. Paul,55109.0,October 08 2013,December 04 2013,Owner Occupied,1942,1189,10,6,17.0,Interior Only,Window replacement and Paint stabilization,124.0,2554,2554,,0.0,,50-80,2.0,2.0,1.0,,,1.0,,"St. Paul 55109
(45.01209, -92.99034)","May 22, 2025"
2016,Third Quarter,,St. Paul,55106.0,June 08 2016,August 30 2016,Owner Occupied,1912,1176,11,6,11.0,Only Interior,Stabilization and Window replacement,540.0,2490,2491,,0.0,,<30,4.0,3.0,,,,,0.0,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2013,First Quarter,Single Family,St. Paul,55104.0,December 01 6012,March 13 2013,Owner Occupied,1922,1120,10,7,20.0,Interior with exterior wrap,Window replacement and Paint stabilization,0.0,3506,3507,,0.0,,30-50,4.0,2.0,1.0,,,1.0,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2013,Second Quarter,Unit #2,St. Paul,55106.0,February 13 2013,April 11 2013,Occupied Rental,1906,994,8,5,11.0,Interior Only,Window replacement and Paint stabilization,0.0,1648,1649,,0.0,,30-50,2.0,1.0,,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2010,Second Quarter,Single Family,St. Paul,55104.0,February 11 2010,April 14 2010,Owner Occupied,1919,1059,9,6,,Only Interior,Paint Stabilization and Window replacement,0.0,2981,2981,,0.0,,,2.0,1.0,1.0,,,,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2011,Fourth Quarter,Single Family,St. Paul,55106.0,September 06 2011,November 23 2011,Owner Occupied,1926,1097,11,9,20.0,Only Interior,Paint Stabilization and Window replacement,226.0,4194,4195,,0.0,,50-80,2.0,2.0,1.0,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2011,Fourth Quarter,Unit #1,St. Paul,55104.0,September 07 2011,December 14 2011,Occupied Rental,1921,1144,9,7,20.0,Only Interior,Paint Stabilization and Window replacement,0.0,3120,3120,,0.0,,50-80,3.0,2.0,1.0,,,1.0,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2019,Fourth Quarter,,Saint Paul,55105.0,June 12 2019,October 25 2019,Owner Occupied,1916,1420,15,11,29.0,Interior and exterior porch,Paint Stabilization and Window replacement,0.0,4200,14107,,0.0,,<30,2.0,4.0,,,,,0.0,"Saint Paul 55105
(44.93427, -93.17401)","May 22, 2025"
2012,First Quarter,Single Family,St. Paul,55106.0,November 21 2011,March 27 2012,Owner Occupied,1925,672,9,8,20.0,Only Interior,Paint Stabilization and Window replacement,113.0,3351,3351,,0.0,,30-50,2.0,2.0,2.0,,,,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2021,First Quarter,,Saint Paul,55114.0,October 21 2020,January 15 2021,Owner Occupied,1897,1025,6,3,7.0,Interior and exterior porch,Paint Stabilization and Window replacement,176.0,2314,2314,,176.0,,50-80,1.0,2.0,,,,,,"Saint Paul 55114
(44.96725, -93.19668)","May 22, 2025"
2011,Second Quarter,Unit #1,WBL,55110.0,April 13 2011,June 01 2011,Owner Occupied,1900,1013,8,5,14.0,Only Interior,Paint Stabilization and Window replacement,0.0,2251,2251,,0.0,,50-80,1.0,1.0,1.0,,,,,"WBL 55110
(45.08813, -93.00818)","May 22, 2025"
2017,Third Quarter,,St. Paul,55104.0,June 16 2017,August 23 2017,Occupied Rental,1938,1628,18,9,15.0,Only Interior,Paint Stabilization and Window replacement,538.0,3421,3422,,0.0,,<30,3.0,5.0,,,,,0.0,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2009,Second Quarter,Single Family,St. Paul,55117.0,March 16 2009,May 20 2009,Owner Occupied,1922,1334,13,7,,Only Interior,Paint Stabilization and Window replacement,112.0,3384,3384,,0.0,,,3.0,1.0,,1.0,,,,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2023,Second Quarter,,Saint Paul,55102.0,October 18 2022,April 19 2023,Owner Occupied,1900,1606,12,5,19.0,Only Interior,Paint Stabilization and Window replacement,0.0,0,2162,10997.0,,,<30,1.0,4.0,,,,,,"Saint Paul 55102
(44.94339, -93.09648)","May 22, 2025"
2019,Second Quarter,,Saint Paul,55103.0,March 20 2019,March 03 2019,Owner Occupied,1908,1156,15,6,13.0,Only Interior,Paint Stabilization and Window replacement,0.0,2693,4040,,0.0,,50-80,2.0,2.0,,,,,0.0,"Saint Paul 55103
(44.95874, -93.10595)","May 22, 2025"
2020,First Quarter,2,Saint Paul,55106.0,November 07 2019,February 21 2020,Occupied Rental,1964,1040,8,4,12.0,Only Interior,Paint Stabilization and Window replacement,206.0,2320,1636,,0.0,,<30,1.0,3.0,,,,,0.0,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2019,First Quarter,,Saint Paul,55119.0,November 30 2018,February 20 2019,Owner Occupied,1952,964,8,5,12.0,Only Interior,Paint Stabilization and Window replacement,0.0,1978,2966,,0.0,,30-50,2.0,2.0,,,,,0.0,"Saint Paul 55119
(44.94448, -93.0213)","May 22, 2025"
2018,Third Quarter,,St. Paul,55107.0,July 16 2018,September 27 2018,Owner Occupied,1922,1184,9,4,5.0,Only Interior,Paint Stabilization and Window replacement,0.0,1456,1456,,0.0,,50-80,1.0,2.0,,,,,1.0,"St. Paul 55107
(44.93592, -93.07405)","May 22, 2025"
2013,Third Quarter,Unit #7,St. Paul,55106.0,April 18 2013,September 09 2013,Occupied Rental,1889,725,6,4,5.0,Interior Only,Window replacement and Paint stabilization,0.0,905,905,,0.0,,30-50,2.0,2.0,1.0,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2012,Third Quarter,Unit #2,St. Paul,55106.0,April 27 2012,August 23 2012,Occupied Rental,1888,689,8,7,11.0,Only Interior,Paint Stabilization and Window replacement,0.0,1925,1926,,0.0,,30-50,3.0,2.0,1.0,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2023,Third Quarter,,Saint Paul,55104.0,June 23 2023,September 26 2023,Occupied Rental,1910,984,15,11,20.0,Interior and exterior,Paint Stabilization and Window replacement,240.63,0,2237,11183.0,,,<30,2.0,3.0,,,,,1.0,"Saint Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2018,Third Quarter,,St. Paul,55107.0,July 17 2018,September 11 2018,Owner Occupied,1910,922,13,9,13.0,Interior and exterior porch,Paint Stabilization and Window replacement,0.0,2976,2977,,0.0,,30-50,2.0,2.0,,,,,0.0,"St. Paul 55107
(44.93592, -93.07405)","May 22, 2025"
2017,Fourth Quarter,,St. Paul,55106.0,August 15 2017,December 13 2017,Owner Occupied,1906,1434,14,10,16.0,Only Interior,Stabilization and Window replacement,540.0,3541,3541,,0.0,,30-50,1.0,6.0,,,,,1.0,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2011,Second Quarter,Single Family,St. Paul,55107.0,March 10 2011,May 10 2011,Owner Occupied,1922,1457,13,4,11.0,Only Interior,Paint Stabilization and Window replacement,0.0,2628,2628,,0.0,,50-80,2.0,3.0,2.0,,,1.0,,"St. Paul 55107
(44.93592, -93.07405)","May 22, 2025"
2023,Third Quarter,,Saint Paul,55106.0,March 08 2023,August 22 2023,Owner Occupied,1953,2408,15,2,6.0,Only Interior,Paint Stabilization and Window replacement,216.34,0,673,3367.0,,,30-50,1.0,6.0,,,,,,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2011,Third Quarter,Single Family,St. Paul,55104.0,June 29 2011,August 25 2011,Owner Occupied,1908,1190,12,8,14.0,Only Interior,Paint Stabilization and Window replacement,0.0,2901,2901,,0.0,,50-80,2.0,2.0,1.0,1.0,,,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2017,First Quarter,1,St. Paul,55106.0,September 27 2016,January 24 2017,Occupied Rental,1880,1428,13,7,12.0,Only Interior,Paint Stabilization and Window replacement,135.0,2216,2217,,0.0,,<30,1.0,2.0,,,,,0.0,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2018,Second Quarter,,St. Paul,55106.0,February 22 2018,April 26 2018,Owner Occupied,1936,1061,12,9,16.0,Only Interior,Paint Stabilization and Window replacement,676.0,3098,3459,,0.0,,50-80,2.0,3.0,,,,,1.0,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2016,Fourth Quarter,,St. Paul,55106.0,September 29 2016,November 17 2016,Owner Occupied,1908,2480,13,10,20.0,Only Interior,Paint Stabilization and Window replacement,0.0,4061,4062,,0.0,,<30,1.0,6.0,,,,,0.0,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2016,Fourth Quarter,2,St. Paul,55130.0,September 06 2016,December 01 2016,Occupied Rental,1887,832,6,3,3.0,Only Interior,Paint Stabilization and Window replacement,0.0,596,596,,0.0,,30-50,1.0,4.0,,,,,0.0,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2021,Second Quarter,,Saint Paul,55130.0,January 14 2021,April 30 2021,Occupied Rental,1950,768,6,5,11.0,Only Interior,Paint Stabilization and Window replacement,191.0,2156,3235,,0.0,,<30,1.0,3.0,,,,,,"Saint Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2023,Third Quarter,,Saint Paul,55106.0,February 09 2023,July 18 2023,Owner Occupied,1923,899,12,8,15.0,Only Interior,Paint Stabilization and Window replacement,324.51,0,1647,8271.0,,,50-80,2.0,2.0,,,,,,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2011,Fourth Quarter,Unit #1,St. Paul,55130.0,September 02 2011,November 16 2011,Occupied Rental,1904,1096,10,6,11.0,Only Interior,Paint Stabilization and Window replacement,113.0,1916,1917,,0.0,,30-50,2.0,2.0,1.0,1.0,,,,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2009,Third Quarter,Unit #1,St. Paul,55104.0,January 15 2009,July 21 2009,Owner Occupied,1892,1462,12,8,,Only Interior,Paint Stabilization and Window replacement,0.0,2553,2553,,0.0,,,2.0,1.0,1.0,,,1.0,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2021,First Quarter,,Saint Paul,55130.0,November 06 2020,March 02 2021,Owner Occupied,1889,2766,10,6,8.0,Only Interior,Paint Stabilization and Window replacement,0.0,2067,2068,,0.0,,30-50,1.0,2.0,,,,,,"Saint Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2009,Second Quarter,Single Family,St. Paul,55117.0,March 04 2009,May 01 2009,Owner Occupied,1885,912,8,6,,Only Interior,Paint Stabilization and Window replacement,0.0,2075,2075,,0.0,,,8.0,1.0,,1.0,,,,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2019,Fourth Quarter,,Saint Paul,55106.0,June 06 2019,November 07 2019,Owner Occupied,1956,1032,8,4,8.0,Only Interior,Paint Stabilization and Window replacement,0.0,2015,2016,,0.0,,30-50,2.0,5.0,,,,,0.0,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2009,Fourth Quarter,Unit #2,St. Paul,55104.0,August 28 2009,November 20 2009,Owner Occupied,1910,1539,11,6,,Only Interior,Paint Stabilization and Window replacement,0.0,3429,3428,,0.0,,,2.0,2.0,,1.0,,1.0,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2015,Third Quarter,Single Family,St. Paul,55106.0,April 15 2015,August 18 2015,Owner Occupied,1957,936,7,5,12.0,Interior Only,Window replacement and Paint stabilization,0.0,2406,2406,,0.0,,50-80,3.0,3.0,2.0,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2011,First Quarter,Single Family,St. Paul,55104.0,January 27 2011,March 17 2011,Owner Occupied,1923,749,8,5,6.0,Only Interior,Paint Stabilization and Window replacement,0.0,1473,1474,,0.0,,50-80,2.0,2.0,2.0,,,,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2018,Third Quarter,1,St. Paul,55104.0,April 19 2018,July 11 2018,Occupied Rental,1900,989,8,4,5.0,Only Interior,Paint Stabilization and Window replacement,0.0,1354,1355,,0.0,,<30,1.0,7.0,,,,,0.0,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2019,First Quarter,,Saint Paul,55104.0,December 04 2018,March 07 2019,Occupied Rental,1887,1778,11,6,10.0,Only Interior,Paint Stabilization and Window replacement,0.0,1938,2907,,0.0,,<30,1.0,9.0,,,,,1.0,"Saint Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2008,Fourth Quarter,Single Family,St. Paul,55117.0,August 27 2008,November 11 2008,Owner Occupied,1926,1537,13,9,,Only Interior,Paint Stabilization and Window replacement,0.0,2731,2731,,0.0,,,4.0,1.0,,,,1.0,,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2019,Third Quarter,,Saint Paul,55106.0,June 20 2019,September 04 2019,Owner Occupied,1955,1395,13,8,16.0,Only Interior,Paint Stabilization and Window replacement,403.0,3036,4554,,0.0,,30-50,1.0,6.0,,,,,0.0,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2009,Fourth Quarter,Duplex,St. Paul,55107.0,May 13 2009,October 16 2009,Vacant,1915,1136,11,9,,Only Interior,Paint Stabilization and Window replacement,0.0,4200,5200,,0.0,,,0.0,0.0,,,,,,"St. Paul 55107
(44.93592, -93.07405)","May 22, 2025"
2014,Fourth Quarter,Single Family,St. Paul,55102.0,August 26 2014,October 28 2014,Owner Occupied,1914,1530,14,1,12.0,Porch Only,Window replacement and Paint stabilization,0.0,2525,2526,,0.0,,50-80,3.0,2.0,2.0,,,,,"St. Paul 55102
(44.94339, -93.09648)","May 22, 2025"
2013,Fourth Quarter,Single Family,St. Paul,55106.0,September 20 2013,November 05 2013,Owner Occupied,1921,843,8,3,4.0,Interior and Front Porch,Window replacement and Paint stabilization,0.0,1074,1074,,1074.0,,50-80,2.0,1.0,1.0,,,,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2010,Second Quarter,Unit #1,St. Paul,55107.0,April 05 2010,June 23 2010,Occupied Rental,1896,1069,9,7,,Only Interior,Paint Stabilization and Window replacement,226.0,2670,2670,,0.0,,,2.0,2.0,,1.0,,,,"St. Paul 55107
(44.93592, -93.07405)","May 22, 2025"
2017,Fourth Quarter,1,St. Paul,55106.0,October 11 2017,December 12 2017,Occupied Rental,1908,1078,7,7,16.0,Only Interior,Stabilization and Window replacement,0.0,4200,4737,,0.0,,<30,2.0,6.0,,,,,0.0,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2019,First Quarter,,Saint Paul,55117.0,November 27 2018,February 21 2019,Owner Occupied,1961,935,11,7,17.0,Only Interior,Paint Stabilization and Window replacement,0.0,3190,5355,,0.0,,30-50,1.0,4.0,,,,,0.0,"Saint Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2010,Fourth Quarter,Single Family,St. Paul,55103.0,September 29 2010,December 10 2010,Owner Occupied,1913,1241,16,2,4.0,Only Interior,Paint Stabilization and Window replacement,0.0,993,993,,0.0,,50-80,3.0,1.0,1.0,,,,,"St. Paul 55103
(44.95874, -93.10595)","May 22, 2025"
2010,Fourth Quarter,Unit #2,St. Paul,55130.0,July 15 2010,November 04 2010,Occupied Rental,1889,1134,7,6,,Only Interior,Paint Stabilization and Window replacement,114.0,2263,2263,,0.0,,,2.0,1.0,,1.0,,,,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2012,Second Quarter,Single Family,St. Paul,55130.0,May 10 2012,June 13 2012,Occupied Rental,1915,853,10,8,13.0,Only Interior,Paint Stabilization and Window replacement,0.0,2562,2562,,0.0,,50-80,2.0,1.0,,1.0,,,,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2020,First Quarter,,Saint Paul,55106.0,November 14 2019,February 20 2020,Occupied Rental,1921,1075,14,4,11.0,Interior and exterior porch,Paint Stabilization and Window replacement,467.0,2693,4039,,0.0,,30-50,1.0,4.0,,,,,0.0,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2016,First Quarter,Unit #2,St. Paul,55106.0,January 21 2016,March 23 2016,Owner Occupied,1884,634,7,6,8.0,Interior Only,Window replacement and Paint stabilization,404.0,1836,1836,,0.0,,30-50,3.0,1.0,,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2014,Third Quarter,Single Family,St. Paul,55130.0,May 21 2014,July 08 2014,Occupied Rental,1904,1589,15,9,15.0,Interior Only,Window replacement and Paint stabilization,0.0,2332,2332,,0.0,,50-80,5.0,2.0,,1.0,,1.0,,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2022,Fourth Quarter,,Saint Paul,55117.0,July 11 2022,December 07 2022,Owner Occupied,1946,1562,16,8,17.0,Only Interior,Paint Stabilization and Window replacement,0.0,0,1271,12115.0,0.0,9691.0,30-50,1.0,3.0,,,,,,"Saint Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2016,First Quarter,Unit #1,St. Paul,55106.0,December 17 2015,February 29 2016,Occupied Rental,1882,1140,7,4,7.0,Interior Only,Window replacement and Paint stabilization,0.0,1433,1434,,0.0,,<30,2.0,2.0,1.0,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2011,Third Quarter,Single Family,St. Paul,55107.0,April 08 2011,September 08 2011,Owner Occupied,1893,842,8,5,16.0,Only Interior,Paint Stabilization and Window replacement,0.0,2595,2595,,0.0,,50-80,2.0,1.0,,,,1.0,,"St. Paul 55107
(44.93592, -93.07405)","May 22, 2025"
2017,Second Quarter,,St. Paul,55117.0,October 14 2016,April 17 2017,Owner Occupied,1885,1107,11,6,8.0,Only Interior,Paint Stabilization and Window replacement,269.0,1587,1587,,5435.0,,30-50,2.0,5.0,,,,,0.0,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2019,Fourth Quarter,2,Saint Paul,55106.0,September 26 2019,November 25 2019,Occupied Rental,1900,886,8,7,13.0,Only Interior,Paint Stabilization and Window replacement,136.0,2485,3728,,0.0,,<30,3.0,2.0,,,,,1.0,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2015,Second Quarter,Single Family,St. Paul,55104.0,May 04 2015,June 16 2015,Occupied Rental,1891,1590,11,8,26.0,Interior and Porch,Window replacement and Paint stabilization,0.0,4200,7172,,0.0,,30-50,1.0,1.0,1.0,,,,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2023,Fourth Quarter,,Saint Paul,55106.0,May 18 2023,January 04 2024,Owner Occupied,1940,1193,12,5,13.0,Only Interior,Paint Stabilization and Window replacement,0.0,0,1654,8269.0,,,30-50,0.0,2.0,,,,,,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2011,Second Quarter,Unit #1,WBL,55110.0,April 13 2011,June 01 2011,Owner Occupied,1900,1013,8,5,14.0,Only Interior,Paint Stabilization and Window replacement,0.0,2251,2251,,0.0,,50-80,1.0,1.0,1.0,,,,,"WBL 55110
(45.08813, -93.00818)","May 22, 2025"
2019,Fourth Quarter,,Saint Paul,55105.0,June 12 2019,October 25 2019,Owner Occupied,1916,1420,15,11,29.0,Interior and exterior porch,Paint Stabilization and Window replacement,0.0,4200,14107,,0.0,,<30,2.0,4.0,,,,,0.0,"Saint Paul 55105
(44.93427, -93.17401)","May 22, 2025"
2022,Fourth Quarter,,Saint Paul,55106.0,June 03 2022,December 14 2022,Owner Occupied,1954,1297,11,7,13.0,Only Interior,Paint Stabilization and Window replacement,0.0,0,819,7319.0,263.0,5988.0,<30,2.0,5.0,,,,,,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
