county_fips,NAME,total_pop,children_under_5,children_under_10,pct_children_under5
40035,"Craig County, Oklahoma",14144,722,1648,5.1
40037,"Creek County, Oklahoma",72076,4234,8724,5.87
40039,"Custer County, Oklahoma",28391,1859,3831,6.55
40041,"Delaware County, Oklahoma",40791,1971,4393,4.83
40043,"Dewey County, Oklahoma",4504,275,572,6.11
40045,"Ellis County, Oklahoma",3755,190,439,5.06
40047,"Garfield County, Oklahoma",62456,4220,8693,6.76
40049,"Garvin County, Oklahoma",25806,1540,3266,5.97
40051,"Grady County, Oklahoma",55314,3004,6572,5.43
40053,"Grant County, Oklahoma",4152,255,491,6.14
40055,"Greer County, Oklahoma",5531,327,684,5.91
40057,"Harmon County, Oklahoma",2499,131,290,5.24
40059,"Harper County, Oklahoma",3272,200,438,6.11
40061,"Haskell County, Oklahoma",11651,678,1414,5.82
40063,"Hughes County, Oklahoma",13409,713,1564,5.32
40065,"Jackson County, Oklahoma",24776,1764,3737,7.12
40067,"Jefferson County, Oklahoma",5420,316,728,5.83
40069,"Johnston County, Oklahoma",10410,616,1233,5.92
40071,"Kay County, Oklahoma",43859,2789,5731,6.36
40073,"Kingfisher County, Oklahoma",15290,985,2139,6.44
40075,"Kiowa County, Oklahoma",8446,562,1153,6.65
40077,"Latimer County, Oklahoma",9537,574,1089,6.02
40079,"Le Flore County, Oklahoma",48525,2961,6109,6.1
40081,"Lincoln County, Oklahoma",33734,1903,4080,5.64
40083,"Logan County, Oklahoma",49919,2707,5794,5.42
40085,"Love County, Oklahoma",10158,627,1249,6.17
40087,"McClain County, Oklahoma",42393,2295,5352,5.41
40089,"McCurtain County, Oklahoma",31003,2173,4481,7.01
40091,"McIntosh County, Oklahoma",19159,980,2098,5.12
40093,"Major County, Oklahoma",7678,451,1022,5.87
40095,"Marshall County, Oklahoma",15494,983,1875,6.34
40097,"Mayes County, Oklahoma",39324,2237,4870,5.69
40099,"Murray County, Oklahoma",13837,841,1632,6.08
40101,"Muskogee County, Oklahoma",66606,4241,8859,6.37
40103,"Noble County, Oklahoma",10981,647,1382,5.89
40105,"Nowata County, Oklahoma",9460,617,1202,6.52
40107,"Okfuskee County, Oklahoma",11349,609,1361,5.37
40109,"Oklahoma County, Oklahoma",795822,55337,110882,6.95
40111,"Okmulgee County, Oklahoma",36900,2104,4386,5.7
40113,"Osage County, Oklahoma",46004,2286,4911,4.97
40115,"Ottawa County, Oklahoma",30472,1981,4219,6.5
40117,"Pawnee County, Oklahoma",15682,934,1833,5.96
40119,"Payne County, Oklahoma",82058,3806,8625,4.64
40121,"Pittsburg County, Oklahoma",43758,2548,5305,5.82
40123,"Pontotoc County, Oklahoma",38116,2543,5119,6.67
40125,"Pottawatomie County, Oklahoma",72734,4230,8782,5.82
40127,"Pushmataha County, Oklahoma",10845,585,1289,5.39
40129,"Roger Mills County, Oklahoma",3423,176,453,5.14
40131,"Rogers County, Oklahoma",95870,5457,11309,5.69
40133,"Seminole County, Oklahoma",23592,1433,3034,6.07
40135,"Sequoyah County, Oklahoma",39538,2466,4742,6.24
40137,"Stephens County, Oklahoma",43140,2424,4946,5.62
40139,"Texas County, Oklahoma",21144,1650,3377,7.8
40141,"Tillman County, Oklahoma",7013,407,833,5.8
40143,"Tulsa County, Oklahoma",668923,45069,90729,6.74
40145,"Wagoner County, Oklahoma",82269,4617,10216,5.61
40147,"Washington County, Oklahoma",52579,3165,6653,6.02
40149,"Washita County, Oklahoma",10930,656,1465,6.0
40151,"Woods County, Oklahoma",8661,464,977,5.36
40153,"Woodward County, Oklahoma",20411,1289,2782,6.32
41001,"Baker County, Oregon",16685,809,1657,4.85
41003,"Benton County, Oregon",95615,3533,7568,3.7
41005,"Clackamas County, Oregon",420925,21105,46513,5.01
41007,"Clatsop County, Oregon",41190,1961,3840,4.76
41009,"Columbia County, Oregon",52865,2689,6006,5.09
41011,"Coos County, Oregon",64908,2928,6230,4.51
41013,"Crook County, Oregon",24987,1326,2853,5.31
41015,"Curry County, Oregon",23404,794,1889,3.39
41017,"Deschutes County, Oregon",199352,9572,20595,4.8
41019,"Douglas County, Oregon",111322,5388,11001,4.84
41021,"Gilliam County, Oregon",1983,48,171,2.42
41023,"Grant County, Oregon",7237,309,623,4.27
41025,"Harney County, Oregon",7496,349,762,4.66
41027,"Hood River County, Oregon",23965,1359,2856,5.67
41029,"Jackson County, Oregon",222604,11432,23872,5.14
41031,"Jefferson County, Oregon",24659,1532,2751,6.21
41033,"Josephine County, Oregon",87994,4102,8478,4.66
41035,"Klamath County, Oregon",69506,3952,8462,5.69
41037,"Lake County, Oregon",8201,410,745,5.0
41039,"Lane County, Oregon",382218,16957,35355,4.44
41041,"Lincoln County, Oregon",50334,1909,4462,3.79
41043,"Linn County, Oregon",128598,7332,15150,5.7
41045,"Malheur County, Oregon",31538,2026,4104,6.42
41047,"Marion County, Oregon",345815,21281,43926,6.15
41049,"Morrow County, Oregon",12140,863,1833,7.11
41051,"Multnomah County, Oregon",808098,39020,79364,4.83
41053,"Polk County, Oregon",87600,4698,9956,5.36
41055,"Sherman County, Oregon",1900,103,157,5.42
41057,"Tillamook County, Oregon",27345,1146,2449,4.19
41059,"Umatilla County, Oregon",79904,5007,10033,6.27
41061,"Union County, Oregon",26286,1314,3098,5.0
41063,"Wallowa County, Oregon",7439,369,696,4.96
41065,"Wasco County, Oregon",26639,1479,3030,5.55
41067,"Washington County, Oregon",599541,32949,68505,5.5
41069,"Wheeler County, Oregon",1407,93,123,6.61
41071,"Yamhill County, Oregon",107674,5612,11957,5.21
42001,"Adams County, Pennsylvania",104604,4951,10653,4.73
42003,"Allegheny County, Pennsylvania",1245310,63400,126909,5.09
42005,"Armstrong County, Pennsylvania",65538,2982,6677,4.55
42007,"Beaver County, Pennsylvania",167629,8161,17383,4.87
42009,"Bedford County, Pennsylvania",47613,2378,5117,4.99
42011,"Berks County, Pennsylvania",428483,23656,49847,5.52
42013,"Blair County, Pennsylvania",122640,6134,12970,5.0
42015,"Bradford County, Pennsylvania",60159,3408,7031,5.66
42017,"Bucks County, Pennsylvania",645163,30246,64208,4.69
42019,"Butler County, Pennsylvania",194562,9457,19924,4.86
42021,"Cambria County, Pennsylvania",133263,6329,12883,4.75
42023,"Cameron County, Pennsylvania",4536,199,443,4.39
42025,"Carbon County, Pennsylvania",65018,2975,5913,4.58
42027,"Centre County, Pennsylvania",158665,5749,12598,3.62
42029,"Chester County, Pennsylvania",536474,28684,60618,5.35
42031,"Clarion County, Pennsylvania",37489,1877,3747,5.01
42033,"Clearfield County, Pennsylvania",79707,3633,7518,4.56
42035,"Clinton County, Pennsylvania",37860,2048,4108,5.41
42037,"Columbia County, Pennsylvania",64924,2813,5635,4.33
42039,"Crawford County, Pennsylvania",83876,4463,9156,5.32
42041,"Cumberland County, Pennsylvania",261269,13744,27984,5.26
42043,"Dauphin County, Pennsylvania",286108,17208,35121,6.01
42045,"Delaware County, Pennsylvania",575312,32964,66972,5.73
42047,"Elk County, Pennsylvania",30886,1430,2995,4.63
42049,"Erie County, Pennsylvania",270495,14328,29956,5.3
42051,"Fayette County, Pennsylvania",128417,6422,13555,5.0
42053,"Forest County, Pennsylvania",6959,278,471,3.99
42055,"Franklin County, Pennsylvania",156084,8783,18609,5.63
42057,"Fulton County, Pennsylvania",14545,691,1481,4.75
42059,"Greene County, Pennsylvania",35781,1748,3620,4.89
42061,"Huntingdon County, Pennsylvania",44123,1923,4132,4.36
42063,"Indiana County, Pennsylvania",83394,3794,7914,4.55
42065,"Jefferson County, Pennsylvania",44326,2439,5095,5.5
42067,"Juniata County, Pennsylvania",23535,1364,2934,5.8
42069,"Lackawanna County, Pennsylvania",215672,11004,22651,5.1
42071,"Lancaster County, Pennsylvania",553202,34709,69284,6.27
42073,"Lawrence County, Pennsylvania",85907,4353,8761,5.07
42075,"Lebanon County, Pennsylvania",143258,8170,16819,5.7
42077,"Lehigh County, Pennsylvania",374110,21920,44634,5.86
42079,"Luzerne County, Pennsylvania",325396,17069,35007,5.25
42081,"Lycoming County, Pennsylvania",114022,6016,12740,5.28
42083,"McKean County, Pennsylvania",40459,1887,4157,4.66
42085,"Mercer County, Pennsylvania",110600,5273,10815,4.77
42087,"Mifflin County, Pennsylvania",46146,2962,5673,6.42
42089,"Monroe County, Pennsylvania",168128,7790,16351,4.63
42091,"Montgomery County, Pennsylvania",856399,45276,96333,5.29
42093,"Montour County, Pennsylvania",18165,1058,2039,5.82
42095,"Northampton County, Pennsylvania",314299,14769,30131,4.7
42097,"Northumberland County, Pennsylvania",91340,4557,9599,4.99
42099,"Perry County, Pennsylvania",45941,2490,5139,5.42
42101,"Philadelphia County, Pennsylvania",1593208,99102,191976,6.22
42103,"Pike County, Pennsylvania",58996,2122,4955,3.6
42105,"Potter County, Pennsylvania",16390,803,1706,4.9
42107,"Schuylkill County, Pennsylvania",143201,6870,14710,4.8
42109,"Snyder County, Pennsylvania",39797,2087,4245,5.24
42111,"Somerset County, Pennsylvania",73802,3406,6969,4.62
42113,"Sullivan County, Pennsylvania",5880,169,355,2.87
42115,"Susquehanna County, Pennsylvania",38540,1803,3660,4.68
42117,"Tioga County, Pennsylvania",41186,2067,4438,5.02
42119,"Union County, Pennsylvania",42908,1896,3837,4.42
42121,"Venango County, Pennsylvania",50475,2456,4901,4.87
42123,"Warren County, Pennsylvania",38492,1987,3896,5.16
42125,"Washington County, Pennsylvania",209631,10343,22852,4.93
42127,"Wayne County, Pennsylvania",51227,2077,4600,4.05
42129,"Westmoreland County, Pennsylvania",354414,15353,33089,4.33
42131,"Wyoming County, Pennsylvania",26219,1212,2637,4.62
42133,"York County, Pennsylvania",457051,24856,51371,5.44
44001,"Bristol County, Rhode Island",50658,1955,4305,3.86
44003,"Kent County, Rhode Island",170168,7941,17087,4.67
44005,"Newport County, Rhode Island",85442,3433,6697,4.02
44007,"Providence County, Rhode Island",657984,36254,71835,5.51
44009,"Washington County, Rhode Island",129998,4589,10317,3.53
45001,"Abbeville County, South Carolina",24368,1176,2499,4.83
45003,"Aiken County, South Carolina",169865,9494,19029,5.59
45005,"Allendale County, South Carolina",8073,351,712,4.35
45007,"Anderson County, South Carolina",204592,11455,24823,5.6
45009,"Bamberg County, South Carolina",13311,617,1304,4.64
45011,"Barnwell County, South Carolina",20653,1379,2696,6.68
45013,"Beaufort County, South Carolina",189071,9024,17258,4.77
45015,"Berkeley County, South Carolina",231419,14302,30333,6.18
45017,"Calhoun County, South Carolina",14145,637,1308,4.5
45019,"Charleston County, South Carolina",409840,23044,44580,5.62
45021,"Cherokee County, South Carolina",56200,3363,7268,5.98
45023,"Chester County, South Carolina",32171,1764,3582,5.48
45025,"Chesterfield County, South Carolina",43536,2379,5183,5.46
45027,"Clarendon County, South Carolina",31163,1386,2901,4.45
45029,"Colleton County, South Carolina",38561,2127,4587,5.52
45031,"Darlington County, South Carolina",63025,3471,6857,5.51
45033,"Dillon County, South Carolina",28255,2022,3700,7.16
45035,"Dorchester County, South Carolina",162139,9336,20268,5.76
45037,"Edgefield County, South Carolina",26181,935,2266,3.57
45039,"Fairfield County, South Carolina",20942,954,1862,4.56
45041,"Florence County, South Carolina",137015,8010,16649,5.85
45043,"Georgetown County, South Carolina",63594,2673,5651,4.2
45045,"Greenville County, South Carolina",528251,31754,65705,6.01
45047,"Greenwood County, South Carolina",69309,3936,8609,5.68
45049,"Hampton County, South Carolina",18890,995,2075,5.27
45051,"Horry County, South Carolina",356578,15456,31836,4.33
45053,"Jasper County, South Carolina",29444,1631,3270,5.54
45055,"Kershaw County, South Carolina",65779,3522,7724,5.35
45057,"Lancaster County, South Carolina",97611,5437,11358,5.57
45059,"Laurens County, South Carolina",67456,3806,8385,5.64
45061,"Lee County, South Carolina",16557,810,1575,4.89
45063,"Lexington County, South Carolina",295934,16536,35315,5.59
45065,"McCormick County, South Carolina",9612,242,411,2.52
45067,"Marion County, South Carolina",29212,1561,3414,5.34
45069,"Marlboro County, South Carolina",26585,1360,2646,5.12
45071,"Newberry County, South Carolina",37918,2092,4243,5.52
45073,"Oconee County, South Carolina",78775,3596,7531,4.56
45075,"Orangeburg County, South Carolina",84159,4413,9361,5.24
45077,"Pickens County, South Carolina",131106,6207,12624,4.73
45079,"Richland County, South Carolina",416161,23371,47053,5.62
45081,"Saluda County, South Carolina",18952,1100,2218,5.8
45083,"Spartanburg County, South Carolina",330119,19804,40839,6.0
45085,"Sumter County, South Carolina",105199,6948,14099,6.6
45087,"Union County, South Carolina",27158,1506,3188,5.55
45089,"Williamsburg County, South Carolina",30879,1439,3060,4.66
45091,"York County, South Carolina",282987,15860,35682,5.6
46003,"Aurora County, South Dakota",2590,176,335,6.8
46005,"Beadle County, South Dakota",19089,1542,3217,8.08
46007,"Bennett County, South Dakota",3391,257,605,7.58
46009,"Bon Homme County, South Dakota",7018,332,637,4.73
46011,"Brookings County, South Dakota",34631,1985,4242,5.73
46013,"Brown County, South Dakota",38278,2300,4720,6.01
46015,"Brule County, South Dakota",5247,297,594,5.66
46017,"Buffalo County, South Dakota",1859,235,395,12.64
46019,"Butte County, South Dakota",10369,618,1383,5.96
46021,"Campbell County, South Dakota",1534,86,203,5.61
46023,"Charles Mix County, South Dakota",9302,796,1684,8.56
46025,"Clark County, South Dakota",3837,340,571,8.86
46027,"Clay County, South Dakota",14953,686,1398,4.59
46029,"Codington County, South Dakota",28402,1539,3416,5.42
46031,"Corson County, South Dakota",3906,363,674,9.29
46033,"Custer County, South Dakota",8515,308,688,3.62
46035,"Davison County, South Dakota",19966,1256,2595,6.29
46037,"Day County, South Dakota",5485,323,600,5.89
46039,"Deuel County, South Dakota",4298,256,549,5.96
46041,"Dewey County, South Dakota",5275,580,1193,11.0
46043,"Douglas County, South Dakota",2823,230,430,8.15
46045,"Edmunds County, South Dakota",4014,305,623,7.6
46047,"Fall River County, South Dakota",7079,328,701,4.63
46049,"Faulk County, South Dakota",2140,123,247,5.75
46051,"Grant County, South Dakota",7533,413,884,5.48
46053,"Gregory County, South Dakota",3983,257,505,6.45
46055,"Haakon County, South Dakota",1755,97,194,5.53
46057,"Hamlin County, South Dakota",6196,635,1152,10.25
46059,"Hand County, South Dakota",3075,175,382,5.69
46061,"Hanson County, South Dakota",3443,265,474,7.7
46063,"Harding County, South Dakota",1176,69,143,5.87
46065,"Hughes County, South Dakota",17812,1073,2475,6.02
46067,"Hutchinson County, South Dakota",7401,620,1167,8.38
46069,"Hyde County, South Dakota",1319,86,167,6.52
46071,"Jackson County, South Dakota",2838,279,493,9.83
46073,"Jerauld County, South Dakota",1836,85,170,4.63
46075,"Jones County, South Dakota",1006,120,172,11.93
46077,"Kingsbury County, South Dakota",5172,339,751,6.55
46079,"Lake County, South Dakota",11207,573,1238,5.11
46081,"Lawrence County, South Dakota",26047,986,1955,3.79
46083,"Lincoln County, South Dakota",65801,4329,9753,6.58
46085,"Lyman County, South Dakota",3719,310,612,8.34
46087,"McCook County, South Dakota",5714,463,886,8.1
46089,"McPherson County, South Dakota",2251,131,293,5.82
46091,"Marshall County, South Dakota",4363,295,572,6.76
46093,"Meade County, South Dakota",29970,1474,3429,4.92
46095,"Mellette County, South Dakota",1989,128,289,6.44
46097,"Miner County, South Dakota",2312,111,228,4.8
46099,"Minnehaha County, South Dakota",197742,14375,28431,7.27
46101,"Moody County, South Dakota",6346,478,909,7.53
46102,"Oglala Lakota County, South Dakota",13695,1241,2698,9.06
46103,"Pennington County, South Dakota",110386,6782,13358,6.14
46105,"Perkins County, South Dakota",2970,192,370,6.46
46107,"Potter County, South Dakota",2587,146,342,5.64
46109,"Roberts County, South Dakota",10242,818,1691,7.99
46111,"Sanborn County, South Dakota",2373,208,401,8.77
46115,"Spink County, South Dakota",6355,388,771,6.11
46117,"Stanley County, South Dakota",2979,128,361,4.3
46119,"Sully County, South Dakota",1318,58,106,4.4
46121,"Todd County, South Dakota",9353,1068,2146,11.42
46123,"Tripp County, South Dakota",5607,385,794,6.87
46125,"Turner County, South Dakota",8687,508,1079,5.85
46127,"Union County, South Dakota",16700,903,2046,5.41
46129,"Walworth County, South Dakota",5317,361,782,6.79
46135,"Yankton County, South Dakota",23311,1279,2394,5.49
46137,"Ziebach County, South Dakota",2455,193,359,7.86
47001,"Anderson County, Tennessee",77337,4027,8577,5.21
47003,"Bedford County, Tennessee",50533,3288,6655,6.51
47005,"Benton County, Tennessee",15933,736,1617,4.62
47007,"Bledsoe County, Tennessee",14816,639,1183,4.31
47009,"Blount County, Tennessee",135951,6587,14180,4.85
47011,"Bradley County, Tennessee",108859,6053,12595,5.56
47013,"Campbell County, Tennessee",39397,2201,4655,5.59
47015,"Cannon County, Tennessee",14481,817,1742,5.64
