FIPS,total_employees,mining_employees,mining_establishments,bar_establishments,bar_employees,extraction_employment_pct
06089,50430,104.0,6.0,17.0,146.0,0.20622645250842753
06091,226,0.0,0.0,0.0,0.0,0.0
04007,10761,1689.0,9.0,7.0,22.0,15.69556732645665
04009,9118,0.0,0.0,4.0,24.0,0.0
04011,4157,3325.0,4.0,0.0,0.0,79.9855665143132
04012,3616,20.0,4.0,4.0,30.0,0.5530973451327433
04015,44438,212.0,10.0,30.0,245.0,0.47706917503037943
04017,19805,92.0,9.0,10.0,82.0,0.46452915930320626
04019,312775,2514.0,32.0,91.0,801.0,0.8037726800415635
04021,55073,848.0,22.0,13.0,98.0,1.53977448114321
04023,10948,13.0,3.0,4.0,23.0,0.11874314943368651
04025,61579,1123.0,19.0,35.0,225.0,1.8236736549797823
04027,48198,46.0,6.0,23.0,269.0,0.09543964479853936
05001,8808,0.0,0.0,0.0,0.0,0.0
05003,4543,0.0,0.0,0.0,0.0,0.0
05005,13872,0.0,0.0,0.0,0.0,0.0
05009,12129,0.0,0.0,0.0,0.0,0.0
05011,2295,0.0,0.0,0.0,0.0,0.0
05013,370,0.0,0.0,0.0,0.0,0.0
05015,8470,0.0,0.0,4.0,15.0,0.0
05017,2001,0.0,0.0,0.0,0.0,0.0
05019,6394,0.0,0.0,0.0,0.0,0.0
05021,2296,0.0,0.0,0.0,0.0,0.0
05023,5439,18.0,4.0,0.0,0.0,0.3309431880860452
05025,639,0.0,0.0,0.0,0.0,0.0
05027,6797,163.0,20.0,0.0,0.0,2.3981168162424598
05029,4737,7.0,4.0,0.0,0.0,0.1477728520160439
05031,44707,0.0,0.0,3.0,14.0,0.0
05033,15445,10.0,6.0,0.0,0.0,0.06474587245063128
05035,13350,0.0,0.0,0.0,0.0,0.0
05037,3460,0.0,0.0,0.0,0.0,0.0
05039,2202,0.0,0.0,0.0,0.0,0.0
05041,3211,0.0,0.0,0.0,0.0,0.0
05043,5267,0.0,0.0,0.0,0.0,0.0
05045,35683,300.0,17.0,0.0,0.0,0.8407364851610011
05047,3888,95.0,5.0,0.0,0.0,2.4434156378600824
05049,1443,0.0,0.0,0.0,0.0,0.0
05051,34001,46.0,7.0,8.0,53.0,0.1352901385253375
05053,3590,0.0,0.0,0.0,0.0,0.0
05055,12798,0.0,0.0,0.0,0.0,0.0
05057,5748,0.0,0.0,0.0,0.0,0.0
05059,5985,0.0,0.0,0.0,0.0,0.0
05061,5653,0.0,0.0,0.0,0.0,0.0
05063,14809,105.0,4.0,0.0,0.0,0.70902829360524
05065,1905,0.0,0.0,0.0,0.0,0.0
05067,3673,0.0,0.0,0.0,0.0,0.0
05069,19464,0.0,0.0,0.0,0.0,0.0
05071,6963,0.0,0.0,0.0,0.0,0.0
05073,700,12.0,5.0,0.0,0.0,1.7142857142857144
05075,3246,32.0,3.0,0.0,0.0,0.9858287122612447
05077,875,0.0,0.0,0.0,0.0,0.0
05079,1389,0.0,0.0,0.0,0.0,0.0
05081,2459,0.0,0.0,0.0,0.0,0.0
05085,11472,0.0,0.0,0.0,0.0,0.0
05083,3747,68.0,5.0,0.0,0.0,1.8147851614625035
05087,2612,0.0,0.0,0.0,0.0,0.0
05089,2686,0.0,0.0,0.0,0.0,0.0
05091,11175,293.0,6.0,5.0,27.0,2.621923937360179
05093,14555,0.0,0.0,3.0,9.0,0.0
